"var","categoria","Muy de acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","Muy en desacuerdo","No sabe"
"P12","Gran excedente habitual",0.056,0.02,0.025,0.013,0.035,0
"P12","Gran excedente excepcional",0.001,0.004,0,0.001,0,0
"P12","Pequeño excedente habitual",0.075,0.064,0.047,0.025,0.027,0.023
"P12","Pequeño excedente excepcional",0.076,0.086,0.088,0.048,0.02,0.206
"P12","Alcanza gastos familia",0.153,0.209,0.167,0.077,0.105,0.08
"P12","No alcanza gastos familia",0.056,0.104,0.081,0.132,0.069,0.15
"P12","Solo NBFamiliares",0.205,0.356,0.277,0.264,0.281,0.161
"P12","No alcanza NBFamiliares",0.36,0.152,0.306,0.426,0.452,0.323
"P12","No sabe",0.018,0.005,0.009,0.014,0.011,0.057
"P13","Muy buena",0.142,0.062,0.053,0.077,0.118,0.075
"P13","Buena",0.106,0.203,0.145,0.215,0.109,0.141
"P13","Ni buena ni mala",0.191,0.206,0.363,0.326,0.271,0.222
"P13","Mala",0.308,0.374,0.269,0.248,0.235,0.214
"P13","Muy mala",0.233,0.136,0.14,0.109,0.24,0.186
"P13","No sabe",0.02,0.019,0.03,0.025,0.027,0.162
"P14","Muy buena",0.592,0.447,0.255,0.054,0.083,0.203
"P14","Buena",0.1,0.339,0.272,0.084,0.056,0.265
"P14","Ni buena ni mala",0.127,0.114,0.298,0.188,0.158,0.197
"P14","Mala",0.056,0.058,0.078,0.267,0.166,0.067
"P14","Muy mala",0.095,0.034,0.079,0.402,0.527,0.146
"P14","No sabe",0.03,0.008,0.018,0.005,0.01,0.122
"P19","Muy buena",0.179,0.074,0.089,0.086,0.105,0.081
"P19","Buena",0.084,0.221,0.166,0.234,0.159,0.101
"P19","Ni buena ni mala",0.226,0.237,0.406,0.365,0.294,0.158
"P19","Mala",0.255,0.291,0.206,0.182,0.179,0.202
"P19","Muy mala",0.236,0.151,0.114,0.118,0.234,0.136
"P19","No sabe",0.02,0.026,0.019,0.015,0.029,0.322
"P20","Gobierno nacional",0.225,0.066,0.123,0.435,0.431,0.122
"P20","Gobierno provincial",0.607,0.801,0.586,0.355,0.39,0.5
"P20","No sabe",0.168,0.133,0.291,0.21,0.179,0.378
"P21","El anterior gobierno de Arabela Carreras",0.255,0.327,0.372,0.469,0.174,0.032
"P21","El actual gobierno de Alberto Weretilneck",0.663,0.571,0.475,0.402,0.649,0.494
"P21","No sabe",0.082,0.102,0.153,0.129,0.177,0.474
"P22","El anterior gobierno de Alberto Fernández",0.642,0.74,0.579,0.168,0.153,0.254
"P22","El actual gobierno de Javier Milei",0.299,0.26,0.252,0.763,0.788,0.746
"P22","No sabe",0.059,0,0.169,0.069,0.059,0
"P23","Empleado sector publico",0.319,0.18,0.142,0.17,0.201,0.041
"P23","Empleado sector privado",0.197,0.334,0.217,0.218,0.214,0.171
"P23","Changas o trabajos eventuales",0.217,0.124,0.298,0.248,0.196,0.254
"P23","Estudiante",0.06,0.023,0.042,0.046,0.076,0.033
"P23","Amas de casa",0.047,0.061,0.079,0.075,0.092,0.039
"P23","Profesional o independiente",0.072,0.122,0.104,0.072,0.074,0.185
"P23","Comerciante, emprendedor o empresario",0.033,0.093,0.04,0.047,0.045,0.1
"P23","Trabajador informal",0.003,0.005,0.013,0.031,0.01,0.008
"P23","No tengo trabajo",0.052,0.058,0.065,0.093,0.092,0.169
"P24","Muy de acuerdo",0.352,0.153,0.177,0.215,0.13,0.042
"P24","De acuerdo",0.1,0.384,0.19,0.209,0.152,0
"P24","Ni de acuerdo ni en desacuerdo",0.273,0.254,0.491,0.31,0.263,0.189
"P24","En desacuerdo",0.148,0.141,0.087,0.17,0.145,0.081
"P24","Muy en desacuerdo",0.076,0.057,0.035,0.046,0.241,0.029
"P24","No sabe",0.051,0.011,0.02,0.05,0.069,0.659
"P26","Si",0.849,0.656,0.554,0.541,0.602,0.335
"P26","No",0.151,0.344,0.446,0.459,0.398,0.665
"P27","Muy de acuerdo",0.502,0.196,0.156,0.078,0.115,0.171
"P27","De acuerdo",0.185,0.418,0.224,0.126,0.099,0.02
"P27","Ni de acuerdo ni en desacuerdo",0.164,0.245,0.414,0.18,0.113,0.202
"P27","En desacuerdo",0.094,0.105,0.098,0.492,0.208,0.192
"P27","Muy en desacuerdo",0.054,0.034,0.092,0.109,0.426,0.142
"P27","No sabe",0.001,0.002,0.016,0.015,0.039,0.273
"P28","Si",0.797,0.697,0.592,0.574,0.641,0.479
"P28","No",0.203,0.303,0.408,0.426,0.359,0.521
"P29","Muy de acuerdo",0.568,0.258,0.214,0.075,0.168,0.326
"P29","De acuerdo",0.19,0.495,0.237,0.124,0.094,0.044
"P29","Ni de acuerdo ni en desacuerdo",0.147,0.169,0.356,0.193,0.121,0.052
"P29","En desacuerdo",0.018,0.034,0.058,0.446,0.238,0.264
"P29","Muy en desacuerdo",0.034,0.031,0.106,0.135,0.333,0.054
"P29","No sabe",0.043,0.013,0.029,0.027,0.046,0.26
"P30","No estaba enterado",0.316,0.188,0.415,0.341,0.283,0.337
"P30","De acuerdo",0.556,0.696,0.376,0.111,0.225,0.299
"P30","En desacuerdo",0.111,0.072,0.129,0.441,0.395,0.117
"P30","No sabe",0.017,0.044,0.08,0.107,0.097,0.247
"P31","No tengo cable ni internet",0.303,0.161,0.236,0.215,0.192,0.48
"P31","Si tuve",0.433,0.521,0.55,0.537,0.642,0.476
"P31","No tuve",0.264,0.318,0.214,0.248,0.166,0.044
"P32","Reclamando directamente a la empresa",0.321,0.259,0.308,0.34,0.257,0.632
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.295,0.354,0.359,0.321,0.457,0.26
"P32","Nunca se pudo resolver",0.384,0.387,0.333,0.339,0.286,0.108
"P33","1-Excelente",0.204,0.171,0.15,0.18,0.131,0.188
"P33","2",0.132,0.171,0.117,0.097,0.082,0.081
"P33","3",0.061,0.035,0.072,0.04,0.073,0.343
"P33","4",0.015,0.069,0.052,0.06,0.029,0.046
"P33","5",0.117,0.131,0.2,0.168,0.13,0.148
"P33","6",0.022,0.044,0.03,0.076,0.054,0.091
"P33","7",0.02,0.027,0.046,0.046,0.038,0.02
"P33","8",0.024,0.094,0.065,0.084,0.083,0
"P33","9-Pésimo",0.338,0.225,0.194,0.18,0.322,0.015
"P33","No sabe",0.067,0.033,0.074,0.069,0.058,0.068
"P34","1-Excelente",0.186,0.164,0.17,0.169,0.152,0.156
"P34","2",0.12,0.171,0.101,0.114,0.03,0.048
"P34","3",0.054,0.055,0.09,0.065,0.104,0.469
"P34","4",0.032,0.067,0.039,0.098,0.047,0.043
"P34","5",0.114,0.143,0.181,0.117,0.095,0.02
"P34","6",0.013,0.018,0.032,0.047,0.062,0.148
"P34","7",0.026,0.028,0.042,0.036,0.027,0.02
"P34","8",0.024,0.094,0.057,0.05,0.076,0
"P34","9-Pésimo",0.344,0.226,0.21,0.259,0.352,0.049
"P34","No sabe",0.087,0.034,0.078,0.045,0.055,0.047
"P35","1-Excelente",0.214,0.139,0.192,0.143,0.173,0.151
"P35","2",0.102,0.159,0.093,0.093,0.063,0.048
"P35","3",0.094,0.071,0.098,0.085,0.069,0.472
"P35","4",0.049,0.096,0.044,0.107,0.062,0.032
"P35","5",0.089,0.115,0.158,0.149,0.097,0
"P35","6",0.033,0.033,0.048,0.053,0.104,0.115
"P35","7",0.029,0.054,0.022,0.036,0.051,0.019
"P35","8",0.017,0.069,0.056,0.056,0.024,0
"P35","9-Pésimo",0.33,0.228,0.209,0.226,0.308,0.061
"P35","No sabe",0.043,0.036,0.08,0.052,0.049,0.102
"P36","1-Excelente",0.162,0.15,0.132,0.127,0.162,0.045
"P36","2",0.102,0.131,0.12,0.144,0.115,0.078
"P36","3",0.105,0.059,0.096,0.062,0.052,0.526
"P36","4",0.034,0.075,0.033,0.074,0.036,0.058
"P36","5",0.095,0.18,0.248,0.146,0.098,0.031
"P36","6",0.024,0.02,0.05,0.068,0.064,0.148
"P36","7",0.054,0.033,0.047,0.048,0.055,0
"P36","8",0.055,0.054,0.049,0.07,0.038,0.016
"P36","9-Pésimo",0.312,0.218,0.129,0.205,0.348,0.048
"P36","No sabe",0.057,0.08,0.096,0.056,0.032,0.05
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.154,0.109,0.193,0.636,0.604,0.406
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.169,0.265,0.272,0.194,0.137,0.172
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.282,0.318,0.279,0.056,0.073,0.193
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.38,0.302,0.208,0.061,0.087,0.024
"P37","No sabe",0.015,0.006,0.048,0.053,0.099,0.205
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.143,0.071,0.125,0.562,0.541,0.45
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.05,0.198,0.164,0.227,0.176,0.232
