"var","categoria","Peor","Igual","Mejor","No sabe"
"P12","Gran excedente habitual",0.028,0.004,0.018,0.044
"P12","Gran excedente excepcional",0.001,0,0,0
"P12","Pequeño excedente habitual",0.04,0.045,0.022,0.021
"P12","Pequeño excedente excepcional",0.055,0.048,0.208,0.074
"P12","Alcanza gastos familia",0.133,0.153,0.069,0.145
"P12","No alcanza gastos familia",0.091,0.111,0.142,0.085
"P12","Solo NBFamiliares",0.267,0.363,0.25,0.255
"P12","No alcanza NBFamiliares",0.377,0.259,0.291,0.374
"P12","No sabe",0.008,0.017,0,0.002
"P13","Muy buena",0.056,0.08,0.258,0.061
"P13","Buena",0.138,0.182,0.248,0.178
"P13","Ni buena ni mala",0.259,0.337,0.22,0.298
"P13","Mala",0.307,0.292,0.143,0.225
"P13","Muy mala",0.231,0.107,0.113,0.148
"P13","No sabe",0.009,0.002,0.018,0.09
"P14","Muy buena",0.176,0.313,0.358,0.162
"P14","Buena",0.113,0.25,0.106,0.159
"P14","Ni buena ni mala",0.115,0.205,0.196,0.292
"P14","Mala",0.189,0.095,0.142,0.13
"P14","Muy mala",0.401,0.133,0.194,0.241
"P14","No sabe",0.006,0.004,0.004,0.016
"P19","Muy buena",0.072,0.078,0.237,0.113
"P19","Buena",0.165,0.218,0.255,0.145
"P19","Ni buena ni mala",0.293,0.395,0.314,0.324
"P19","Mala",0.235,0.195,0.068,0.225
"P19","Muy mala",0.221,0.101,0.105,0.155
"P19","No sabe",0.014,0.013,0.021,0.038
"P20","Gobierno nacional",0.394,0.189,0.263,0.181
"P20","Gobierno provincial",0.505,0.646,0.489,0.586
"P20","No sabe",0.101,0.165,0.248,0.233
"P21","El anterior gobierno de Arabela Carreras",0.322,0.424,0.575,0.302
"P21","El actual gobierno de Alberto Weretilneck",0.571,0.445,0.369,0.563
"P21","No sabe",0.107,0.131,0.056,0.135
"P22","El anterior gobierno de Alberto Fernández",0.191,0.43,0.247,0.324
"P22","El actual gobierno de Javier Milei",0.745,0.559,0.636,0.579
"P22","No sabe",0.064,0.011,0.117,0.097
"P23","Empleado sector publico",0.212,0.155,0.157,0.247
"P23","Empleado sector privado",0.23,0.271,0.244,0.22
"P23","Changas o trabajos eventuales",0.179,0.159,0.354,0.24
"P23","Estudiante",0.039,0.055,0,0.058
"P23","Amas de casa",0.077,0.077,0.049,0.088
"P23","Profesional o independiente",0.11,0.103,0.047,0.06
"P23","Comerciante, emprendedor o empresario",0.048,0.091,0.028,0.014
"P23","Trabajador informal",0.016,0.004,0.014,0.011
"P23","No tengo trabajo",0.089,0.085,0.107,0.062
"P24","Muy de acuerdo",0.187,0.195,0.281,0.204
"P24","De acuerdo",0.177,0.244,0.202,0.155
"P24","Ni de acuerdo ni en desacuerdo",0.329,0.332,0.292,0.341
"P24","En desacuerdo",0.142,0.152,0.144,0.191
"P24","Muy en desacuerdo",0.133,0.052,0.064,0.071
"P24","No sabe",0.032,0.025,0.017,0.038
"P25","Muy de acuerdo",0.102,0.092,0.161,0.133
