"var","categoria","El anterior gobierno de Alberto Fernández","El actual gobierno de Javier Milei","No sabe"
"P12","Gran excedente habitual",0.002,0.006,0
"P12","Gran excedente excepcional",0,0,0
"P12","Pequeño excedente habitual",0.013,0.012,0.01
"P12","Pequeño excedente excepcional",0.041,0.014,0
"P12","Alcanza gastos familia",0.092,0.102,0.123
"P12","No alcanza gastos familia",0.088,0.09,0.108
"P12","Solo NBFamiliares",0.321,0.273,0.244
"P12","No alcanza NBFamiliares",0.443,0.484,0.51
"P12","No sabe",0,0.019,0.005
"P13","Muy buena",0.227,0.141,0.208
"P13","Buena",0.239,0.269,0.252
"P13","Ni buena ni mala",0.307,0.327,0.304
"P13","Mala",0.158,0.154,0.204
"P13","Muy mala",0.066,0.083,0.032
"P13","No sabe",0.003,0.026,0
"P14","Muy buena",0.246,0.021,0.056
"P14","Buena",0.166,0.031,0.059
"P14","Ni buena ni mala",0.223,0.078,0.318
"P14","Mala",0.2,0.219,0.374
"P14","Muy mala",0.157,0.649,0.193
"P14","No sabe",0.008,0.002,0
"P19","Muy buena",0.299,0.15,0.197
"P19","Buena",0.189,0.303,0.368
"P19","Ni buena ni mala",0.299,0.316,0.271
"P19","Mala",0.148,0.113,0.103
"P19","Muy mala",0.062,0.11,0.026
"P19","No sabe",0.003,0.008,0.035
"P23","Empleado sector publico",0.353,0.224,0.209
"P23","Empleado sector privado",0.177,0.247,0.262
"P23","Changas o trabajos eventuales",0.097,0.191,0.351
"P23","Estudiante",0.054,0.033,0.077
"P23","Amas de casa",0.116,0.069,0.038
"P23","Profesional o independiente",0.062,0.077,0.013
"P23","Comerciante, emprendedor o empresario",0.035,0.036,0.027
"P23","Trabajador informal",0.038,0.017,0.004
"P23","No tengo trabajo",0.068,0.106,0.019
"P24","Muy de acuerdo",0.338,0.226,0.24
"P24","De acuerdo",0.176,0.257,0.185
"P24","Ni de acuerdo ni en desacuerdo",0.286,0.299,0.302
"P24","En desacuerdo",0.139,0.114,0.109
"P24","Muy en desacuerdo",0.017,0.062,0.031
"P24","No sabe",0.044,0.042,0.133
"P25","Muy de acuerdo",0.227,0.045,0.079
"P25","De acuerdo",0.111,0.017,0
"P25","Ni de acuerdo ni en desacuerdo",0.211,0.039,0.233
"P25","En desacuerdo",0.348,0.678,0.546
"P25","Muy en desacuerdo",0.098,0.215,0.142
"P25","No sabe",0.005,0.006,0
"P26","Si",0.546,0.649,0.431
"P26","No",0.454,0.351,0.569
"P27","Muy de acuerdo",0.352,0.065,0.025
"P27","De acuerdo",0.127,0.106,0.171
"P27","Ni de acuerdo ni en desacuerdo",0.175,0.112,0.21
"P27","En desacuerdo",0.234,0.488,0.419
"P27","Muy en desacuerdo",0.083,0.215,0.154
"P27","No sabe",0.029,0.014,0.021
"P28","Si",0.669,0.7,0.361
"P28","No",0.331,0.3,0.639
"P29","Muy de acuerdo",0.303,0.035,0
"P29","De acuerdo",0.107,0.086,0.049
"P29","Ni de acuerdo ni en desacuerdo",0.264,0.155,0.223
"P29","En desacuerdo",0.195,0.495,0.548
"P29","Muy en desacuerdo",0.109,0.202,0.046
"P29","No sabe",0.022,0.027,0.134
"P30","No estaba enterado",0.392,0.279,0.524
"P30","De acuerdo",0.298,0.056,0
"P30","En desacuerdo",0.202,0.609,0.398
"P30","No sabe",0.108,0.056,0.078
"P31","No tengo cable ni internet",0.298,0.163,0.285
"P31","Si tuve",0.51,0.586,0.617
"P31","No tuve",0.192,0.251,0.098
"P32","Reclamando directamente a la empresa",0.156,0.327,0.298
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.329,0.381,0.338
"P32","Nunca se pudo resolver",0.515,0.292,0.364
"P33","1-Excelente",0.242,0.165,0.108
"P33","2",0.118,0.108,0.157
"P33","3",0.088,0.068,0.045
"P33","4",0.065,0.087,0
"P33","5",0.125,0.2,0.056
"P33","6",0.055,0.073,0.13
"P33","7",0.007,0.067,0.043
"P33","8",0.112,0.054,0.073
"P33","9-Pésimo",0.153,0.127,0.247
"P33","No sabe",0.035,0.051,0.141
"P34","1-Excelente",0.149,0.164,0.22
"P34","2",0.159,0.083,0.015
"P34","3",0.152,0.105,0.063
"P34","4",0.081,0.095,0.185
"P34","5",0.118,0.155,0.027
"P34","6",0.03,0.052,0.067
"P34","7",0.027,0.049,0.014
"P34","8",0.075,0.052,0.045
"P34","9-Pésimo",0.143,0.197,0.257
"P34","No sabe",0.066,0.048,0.107
"P35","1-Excelente",0.114,0.153,0.168
"P35","2",0.121,0.094,0.009
"P35","3",0.213,0.09,0.098
"P35","4",0.093,0.108,0.19
"P35","5",0.092,0.164,0.065
"P35","6",0.09,0.085,0.052
"P35","7",0.026,0.042,0.023
"P35","8",0.029,0.052,0.01
"P35","9-Pésimo",0.148,0.164,0.255
"P35","No sabe",0.074,0.048,0.13
"P36","1-Excelente",0.164,0.155,0.133
"P36","2",0.13,0.159,0.152
"P36","3",0.109,0.074,0.027
"P36","4",0.149,0.093,0.005
"P36","5",0.112,0.126,0.091
"P36","6",0.044,0.073,0.14
"P36","7",0.026,0.059,0.075
"P36","8",0.019,0.052,0.025
"P36","9-Pésimo",0.175,0.167,0.237
