"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"1-Excelente",0.168,0.139,0.199,0.201,0.159,0.159,0.167,0.207,0.172,0.125,0.19,0.166,0.13,0.162,0.196,0.156,0.165,0.19
"2",0.11,0.096,0.124,0.126,0.095,0.106,0.135,0.157,0.101,0.076,0.117,0.125,0.097,0.107,0.116,0.09,0.145,0.101
"3",0.076,0.09,0.061,0.093,0.062,0.08,0.083,0.074,0.073,0.081,0.067,0.074,0.096,0.068,0.084,0.087,0.069,0.066
"4",0.067,0.064,0.069,0.065,0.061,0.072,0.076,0.079,0.058,0.068,0.093,0.045,0.091,0.084,0.061,0.077,0.059,0.06
"5",0.129,0.143,0.114,0.088,0.131,0.135,0.168,0.096,0.149,0.133,0.127,0.148,0.118,0.131,0.125,0.12,0.135,0.136
"6",0.038,0.042,0.035,0.018,0.04,0.052,0.038,0.038,0.028,0.054,0.047,0.019,0.01,0.052,0.025,0.037,0.037,0.042
"7",0.033,0.034,0.032,0.031,0.027,0.037,0.047,0.008,0.035,0.054,0.058,0.025,0.015,0.034,0.034,0.028,0.025,0.049
"8",0.058,0.069,0.046,0.03,0.078,0.05,0.049,0.038,0.048,0.091,0.062,0.059,0.043,0.06,0.064,0.055,0.066,0.052
"9-Pésimo",0.265,0.271,0.26,0.308,0.286,0.257,0.168,0.232,0.279,0.279,0.186,0.261,0.388,0.266,0.243,0.285,0.251,0.253
"No sabe",0.056,0.052,0.06,0.04,0.061,0.052,0.069,0.071,0.057,0.039,0.053,0.078,0.012,0.036,0.052,0.065,0.048,0.051
