"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.086,0.087,0.086,0.069,0.081,0.085,0.118,0.073,0.097,0.083,0.057,0.148,0.026,0.037,0.138,0.108,0.081,0.062,6
"Buena",0.159,0.16,0.157,0.149,0.144,0.161,0.201,0.147,0.177,0.145,0.123,0.311,0.038,0.071,0.223,0.163,0.132,0.18,6
"Ni buena ni mala",0.168,0.164,0.173,0.199,0.168,0.163,0.144,0.16,0.188,0.151,0.121,0.246,0.126,0.078,0.267,0.2,0.164,0.13,6
"Mala",0.25,0.261,0.238,0.21,0.251,0.268,0.263,0.285,0.256,0.214,0.314,0.163,0.302,0.3,0.185,0.23,0.233,0.294,6
"Muy mala",0.331,0.322,0.34,0.373,0.351,0.315,0.263,0.331,0.274,0.403,0.378,0.125,0.508,0.507,0.185,0.292,0.384,0.329,6
"No sabe",0.006,0.006,0.006,0,0.005,0.008,0.011,0.004,0.008,0.004,0.007,0.007,0,0.007,0.002,0.007,0.006,0.005,6
"Positiva",0.245,0.247,0.243,0.218,0.225,0.246,0.319,0.22,0.274,0.228,0.18,0.459,0.064,0.108,0.361,0.271,0.213,0.242,4
"Neutra",0.168,0.164,0.173,0.199,0.168,0.163,0.144,0.16,0.188,0.151,0.121,0.246,0.126,0.078,0.267,0.2,0.164,0.13,4
"Negativa",0.581,0.583,0.578,0.583,0.602,0.583,0.526,0.616,0.53,0.617,0.692,0.288,0.81,0.807,0.37,0.522,0.617,0.623,4
"No sabe",0.006,0.006,0.006,0,0.005,0.008,0.011,0.004,0.008,0.004,0.007,0.007,0,0.007,0.002,0.007,0.006,0.005,4
