"var","categoria","Oponerse totalmente","Oponerse parcialmente","Apoyar parcialmente","Apoyar totalmente","No sabe"
"P12","Gran excedente habitual",0.016,0.013,0.032,0.021,0.064
"P12","Gran excedente excepcional",0,0.006,0,0,0
"P12","Pequeño excedente habitual",0.014,0.055,0.046,0.068,0.003
"P12","Pequeño excedente excepcional",0.046,0.099,0.059,0.105,0.023
"P12","Alcanza gastos familia",0.073,0.101,0.184,0.215,0.054
"P12","No alcanza gastos familia",0.082,0.076,0.129,0.103,0.104
"P12","Solo NBFamiliares",0.28,0.256,0.318,0.328,0.167
"P12","No alcanza NBFamiliares",0.482,0.394,0.217,0.148,0.545
"P12","No sabe",0.007,0,0.015,0.012,0.04
"P13","Muy buena",0.119,0.081,0.062,0.007,0.15
"P13","Buena",0.191,0.221,0.128,0.075,0.317
"P13","Ni buena ni mala",0.292,0.364,0.301,0.186,0.229
"P13","Mala",0.218,0.228,0.338,0.398,0.182
"P13","Muy mala",0.162,0.097,0.167,0.315,0.073
"P13","No sabe",0.018,0.009,0.004,0.019,0.049
"P14","Muy buena",0.03,0.087,0.294,0.603,0.106
"P14","Buena",0.043,0.11,0.253,0.228,0.185
"P14","Ni buena ni mala",0.095,0.23,0.23,0.08,0.432
"P14","Mala",0.181,0.287,0.147,0.031,0.197
"P14","Muy mala",0.646,0.286,0.067,0.054,0.051
"P14","No sabe",0.005,0,0.009,0.004,0.029
"P19","Muy buena",0.12,0.078,0.085,0.035,0.145
"P19","Buena",0.234,0.277,0.166,0.05,0.263
"P19","Ni buena ni mala",0.302,0.383,0.35,0.278,0.337
"P19","Mala",0.144,0.124,0.263,0.345,0.119
"P19","Muy mala",0.182,0.109,0.127,0.284,0.097
"P19","No sabe",0.018,0.029,0.009,0.008,0.039
"P20","Gobierno nacional",0.6,0.305,0.128,0.041,0.315
"P20","Gobierno provincial",0.298,0.45,0.68,0.906,0.416
"P20","No sabe",0.102,0.245,0.192,0.053,0.269
"P21","El anterior gobierno de Arabela Carreras",0.401,0.448,0.347,0.34,0.351
"P21","El actual gobierno de Alberto Weretilneck",0.484,0.346,0.535,0.587,0.613
"P21","No sabe",0.115,0.206,0.118,0.073,0.036
