"var","categoria","No tengo cable ni internet","Si tuve","No tuve"
"P12","Gran excedente habitual",0.015,0.017,0.046
"P12","Gran excedente excepcional",0.001,0.001,0
"P12","Pequeño excedente habitual",0.009,0.03,0.096
"P12","Pequeño excedente excepcional",0.08,0.054,0.072
"P12","Alcanza gastos familia",0.092,0.143,0.161
"P12","No alcanza gastos familia",0.09,0.101,0.086
"P12","Solo NBFamiliares",0.176,0.326,0.267
"P12","No alcanza NBFamiliares",0.518,0.32,0.26
"P12","No sabe",0.019,0.008,0.012
"P13","Muy buena",0.12,0.077,0.066
"P13","Buena",0.143,0.186,0.17
"P13","Ni buena ni mala",0.326,0.271,0.299
"P13","Mala",0.224,0.297,0.279
"P13","Muy mala",0.153,0.161,0.152
"P13","No sabe",0.034,0.008,0.034
"P14","Muy buena",0.251,0.232,0.203
"P14","Buena",0.112,0.157,0.192
"P14","Ni buena ni mala",0.215,0.179,0.156
"P14","Mala",0.206,0.153,0.145
"P14","Muy mala",0.202,0.275,0.289
"P14","No sabe",0.014,0.004,0.015
"P19","Muy buena",0.124,0.099,0.1
"P19","Buena",0.215,0.182,0.176
"P19","Ni buena ni mala",0.311,0.32,0.346
"P19","Mala",0.178,0.218,0.205
"P19","Muy mala",0.146,0.159,0.157
"P19","No sabe",0.026,0.022,0.016
"P20","Gobierno nacional",0.267,0.307,0.283
"P20","Gobierno provincial",0.406,0.543,0.547
"P20","No sabe",0.327,0.15,0.17
"P21","El anterior gobierno de Arabela Carreras",0.321,0.367,0.336
"P21","El actual gobierno de Alberto Weretilneck",0.515,0.539,0.496
"P21","No sabe",0.164,0.094,0.168
"P22","El anterior gobierno de Alberto Fernández",0.375,0.234,0.225
"P22","El actual gobierno de Javier Milei",0.518,0.681,0.741
"P22","No sabe",0.107,0.085,0.034
"P23","Empleado sector publico",0.222,0.186,0.188
"P23","Empleado sector privado",0.136,0.269,0.252
"P23","Changas o trabajos eventuales",0.325,0.175,0.189
"P23","Estudiante",0.03,0.042,0.055
"P23","Amas de casa",0.103,0.065,0.075
"P23","Profesional o independiente",0.036,0.105,0.122
"P23","Comerciante, emprendedor o empresario",0.029,0.068,0.047
"P23","Trabajador informal",0.005,0.015,0.009
"P23","No tengo trabajo",0.114,0.075,0.063
"P24","Muy de acuerdo",0.246,0.193,0.224
"P24","De acuerdo",0.126,0.222,0.211
"P24","Ni de acuerdo ni en desacuerdo",0.33,0.33,0.303
"P24","En desacuerdo",0.156,0.129,0.146
"P24","Muy en desacuerdo",0.091,0.081,0.066
"P24","No sabe",0.051,0.045,0.05
"P25","Muy de acuerdo",0.17,0.101,0.137
"P25","De acuerdo",0.105,0.142,0.193
"P25","Ni de acuerdo ni en desacuerdo",0.217,0.21,0.183
"P25","En desacuerdo",0.376,0.39,0.401
"P25","Muy en desacuerdo",0.106,0.146,0.084
"P25","No sabe",0.026,0.011,0.002
"P26","Si",0.52,0.639,0.672
"P26","No",0.48,0.361,0.328
"P27","Muy de acuerdo",0.227,0.165,0.164
"P27","De acuerdo",0.199,0.202,0.175
"P27","Ni de acuerdo ni en desacuerdo",0.237,0.218,0.216
"P27","En desacuerdo",0.215,0.266,0.3
"P27","Muy en desacuerdo",0.097,0.133,0.138
"P27","No sabe",0.025,0.016,0.007
"P28","Si",0.542,0.652,0.678
"P28","No",0.458,0.348,0.322
"P29","Muy de acuerdo",0.26,0.195,0.183
"P29","De acuerdo",0.194,0.207,0.216
"P29","Ni de acuerdo ni en desacuerdo",0.217,0.209,0.186
"P29","En desacuerdo",0.186,0.244,0.233
"P29","Muy en desacuerdo",0.119,0.115,0.152
"P29","No sabe",0.024,0.03,0.03
"P30","No estaba enterado",0.508,0.273,0.266
"P30","De acuerdo",0.225,0.36,0.332
"P30","En desacuerdo",0.174,0.283,0.345
"P30","No sabe",0.093,0.084,0.057
"P33","1-Excelente",0.262,0.14,0.152
"P33","2",0.14,0.115,0.092
"P33","3",0.031,0.055,0.077
"P33","4",0.038,0.058,0.045
"P33","5",0.111,0.164,0.183
"P33","6",0.038,0.064,0.042
"P33","7",0.028,0.043,0.037
"P33","8",0.042,0.078,0.091
"P33","9-Pésimo",0.201,0.24,0.218
"P33","No sabe",0.109,0.043,0.063
"P34","1-Excelente",0.218,0.156,0.151
"P34","2",0.133,0.113,0.083
"P34","3",0.063,0.076,0.087
"P34","4",0.064,0.071,0.06
"P34","5",0.108,0.123,0.161
"P34","6",0.02,0.045,0.04
"P34","7",0.023,0.04,0.026
"P34","8",0.025,0.073,0.052
"P34","9-Pésimo",0.249,0.259,0.294
"P34","No sabe",0.097,0.044,0.046
"P35","1-Excelente",0.242,0.153,0.123
"P35","2",0.124,0.096,0.087
"P35","3",0.064,0.083,0.122
"P35","4",0.092,0.074,0.081
"P35","5",0.072,0.147,0.144
"P35","6",0.034,0.061,0.055
"P35","7",0.024,0.048,0.023
"P35","8",0.014,0.046,0.083
"P35","9-Pésimo",0.24,0.252,0.234
"P35","No sabe",0.094,0.04,0.048
"P36","1-Excelente",0.172,0.135,0.122
"P36","2",0.15,0.122,0.12
"P36","3",0.086,0.074,0.075
"P36","4",0.078,0.05,0.051
"P36","5",0.115,0.163,0.18
"P36","6",0.049,0.057,0.043
"P36","7",0.025,0.056,0.044
"P36","8",0.023,0.057,0.087
"P36","9-Pésimo",0.212,0.235,0.208
"P36","No sabe",0.09,0.051,0.07
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.452,0.409,0.373
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.244,0.177,0.254
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.125,0.185,0.166
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.14,0.172,0.173
"P37","No sabe",0.039,0.057,0.034
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.426,0.334,0.337
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.167,0.18,0.207
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.214,0.246,0.27
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.166,0.18,0.155
"P38","No sabe",0.027,0.06,0.031
"P39","Oponerse totalmente",0.406,0.34,0.352
"P39","Oponerse parcialmente",0.172,0.123,0.143
"P39","Apoyar parcialmente",0.196,0.288,0.24
"P39","Apoyar totalmente",0.182,0.19,0.232
"P39","No sabe",0.044,0.059,0.033
"P40","Inseguridad y narcotráfico",0.368,0.312,0.3
"P40","Altos impuestos y tarifas",0.161,0.169,0.182
"P40","Educación y estado de las escuelas",0.194,0.202,0.189
"P40","Inflación",0.155,0.156,0.178
"P40","Estado de la salud",0.035,0.089,0.094
"P40","Corrupción",0.045,0.047,0.041
"P40","Pobreza",0.023,0.012,0.005
"P40","Medio ambiente, incendios y contaminación",0.004,0.002,0.003
"P40","Falta de trabajo",0.003,0.006,0.008
"P40","No sabe",0.012,0.005,0
"P44","Muy buena",0.08,0.025,0.023
"P44","Buena",0.092,0.083,0.116
"P44","Ni buena ni mala",0.318,0.336,0.295
"P44","Mala",0.291,0.352,0.431
"P44","Muy mala",0.18,0.175,0.127
"P44","No sabe",0.039,0.029,0.008
"P45","Peor",0.557,0.587,0.569
"P45","Igual",0.207,0.257,0.285
"P45","Mejor",0.14,0.083,0.045
"P45","No sabe",0.096,0.073,0.101
"P46","Peor",0.538,0.538,0.478
"P46","Igual",0.218,0.257,0.308
"P46","Mejor",0.15,0.135,0.166
"P46","No sabe",0.094,0.07,0.048
"P47","Javier Milei",0.343,0.386,0.427
"P47","Los gobernadores",0.488,0.507,0.472
"P47","No sabe",0.169,0.107,0.101
"P48","Muy buena",0.115,0.102,0.122
"P48","Buena",0.22,0.21,0.225
"P48","Ni buena ni mala",0.315,0.265,0.273
"P48","Mala",0.143,0.263,0.226
"P48","Muy mala",0.187,0.153,0.135
"P48","No sabe",0.02,0.007,0.019
"P50","Muy buena",0.154,0.125,0.099
"P50","Buena",0.165,0.181,0.167
"P50","Ni buena ni mala",0.25,0.26,0.314
"P50","Mala",0.175,0.237,0.251
"P50","Muy mala",0.202,0.164,0.134
"P50","No sabe",0.054,0.033,0.035
"P51","Muy buena",0.13,0.125,0.083
"P51","Buena",0.111,0.174,0.21
"P51","Ni buena ni mala",0.343,0.316,0.317
"P51","Mala",0.198,0.191,0.186
"P51","Muy mala",0.148,0.151,0.131
"P51","No sabe",0.07,0.043,0.073
"P54","Muy buena",0.24,0.231,0.185
"P54","Buena",0.133,0.126,0.148
"P54","Ni buena ni mala",0.103,0.113,0.116
"P54","Mala",0.177,0.2,0.154
"P54","Muy mala",0.334,0.319,0.382
"P54","No sabe",0.013,0.011,0.015
"P55","Muy buena",0.091,0.079,0.098
"P55","Buena",0.159,0.158,0.16
"P55","Ni buena ni mala",0.18,0.158,0.183
"P55","Mala",0.242,0.257,0.24
"P55","Muy mala",0.314,0.344,0.314
"P55","No sabe",0.014,0.004,0.005
"P56","Muy buena",0.15,0.102,0.065
"P56","Buena",0.155,0.153,0.184
"P56","Ni buena ni mala",0.213,0.199,0.165
"P56","Mala",0.14,0.189,0.176
"P56","Muy mala",0.316,0.349,0.401
"P56","No sabe",0.026,0.008,0.009
"P57","Muy buena",0.206,0.242,0.199
"P57","Buena",0.138,0.108,0.143
"P57","Ni buena ni mala",0.132,0.112,0.073
"P57","Mala",0.161,0.177,0.169
"P57","Muy mala",0.341,0.346,0.382
"P57","No sabe",0.022,0.015,0.034
"P58","Muy buena",0.272,0.293,0.243
"P58","Buena",0.132,0.118,0.188
"P58","Ni buena ni mala",0.102,0.09,0.099
"P58","Mala",0.139,0.139,0.103
"P58","Muy mala",0.341,0.348,0.364
"P58","No sabe",0.014,0.012,0.003
"P59","Muy buena",0.248,0.218,0.211
"P59","Buena",0.178,0.215,0.204
"P59","Ni buena ni mala",0.115,0.115,0.101
"P59","Mala",0.101,0.097,0.129
"P59","Muy mala",0.349,0.35,0.353
"P59","No sabe",0.009,0.005,0.002
"P60","Muy buena",0.297,0.318,0.275
"P60","Buena",0.119,0.153,0.164
"P60","Ni buena ni mala",0.161,0.106,0.141
"P60","Mala",0.092,0.095,0.12
"P60","Muy mala",0.292,0.315,0.28
"P60","No sabe",0.039,0.013,0.02
"P61","Muy buena",0.107,0.085,0.05
"P61","Buena",0.129,0.179,0.21
"P61","Ni buena ni mala",0.351,0.407,0.406
"P61","Mala",0.112,0.138,0.155
"P61","Muy mala",0.247,0.159,0.124
"P61","No sabe",0.054,0.032,0.055
