"var","categoria","Oponerse totalmente y elevar un recurso de amparo ante la corte","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino","No sabe"
"P12","Gran excedente habitual",0.017,0.045,0.003,0.04,0
"P12","Gran excedente excepcional",0.001,0,0.004,0,0
"P12","Pequeño excedente habitual",0.018,0.039,0.05,0.082,0.011
"P12","Pequeño excedente excepcional",0.04,0.051,0.099,0.139,0.007
"P12","Alcanza gastos familia",0.085,0.153,0.208,0.198,0.057
"P12","No alcanza gastos familia",0.068,0.139,0.09,0.093,0.206
"P12","Solo NBFamiliares",0.299,0.276,0.274,0.311,0.126
"P12","No alcanza NBFamiliares",0.466,0.287,0.264,0.124,0.536
"P12","No sabe",0.006,0.01,0.008,0.013,0.057
"P13","Muy buena",0.129,0.046,0.01,0.026,0.15
"P13","Buena",0.207,0.175,0.08,0.086,0.276
"P13","Ni buena ni mala",0.294,0.318,0.278,0.189,0.277
"P13","Mala",0.218,0.302,0.426,0.321,0.221
"P13","Muy mala",0.142,0.139,0.199,0.352,0.052
"P13","No sabe",0.01,0.02,0.007,0.026,0.024
"P14","Muy buena",0.038,0.237,0.503,0.471,0.016
"P14","Buena",0.055,0.206,0.221,0.273,0.109
"P14","Ni buena ni mala",0.112,0.225,0.202,0.109,0.459
"P14","Mala",0.197,0.207,0.055,0.079,0.215
"P14","Muy mala",0.594,0.124,0.016,0.064,0.143
"P14","No sabe",0.004,0.001,0.003,0.004,0.058
"P19","Muy buena",0.132,0.061,0.033,0.04,0.159
"P19","Buena",0.252,0.246,0.071,0.063,0.249
"P19","Ni buena ni mala",0.287,0.325,0.408,0.291,0.32
"P19","Mala",0.141,0.228,0.309,0.289,0.169
"P19","Muy mala",0.17,0.121,0.172,0.314,0.039
"P19","No sabe",0.018,0.019,0.007,0.003,0.064
"P20","Gobierno nacional",0.592,0.169,0.049,0.036,0.224
"P20","Gobierno provincial",0.289,0.649,0.831,0.842,0.333
"P20","No sabe",0.119,0.182,0.12,0.122,0.443
"P21","El anterior gobierno de Arabela Carreras",0.447,0.366,0.309,0.332,0.362
"P21","El actual gobierno de Alberto Weretilneck",0.46,0.452,0.588,0.621,0.35
"P21","No sabe",0.093,0.182,0.103,0.047,0.288
"P22","El anterior gobierno de Alberto Fernández",0.173,0.403,0.955,0.821,0.171
"P22","El actual gobierno de Javier Milei",0.769,0.44,0.045,0.179,0.683
"P22","No sabe",0.058,0.157,0,0,0.146
"P23","Empleado sector publico",0.232,0.201,0.182,0.154,0.134
"P23","Empleado sector privado",0.223,0.264,0.286,0.27,0.032
"P23","Changas o trabajos eventuales",0.223,0.194,0.145,0.159,0.32
"P23","Estudiante",0.013,0.062,0.063,0.071,0.072
"P23","Amas de casa",0.079,0.047,0.064,0.063,0.196
"P23","Profesional o independiente",0.08,0.085,0.147,0.117,0.028
"P23","Comerciante, emprendedor o empresario",0.053,0.037,0.064,0.078,0.016
"P23","Trabajador informal",0.008,0.002,0.007,0.015,0.091
"P23","No tengo trabajo",0.089,0.108,0.042,0.073,0.111
"P24","Muy de acuerdo",0.233,0.237,0.176,0.121,0.203
"P24","De acuerdo",0.206,0.213,0.227,0.142,0.065
"P24","Ni de acuerdo ni en desacuerdo",0.291,0.349,0.339,0.36,0.392
"P24","En desacuerdo",0.142,0.106,0.133,0.222,0.161
"P24","Muy en desacuerdo",0.096,0.078,0.117,0.131,0.062
"P24","No sabe",0.032,0.017,0.008,0.024,0.117
"P25","Muy de acuerdo",0.042,0.09,0.186,0.255,0.035
"P25","De acuerdo",0.041,0.196,0.293,0.282,0.018
"P25","Ni de acuerdo ni en desacuerdo",0.092,0.252,0.322,0.243,0.193
"P25","En desacuerdo",0.613,0.365,0.131,0.146,0.436
"P25","Muy en desacuerdo",0.205,0.091,0.06,0.073,0.288
"P25","No sabe",0.007,0.006,0.008,0.001,0.03
"P26","Si",0.661,0.576,0.74,0.8,0.197
"P26","No",0.339,0.424,0.26,0.2,0.803
"P27","Muy de acuerdo",0.109,0.17,0.293,0.347,0.034
"P27","De acuerdo",0.1,0.242,0.314,0.243,0.102
"P27","Ni de acuerdo ni en desacuerdo",0.148,0.311,0.239,0.258,0.198
"P27","En desacuerdo",0.458,0.174,0.089,0.122,0.102
"P27","Muy en desacuerdo",0.182,0.101,0.049,0.025,0.457
"P27","No sabe",0.003,0.002,0.016,0.005,0.107
"P28","Si",0.68,0.591,0.78,0.79,0.121
"P28","No",0.32,0.409,0.22,0.21,0.879
"P29","Muy de acuerdo",0.099,0.177,0.38,0.396,0.168
"P29","De acuerdo",0.086,0.271,0.309,0.333,0.076
