"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.221,0.192,0.253,0.279,0.199,0.213,0.228,0.239,0.194,0.241,0.283,0.06,0.416,0.441,0.065,0.21,0.253,0.204,6
"Buena",0.133,0.148,0.116,0.064,0.183,0.109,0.117,0.177,0.119,0.114,0.159,0.102,0.145,0.231,0.049,0.102,0.159,0.147,6
"Ni buena ni mala",0.112,0.129,0.094,0.094,0.125,0.1,0.118,0.145,0.112,0.085,0.146,0.067,0.118,0.146,0.059,0.111,0.139,0.087,6
"Mala",0.184,0.194,0.173,0.136,0.183,0.192,0.225,0.171,0.215,0.156,0.186,0.215,0.106,0.087,0.241,0.179,0.157,0.218,6
"Muy mala",0.338,0.327,0.35,0.422,0.293,0.379,0.296,0.248,0.347,0.399,0.218,0.544,0.211,0.093,0.568,0.377,0.289,0.334,6
"No sabe",0.012,0.01,0.014,0.005,0.017,0.007,0.016,0.02,0.013,0.005,0.008,0.012,0.004,0.002,0.018,0.021,0.003,0.01,6
"Positiva",0.354,0.34,0.369,0.343,0.382,0.322,0.345,0.416,0.313,0.355,0.442,0.162,0.561,0.672,0.114,0.312,0.412,0.351,4
"Neutra",0.112,0.129,0.094,0.094,0.125,0.1,0.118,0.145,0.112,0.085,0.146,0.067,0.118,0.146,0.059,0.111,0.139,0.087,4
"Negativa",0.522,0.521,0.523,0.558,0.476,0.571,0.521,0.419,0.562,0.555,0.404,0.759,0.317,0.18,0.809,0.556,0.446,0.552,4
"No sabe",0.012,0.01,0.014,0.005,0.017,0.007,0.016,0.02,0.013,0.005,0.008,0.012,0.004,0.002,0.018,0.021,0.003,0.01,4
