"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.337,0.334,0.339,0.338,0.351,0.35,0.274,0.322,0.34,0.35,0.248,0.644,0.204,0.152,0.521,0,0,0,6
"Buena",0.136,0.194,0.079,0.164,0.126,0.084,0.193,0.097,0.179,0.106,0.147,0.124,0.013,0.04,0.172,0,0,0,6
"Ni buena ni mala",0.096,0.112,0.082,0.067,0.071,0.144,0.152,0.092,0.121,0.058,0.12,0.088,0.027,0.031,0.102,0,0,0,6
"Mala",0.17,0.148,0.191,0.233,0.135,0.154,0.172,0.313,0.119,0.082,0.262,0.062,0.078,0.245,0.104,0,0,0,6
"Muy mala",0.256,0.208,0.304,0.198,0.317,0.255,0.193,0.169,0.235,0.404,0.223,0.082,0.678,0.525,0.101,0,0,0,6
"No sabe",0.005,0.004,0.005,0,0,0.013,0.016,0.007,0.006,0,0,0,0,0.007,0,0,0,0,6
"Positiva",0.473,0.528,0.418,0.502,0.477,0.434,0.467,0.419,0.519,0.456,0.395,0.768,0.217,0.192,0.693,0,0,0,4
"Neutra",0.096,0.112,0.082,0.067,0.071,0.144,0.152,0.092,0.121,0.058,0.12,0.088,0.027,0.031,0.102,0,0,0,4
"Negativa",0.426,0.356,0.495,0.431,0.452,0.409,0.365,0.482,0.354,0.486,0.485,0.144,0.756,0.77,0.205,0,0,0,4
"No sabe",0.005,0.004,0.005,0,0,0.013,0.016,0.007,0.006,0,0,0,0,0.007,0,0,0,0,4
