"var","categoria","El anterior gobierno de Arabela Carreras","El actual gobierno de Alberto Weretilneck","No sabe"
"P10","Gran excedente habitual",0.027,0,0
"P10","Gran excedente excepcional",0,0,0
"P10","Pequeño excedente habitual",0.041,0,0.036
"P10","Pequeño excedente excepcional",0.021,0,0.084
"P10","Alcanza gastos familia",0.115,0,0.087
"P10","No alcanza gastos familia",0.098,0,0.064
"P10","Solo NBFamiliares",0.26,0,0.521
"P10","No alcanza NBFamiliares",0.434,0,0.208
"P10","No sabe",0.004,0,0
"P11","Muy buena",0.086,0,0
"P11","Buena",0.095,0,0.086
"P11","Ni buena ni mala",0.288,0,0.391
"P11","Mala",0.352,0,0.303
"P11","Muy mala",0.146,0,0.181
"P11","No sabe",0.033,0,0.039
"P12","Muy buena",0.363,0,0.248
"P12","Buena",0.192,0,0.291
"P12","Ni buena ni mala",0.141,0,0.189
"P12","Mala",0.056,0,0.109
"P12","Muy mala",0.213,0,0.14
"P12","No sabe",0.035,0,0.023
"P14","Muy buena",0.164,0,0.051
"P14","Buena",0.144,0,0.244
"P14","Ni buena ni mala",0.33,0,0.316
"P14","Mala",0.193,0,0.187
"P14","Muy mala",0.169,0,0.172
"P14","No sabe",0,0,0.03
"P15","Muy buena",0.11,0,0
"P15","Buena",0.171,0,0.22
"P15","Ni buena ni mala",0.355,0,0.279
"P15","Mala",0.261,0,0.149
"P15","Muy mala",0.087,0,0.135
"P15","No sabe",0.016,0,0.217
"P19","Muy buena",0.042,0,0.007
"P19","Buena",0.114,0,0.098
"P19","Ni buena ni mala",0.137,0,0.373
"P19","Mala",0.392,0,0.404
"P19","Muy mala",0.312,0,0.069
"P19","No sabe",0.003,0,0.049
"P20","Muy buena",0.034,0,0
"P20","Buena",0.135,0,0.096
"P20","Ni buena ni mala",0.066,0,0.323
"P20","Mala",0.48,0,0.24
"P20","Muy mala",0.282,0,0.328
"P20","No sabe",0.003,0,0.013
"P21","Muy buena",0.018,0,0
"P21","Buena",0.118,0,0.076
"P21","Ni buena ni mala",0.207,0,0.32
"P21","Mala",0.444,0,0.513
"P21","Muy mala",0.207,0,0.091
"P21","No sabe",0.006,0,0
"P22","Muy de acuerdo",0.308,0,0.114
"P22","De acuerdo",0.177,0,0.245
"P22","Ni de acuerdo ni en desacuerdo",0.235,0,0.482
"P22","En desacuerdo",0.249,0,0.115
"P22","Muy en desacuerdo",0.026,0,0
"P22","No sabe",0.005,0,0.044
"P23","El estado nacional",0.136,0,0
"P23","El estado provincial",0.455,0,0.291
"P23","Ambos de forma coordinada",0.334,0,0.549
"P23","No sabe",0.075,0,0.16
"P24","Inseguridad y narcotráfico",0.191,0,0.122
"P24","Altos impuestos y tarifas",0.181,0,0.298
"P24","Educación y estado de las escuelas",0.246,0,0.148
"P24","Inflación",0.311,0,0.319
"P24","Estado de la salud",0.041,0,0.05
"P24","Corrupción",0.024,0,0.045
"P24","Pobreza",0,0,0.018
"P24","Medio ambiente, incendios y contaminación",0,0,0
"P24","Falta de trabajo",0.006,0,0
"P24","No sabe",0,0,0
"P28","Muy buena",0.015,0,0
"P28","Buena",0.084,0,0.245
"P28","Ni buena ni mala",0.264,0,0.359
"P28","Mala",0.496,0,0.144
"P28","Muy mala",0.138,0,0.157
"P28","No sabe",0.003,0,0.095
"P29","Peor",0.418,0,0.267
"P29","Igual",0.282,0,0.553
"P29","Mejor",0.173,0,0
"P29","No sabe",0.127,0,0.18
"P30","Peor",0.364,0,0.234
"P30","Igual",0.272,0,0.364
"P30","Mejor",0.236,0,0.169
"P30","No sabe",0.128,0,0.233
"P31","Javier Milei",0.55,0,0.594
"P31","Los gobernadores",0.374,0,0.272
"P31","No sabe",0.076,0,0.134
"P32","Muy buena",0.135,0,0
"P32","Buena",0.106,0,0.137
"P32","Ni buena ni mala",0.28,0,0.422
"P32","Mala",0.314,0,0.323
"P32","Muy mala",0.165,0,0.085
"P32","No sabe",0,0,0.033
"P34","Muy buena",0.158,0,0.124
"P34","Buena",0.111,0,0.263
"P34","Ni buena ni mala",0.305,0,0.409
"P34","Mala",0.26,0,0.071
"P34","Muy mala",0.166,0,0.074
"P34","No sabe",0,0,0.059
"P35","Muy buena",0.09,0,0.038
"P35","Buena",0.257,0,0.167
"P35","Ni buena ni mala",0.296,0,0.465
"P35","Mala",0.234,0,0.05
"P35","Muy mala",0.123,0,0.056
"P35","No sabe",0,0,0.224
"P36","Muy buena",0.146,0,0.086
"P36","Buena",0.073,0,0.121
"P36","Ni buena ni mala",0.107,0,0.139
"P36","Mala",0.143,0,0.197
"P36","Muy mala",0.531,0,0.457
"P36","No sabe",0,0,0
"P37","Muy buena",0.17,0,0.125
"P37","Buena",0.204,0,0.121
"P37","Ni buena ni mala",0.084,0,0.175
"P37","Mala",0.216,0,0.454
"P37","Muy mala",0.326,0,0.125
"P37","No sabe",0,0,0
"P38","Muy buena",0.03,0,0.025
"P38","Buena",0.087,0,0.075
"P38","Ni buena ni mala",0.189,0,0.243
"P38","Mala",0.124,0,0.199
"P38","Muy mala",0.57,0,0.458
"P38","No sabe",0,0,0
"P39","Muy buena",0.162,0,0.106
