"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.121,0.101,0.141,0.136,0.104,0.154,0.093,0.191,0.08,0.11,0.145,0.099,0.194,0.126,0.132,0,0,0,6
"Buena",0.154,0.15,0.158,0.147,0.155,0.125,0.208,0.048,0.222,0.162,0.083,0.374,0.069,0.06,0.244,0,0,0,6
"Ni buena ni mala",0.378,0.426,0.33,0.514,0.32,0.276,0.438,0.335,0.445,0.309,0.413,0.362,0.292,0.299,0.41,0,0,0,6
"Mala",0.162,0.125,0.198,0.155,0.134,0.233,0.144,0.206,0.11,0.2,0.169,0.069,0.166,0.222,0.116,0,0,0,6
"Muy mala",0.135,0.147,0.124,0.048,0.225,0.1,0.101,0.145,0.094,0.2,0.131,0.058,0.24,0.251,0.056,0,0,0,6
"No sabe",0.05,0.051,0.049,0,0.062,0.112,0.016,0.075,0.049,0.019,0.059,0.038,0.039,0.042,0.042,0,0,0,6
"Positiva",0.275,0.251,0.299,0.283,0.259,0.279,0.301,0.239,0.302,0.272,0.228,0.473,0.263,0.186,0.376,0,0,0,4
"Neutra",0.378,0.426,0.33,0.514,0.32,0.276,0.438,0.335,0.445,0.309,0.413,0.362,0.292,0.299,0.41,0,0,0,4
"Negativa",0.297,0.272,0.322,0.203,0.359,0.333,0.245,0.351,0.204,0.4,0.3,0.127,0.406,0.473,0.172,0,0,0,4
"No sabe",0.05,0.051,0.049,0,0.062,0.112,0.016,0.075,0.049,0.019,0.059,0.038,0.039,0.042,0.042,0,0,0,4
