"var","categoria","El anterior gobierno de Alberto Fernández","El actual gobierno de Javier Milei","No sabe"
"P10","Gran excedente habitual",0.044,0,0
"P10","Gran excedente excepcional",0,0,0
"P10","Pequeño excedente habitual",0,0,0
"P10","Pequeño excedente excepcional",0.027,0,0
"P10","Alcanza gastos familia",0.043,0,0
"P10","No alcanza gastos familia",0.085,0,0
"P10","Solo NBFamiliares",0.124,0,0.144
"P10","No alcanza NBFamiliares",0.677,0,0.856
"P10","No sabe",0,0,0
"P11","Muy buena",0.236,0,0.253
"P11","Buena",0.275,0,0.323
"P11","Ni buena ni mala",0.161,0,0.097
"P11","Mala",0.05,0,0.327
"P11","Muy mala",0.27,0,0
"P11","No sabe",0.008,0,0
"P12","Muy buena",0.346,0,0
"P12","Buena",0.2,0,0
"P12","Ni buena ni mala",0.235,0,0.529
"P12","Mala",0.152,0,0.218
"P12","Muy mala",0.067,0,0
"P12","No sabe",0,0,0.253
"P14","Muy buena",0.166,0,0.704
"P14","Buena",0.141,0,0.171
"P14","Ni buena ni mala",0.393,0,0.078
"P14","Mala",0.095,0,0.047
"P14","Muy mala",0.205,0,0
"P14","No sabe",0,0,0
"P15","Muy buena",0.355,0,0.451
"P15","Buena",0.238,0,0
"P15","Ni buena ni mala",0.131,0,0.176
"P15","Mala",0.088,0,0.12
"P15","Muy mala",0.098,0,0
"P15","No sabe",0.09,0,0.253
"P19","Muy buena",0.161,0,0
"P19","Buena",0.167,0,0.198
"P19","Ni buena ni mala",0.307,0,0.377
"P19","Mala",0.191,0,0.098
"P19","Muy mala",0.146,0,0.327
"P19","No sabe",0.028,0,0
"P20","Muy buena",0.151,0,0.174
"P20","Buena",0.133,0,0.336
"P20","Ni buena ni mala",0.09,0,0.071
"P20","Mala",0.416,0,0.419
"P20","Muy mala",0.21,0,0
"P20","No sabe",0,0,0
"P21","Muy buena",0.175,0,0
"P21","Buena",0.03,0,0.336
"P21","Ni buena ni mala",0.367,0,0.287
"P21","Mala",0.137,0,0.377
"P21","Muy mala",0.178,0,0
"P21","No sabe",0.113,0,0
"P22","Muy de acuerdo",0.531,0,0.384
"P22","De acuerdo",0.165,0,0.441
"P22","Ni de acuerdo ni en desacuerdo",0.242,0,0.175
"P22","En desacuerdo",0.057,0,0
"P22","Muy en desacuerdo",0.005,0,0
"P22","No sabe",0,0,0
"P23","El estado nacional",0.253,0,0.072
"P23","El estado provincial",0.594,0,0.663
"P23","Ambos de forma coordinada",0.055,0,0.265
"P23","No sabe",0.098,0,0
"P24","Inseguridad y narcotráfico",0.565,0,0.528
"P24","Altos impuestos y tarifas",0.044,0,0
"P24","Educación y estado de las escuelas",0.237,0,0.404
"P24","Inflación",0.109,0,0
"P24","Estado de la salud",0.032,0,0
"P24","Corrupción",0.008,0,0
"P24","Pobreza",0.005,0,0
"P24","Medio ambiente, incendios y contaminación",0,0,0
"P24","Falta de trabajo",0,0,0
"P24","No sabe",0,0,0.068
"P28","Muy buena",0.227,0,0
"P28","Buena",0.133,0,0.471
"P28","Ni buena ni mala",0.169,0,0.246
"P28","Mala",0.319,0,0.283
"P28","Muy mala",0.152,0,0
"P28","No sabe",0,0,0
"P29","Peor",0.542,0,0.334
"P29","Igual",0.144,0,0.383
"P29","Mejor",0.127,0,0.283
"P29","No sabe",0.187,0,0
"P30","Peor",0.446,0,0.334
"P30","Igual",0.133,0,0.399
"P30","Mejor",0.24,0,0.188
"P30","No sabe",0.181,0,0.079
"P31","Javier Milei",0.475,0,0
"P31","Los gobernadores",0.41,0,1
"P31","No sabe",0.115,0,0
"P32","Muy buena",0.343,0,0.378
"P32","Buena",0.365,0,0.214
"P32","Ni buena ni mala",0.072,0,0.088
"P32","Mala",0.118,0,0.32
"P32","Muy mala",0.102,0,0
"P32","No sabe",0,0,0
"P34","Muy buena",0.205,0,0.913
"P34","Buena",0.211,0,0
"P34","Ni buena ni mala",0.432,0,0.087
"P34","Mala",0.055,0,0
"P34","Muy mala",0.097,0,0
"P34","No sabe",0,0,0
"P35","Muy buena",0.189,0,0.146
"P35","Buena",0.224,0,0.319
"P35","Ni buena ni mala",0.284,0,0.535
"P35","Mala",0.155,0,0
"P35","Muy mala",0.139,0,0
"P35","No sabe",0.009,0,0
"P36","Muy buena",0.174,0,0.059
"P36","Buena",0.054,0,0.216
"P36","Ni buena ni mala",0.06,0,0.319
"P36","Mala",0.178,0,0.087
"P36","Muy mala",0.534,0,0
"P36","No sabe",0,0,0.319
"P37","Muy buena",0.168,0,0.093
"P37","Buena",0.107,0,0
"P37","Ni buena ni mala",0.144,0,0.339
"P37","Mala",0.288,0,0.229
"P37","Muy mala",0.293,0,0.339
"P37","No sabe",0,0,0
"P38","Muy buena",0.223,0,0.23
"P38","Buena",0.008,0,0.677
"P38","Ni buena ni mala",0.295,0,0
"P38","Mala",0.092,0,0.093
"P38","Muy mala",0.382,0,0
"P38","No sabe",0,0,0
"P39","Muy buena",0.172,0,0.563
"P39","Buena",0.017,0,0
"P39","Ni buena ni mala",0.25,0,0.437
"P39","Mala",0.183,0,0
"P39","Muy mala",0.368,0,0
"P39","No sabe",0.01,0,0
"P40","Muy buena",0.434,0,0
"P40","Buena",0.111,0,0
"P40","Ni buena ni mala",0.225,0,0.122
"P40","Mala",0.013,0,0.315
"P40","Muy mala",0.207,0,0.563
"P40","No sabe",0.01,0,0
"P41","Muy buena",0.45,0,0
"P41","Buena",0.209,0,0.122
"P41","Ni buena ni mala",0.217,0,0.315
"P41","Mala",0,0,0
"P41","Muy mala",0.124,0,0.563
"P41","No sabe",0,0,0
"P42","Muy buena",0.63,0,0
"P42","Buena",0.153,0,0
"P42","Ni buena ni mala",0.038,0,0.122
"P42","Mala",0,0,0.315
"P42","Muy mala",0.169,0,0.563
"P42","No sabe",0.01,0,0
"P43","Muy buena",0.14,0,0
"P43","Buena",0.189,0,0.36
"P43","Ni buena ni mala",0.316,0,0
"P43","Mala",0.076,0,0
"P43","Muy mala",0.269,0,0
"P43","No sabe",0.01,0,0.64
