"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.063,0.067,0.058,0.135,0,0.064,0.106,0.18,0.014,0.008,0.103,0,0.143,0.127,0.019,0,0,0,6
"Buena",0.105,0.07,0.137,0.025,0.124,0.151,0.125,0.084,0.122,0.098,0.155,0.057,0.057,0.154,0.064,0,0,0,6
"Ni buena ni mala",0.323,0.416,0.236,0.335,0.336,0.253,0.376,0.314,0.32,0.34,0.371,0.252,0.326,0.285,0.342,0,0,0,6
"Mala",0.302,0.281,0.323,0.298,0.308,0.351,0.217,0.25,0.325,0.325,0.209,0.441,0.269,0.213,0.391,0,0,0,6
"Muy mala",0.185,0.157,0.211,0.193,0.226,0.138,0.122,0.136,0.207,0.204,0.151,0.216,0.171,0.2,0.175,0,0,0,6
"No sabe",0.022,0.009,0.035,0.014,0.006,0.043,0.054,0.036,0.012,0.025,0.011,0.034,0.034,0.021,0.009,0,0,0,6
"Positiva",0.168,0.137,0.195,0.16,0.124,0.215,0.231,0.264,0.136,0.106,0.258,0.057,0.2,0.281,0.083,0,0,0,4
"Neutra",0.323,0.416,0.236,0.335,0.336,0.253,0.376,0.314,0.32,0.34,0.371,0.252,0.326,0.285,0.342,0,0,0,4
"Negativa",0.487,0.438,0.534,0.491,0.534,0.489,0.339,0.386,0.532,0.529,0.36,0.657,0.44,0.413,0.566,0,0,0,4
"No sabe",0.022,0.009,0.035,0.014,0.006,0.043,0.054,0.036,0.012,0.025,0.011,0.034,0.034,0.021,0.009,0,0,0,4
