"var","categoria","Inseguridad y narcotráfico","Altos impuestos y tarifas","Educación y estado de las escuelas","Inflación","Estado de la salud","Corrupción","Pobreza","Medio ambiente, incendios y contaminación","Falta de trabajo","No sabe"
"P10","Gran excedente habitual",0.064,0,0,0.008,0,0,0,0,0,0
"P10","Gran excedente excepcional",0.003,0,0,0,0,0,0,0,0,0
"P10","Pequeño excedente habitual",0.008,0,0.019,0.038,0.034,0.181,0,0,0,0
"P10","Pequeño excedente excepcional",0.021,0,0.028,0.026,0.025,0.032,0.631,0,0,0
"P10","Alcanza gastos familia",0.07,0,0.107,0.056,0.216,0.19,0,0,0,0.129
"P10","No alcanza gastos familia",0.112,0,0.133,0.123,0.126,0.039,0,0,0.423,0
"P10","Solo NBFamiliares",0.329,0,0.271,0.262,0.337,0.425,0.105,0.189,0.193,0.631
"P10","No alcanza NBFamiliares",0.393,0,0.436,0.487,0.262,0.133,0.264,0.811,0.384,0.24
"P10","No sabe",0,0,0.006,0,0,0,0,0,0,0
"P11","Muy buena",0.109,0,0.17,0.091,0.034,0,0,0,0,0
"P11","Buena",0.139,0,0.177,0.069,0.203,0.229,0,0.811,0.193,0.305
"P11","Ni buena ni mala",0.231,0,0.387,0.345,0.08,0.252,0.369,0.189,0,0.631
"P11","Mala",0.313,0,0.201,0.333,0.396,0.33,0.631,0,0.423,0.064
"P11","Muy mala",0.208,0,0.058,0.101,0.287,0.147,0,0,0.384,0
"P11","No sabe",0,0,0.007,0.061,0,0.042,0,0,0,0
"P12","Muy buena",0.413,0,0.33,0.386,0.235,0.188,0.15,0,0.294,0
"P12","Buena",0.13,0,0.126,0.137,0.034,0.095,0,0,0,0
"P12","Ni buena ni mala",0.109,0,0.263,0.118,0.078,0.133,0,0,0.384,0
"P12","Mala",0.126,0,0.169,0.053,0.152,0.418,0.114,0.189,0,0.289
"P12","Muy mala",0.204,0,0.112,0.25,0.501,0.166,0.736,0.811,0.322,0.711
"P12","No sabe",0.018,0,0,0.056,0,0,0,0,0,0
"P14","Muy buena",0.357,0,0.09,0.187,0.28,0.348,0,0.189,0,0
"P14","Buena",0.122,0,0.182,0.084,0.167,0.029,0.219,0,0.322,0.775
"P14","Ni buena ni mala",0.174,0,0.33,0.233,0.165,0.496,0.781,0,0,0.176
"P14","Mala",0.165,0,0.293,0.362,0.099,0.061,0,0.811,0.384,0.049
"P14","Muy mala",0.182,0,0.098,0.102,0.289,0.066,0,0,0.294,0
"P14","No sabe",0,0,0.007,0.032,0,0,0,0,0,0
"P15","Muy buena",0.213,0,0.134,0.117,0.034,0.02,0,0.811,0,0
"P15","Buena",0.108,0,0.241,0.29,0.169,0.134,0.254,0,0.193,0.178
"P15","Ni buena ni mala",0.265,0,0.397,0.286,0.193,0.347,0,0.189,0.423,0.582
"P15","Mala",0.242,0,0.176,0.177,0.148,0.362,0.746,0,0.384,0.064
"P15","Muy mala",0.146,0,0.037,0.105,0.456,0,0,0,0,0
"P15","No sabe",0.026,0,0.015,0.025,0,0.137,0,0,0,0.176
"P16","Gobierno nacional",0.367,0,0.162,0.159,0.238,0.024,0.781,1,0.193,0.064
"P16","Gobierno provincial",0.512,0,0.503,0.663,0.572,0.705,0.219,0,0.807,0
