"var","categoria","Muy de acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","Muy en desacuerdo","No sabe"
"P10","Gran excedente habitual",0.062,0,0,0.01,0.053,0
"P10","Gran excedente excepcional",0,0,0,0,0.021,0
"P10","Pequeño excedente habitual",0.02,0,0.042,0.007,0,0.056
"P10","Pequeño excedente excepcional",0.019,0,0.018,0.05,0.088,0
"P10","Alcanza gastos familia",0.06,0,0.114,0.106,0.134,0.391
"P10","No alcanza gastos familia",0.066,0,0.115,0.211,0.052,0.148
"P10","Solo NBFamiliares",0.342,0,0.335,0.146,0.422,0.02
"P10","No alcanza NBFamiliares",0.431,0,0.368,0.467,0.23,0.385
"P10","No sabe",0,0,0.008,0.003,0,0
"P11","Muy buena",0.139,0,0.069,0.088,0.012,0
"P11","Buena",0.194,0,0.112,0.035,0.049,0.02
"P11","Ni buena ni mala",0.328,0,0.345,0.157,0.051,0.417
"P11","Mala",0.161,0,0.232,0.528,0.334,0.398
"P11","Muy mala",0.171,0,0.236,0.148,0.554,0
"P11","No sabe",0.007,0,0.006,0.044,0,0.165
"P12","Muy buena",0.289,0,0.304,0.539,0.649,0.056
"P12","Buena",0.08,0,0.162,0.082,0.035,0
"P12","Ni buena ni mala",0.106,0,0.297,0.063,0.085,0.232
"P12","Mala",0.115,0,0.07,0.213,0.15,0.239
"P12","Muy mala",0.41,0,0.159,0.059,0.081,0.381
"P12","No sabe",0,0,0.008,0.044,0,0.092
"P14","Muy buena",0.353,0,0.084,0.15,0.371,0.331
"P14","Buena",0.214,0,0.05,0.076,0.114,0
"P14","Ni buena ni mala",0.174,0,0.392,0.171,0.144,0.151
"P14","Mala",0.11,0,0.221,0.475,0.136,0
"P14","Muy mala",0.133,0,0.253,0.118,0.201,0.361
"P14","No sabe",0.016,0,0,0.01,0.034,0.157
"P15","Muy buena",0.292,0,0.043,0.173,0.097,0
"P15","Buena",0.186,0,0.178,0.062,0.049,0.056
"P15","Ni buena ni mala",0.248,0,0.342,0.179,0.169,0.361
"P15","Mala",0.139,0,0.228,0.373,0.323,0.056
"P15","Muy mala",0.115,0,0.155,0.203,0.298,0.361
"P15","No sabe",0.02,0,0.054,0.01,0.064,0.166
"P16","Gobierno nacional",0.389,0,0.122,0.037,0.138,0
"P16","Gobierno provincial",0.449,0,0.656,0.799,0.838,0.13
"P16","No sabe",0.162,0,0.222,0.164,0.024,0.87
"P17","El anterior gobierno de Arabela Carreras",0.543,0,0.383,0.563,0.186,0.357
"P17","El actual gobierno de Alberto Weretilneck",0.416,0,0.457,0.384,0.814,0
"P17","No sabe",0.041,0,0.16,0.053,0,0.643
"P18","El anterior gobierno de Alberto Fernández",0.497,0,0.666,0.826,0.066,0
"P18","El actual gobierno de Javier Milei",0.475,0,0.297,0.174,0.934,0
"P18","No sabe",0.028,0,0.037,0,0,0
"P19","Muy buena",0.148,0,0.004,0.023,0.027,0
"P19","Buena",0.165,0,0.205,0.039,0.072,0.036
"P19","Ni buena ni mala",0.225,0,0.371,0.176,0.072,0.404
"P19","Mala",0.222,0,0.239,0.606,0.09,0.102
"P19","Muy mala",0.231,0,0.178,0.146,0.739,0.438
"P19","No sabe",0.009,0,0.003,0.01,0,0.02
"P20","Muy buena",0.142,0,0.018,0.044,0,0
"P20","Buena",0.176,0,0.067,0.051,0,0
"P20","Ni buena ni mala",0.221,0,0.358,0.113,0.098,0.137
"P20","Mala",0.247,0,0.291,0.667,0.074,0.473
"P20","Muy mala",0.197,0,0.264,0.122,0.828,0.361
"P20","No sabe",0.017,0,0.002,0.003,0,0.029
"P21","Muy buena",0.176,0,0,0,0.008,0
"P21","Buena",0.135,0,0.013,0.019,0.041,0.065
"P21","Ni buena ni mala",0.286,0,0.525,0.129,0,0.065
"P21","Mala",0.184,0,0.275,0.789,0.14,0.361
"P21","Muy mala",0.19,0,0.166,0.063,0.811,0.417
"P21","No sabe",0.029,0,0.021,0,0,0.092
"P23","El estado nacional",0.302,0,0.043,0.166,0.264,0
"P23","El estado provincial",0.505,0,0.293,0.332,0.309,0
"P23","Ambos de forma coordinada",0.171,0,0.57,0.25,0.4,0.741
"P23","No sabe",0.022,0,0.094,0.252,0.027,0.259
"P24","Inseguridad y narcotráfico",0.432,0,0.219,0.286,0.308,0.076
"P24","Altos impuestos y tarifas",0.197,0,0.293,0.068,0.364,0
"P24","Educación y estado de las escuelas",0.119,0,0.326,0.286,0.032,0.126
"P24","Inflación",0.173,0,0.091,0.315,0.067,0.219
"P24","Estado de la salud",0.041,0,0.039,0.02,0.222,0.494
"P24","Corrupción",0.009,0,0.018,0.025,0.007,0.085
"P24","Pobreza",0.007,0,0,0,0,0
"P24","Medio ambiente, incendios y contaminación",0,0,0.006,0,0,0
"P24","Falta de trabajo",0.005,0,0.008,0,0,0
"P24","No sabe",0.017,0,0,0,0,0
"P28","Muy buena",0.2,0,0,0.067,0.033,0
"P28","Buena",0.137,0,0.142,0.029,0.087,0
"P28","Ni buena ni mala",0.176,0,0.432,0.288,0.044,0.124
"P28","Mala",0.387,0,0.23,0.467,0.187,0.097
"P28","Muy mala",0.086,0,0.182,0.134,0.642,0.496
"P28","No sabe",0.014,0,0.014,0.015,0.007,0.283
"P29","Peor",0.656,0,0.355,0.481,0.633,0.766
"P29","Igual",0.22,0,0.413,0.173,0.333,0.049
"P29","Mejor",0.068,0,0.149,0.272,0,0
"P29","No sabe",0.056,0,0.083,0.074,0.034,0.185
"P30","Peor",0.522,0,0.357,0.355,0.451,0
"P30","Igual",0.266,0,0.305,0.191,0.372,0.155
"P30","Mejor",0.152,0,0.21,0.297,0.098,0.616
"P30","No sabe",0.06,0,0.128,0.157,0.079,0.229
