"var","categoria","Los robos","El narcotráfico","La ausencia de patrulleros y personal policial","Otro","Ninguno"
"P07","Al candidato del Frente de Todos",0.33,0.269,0.313,0.313,0.491
"P07","Al candidato de Juntos por el Cambio",0.33,0.439,0.373,0.247,0.237
"P07","Al candidato de los liberales - libertarios",0.133,0.207,0.176,0.111,0.149
"P07","Al candidato de la Izquierda",0.029,0.01,0.011,0.059,0.011
"P07","A otro candidato",0.061,0.024,0.069,0.077,0.038
"P07","No sabe",0.117,0.051,0.058,0.193,0.074
"P08","A Julio Zamora por el Frente de Todos",0.281,0.232,0.325,0.313,0.383
"P08","A Malena Galmarini por el Frente de Todos",0.124,0.082,0.121,0.106,0.125
"P08","A Segundo Cernadas por Cambiemos",0.311,0.349,0.29,0.181,0.283
"P08","A Nicolás Massot por Cambiemos",0.044,0.105,0.078,0.102,0.03
"P08","Al candidato de los liberales libertarios",0.076,0.122,0.09,0.096,0.045
"P08","A Paula Akerfeld por el Frente de Izquierda",0.056,0.029,0.007,0.056,0.043
"P08","No sabe",0.108,0.081,0.089,0.146,0.091
"P10","A Julio Zamora por el Frente de Todos",0.325,0.301,0.347,0.398,0.403
"P10","A Segundo Cernadas por Cambiemos",0.298,0.378,0.359,0.254,0.307
"P10","Al candidato de los liberales libertarios",0.152,0.199,0.149,0.122,0.157
"P10","A Paula Akerfeld por el Frente de Izquierda",0.048,0.025,0.018,0.078,0.031
"P10","No sabe",0.177,0.097,0.127,0.148,0.102
"P12","A Malena Galmarini por el Frente de Todos",0.276,0.259,0.305,0.247,0.324
"P12","A Segundo Cernadas por Cambiemos",0.383,0.412,0.334,0.297,0.299
"P12","Al candidato de los liberales libertarios",0.106,0.18,0.147,0.108,0.163
"P12","A Paula Akerfeld por el Frente de Izquierda",0.021,0.014,0.052,0.074,0.011
"P12","No sabe",0.214,0.135,0.162,0.274,0.203
"P14","Muy buena",0.114,0.143,0.078,0.065,0.203
"P14","Buena",0.156,0.122,0.139,0.173,0.108
"P14","Ni buena ni mala",0.236,0.13,0.29,0.229,0.182
"P14","Mala",0.14,0.197,0.188,0.204,0.151
"P14","Muy mala",0.286,0.389,0.236,0.291,0.283
"P14","No sabe",0.068,0.019,0.069,0.038,0.073
"P15","Muy buena",0.167,0.122,0.216,0.213,0.375
"P15","Buena",0.172,0.226,0.212,0.335,0.101
"P15","Ni buena ni mala",0.251,0.259,0.173,0.163,0.248
"P15","Mala",0.205,0.202,0.179,0.119,0.149
"P15","Muy mala",0.159,0.168,0.176,0.111,0.093
"P15","No sabe",0.046,0.023,0.044,0.059,0.034
"P16","Muy buena",0.189,0.187,0.349,0.107,0.142
"P16","Buena",0.114,0.209,0.107,0.17,0.136
"P16","Ni buena ni mala",0.333,0.323,0.171,0.373,0.182
"P16","Mala",0.144,0.141,0.097,0.126,0.07
"P16","Muy mala",0.107,0.099,0.206,0.141,0.302
"P16","No sabe",0.113,0.041,0.07,0.083,0.168
"P17","Muy buena",0.015,0.028,0.01,0.008,0.014
"P17","Buena",0.103,0.064,0.017,0.021,0.028
"P17","Ni buena ni mala",0.297,0.27,0.524,0.389,0.345
"P17","Mala",0.083,0.064,0.179,0.06,0.012
"P17","Muy mala",0.064,0.052,0.032,0.089,0.163
"P17","No sabe",0.438,0.522,0.238,0.433,0.438
"P18","Muy buena",0.088,0.122,0.014,0.063,0.03
"P18","Buena",0.108,0.123,0.251,0.091,0.036
"P18","Ni buena ni mala",0.309,0.311,0.426,0.291,0.332
"P18","Mala",0.084,0.111,0.031,0.142,0.056
"P18","Muy mala",0.073,0.061,0.096,0.1,0.219
"P18","No sabe",0.338,0.272,0.182,0.313,0.327
"P19","Muy buena",0.162,0.13,0.147,0.124,0.46
"P19","Buena",0.215,0.22,0.211,0.29,0.135
"P19","Ni buena ni mala",0.311,0.238,0.251,0.295,0.244
"P19","Mala",0.116,0.282,0.247,0.128,0.154
"P19","Muy mala",0.157,0.125,0.132,0.124,0.006
"P19","No sabe",0.039,0.005,0.012,0.039,0.001
"P20","Que continúe el intendente Julio Zamora",0.177,0.085,0.128,0.183,0.417
"P20","Que continúe Julio Zamora pero con mejoras",0.238,0.229,0.236,0.331,0.148
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.153,0.17,0.165,0.141,0.148
"P20","Que cambie el intendente Julio Zamora",0.432,0.516,0.471,0.345,0.287
"P21","Es kirchnerista",0.226,0.219,0.086,0.117,0.155
"P21","Forma parte del Frente de Todos",0.251,0.266,0.32,0.309,0.219
"P21","Es un hombre de Massa",0.153,0.158,0.13,0.095,0.153
"P21","Es un peronista independiente de centro",0.132,0.06,0.04,0.055,0.137
"P21","Es un oportunista y está donde le conviene",0.115,0.26,0.282,0.205,0.219
"P21","No sabe",0.123,0.037,0.142,0.219,0.117
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.234,0.127,0.088,0.106,0.122
"P22","Son aliados tácticos pero lo ocultan",0.076,0.182,0.089,0.11,0.179
"P22","Son adversarios políticos",0.421,0.458,0.472,0.445,0.337
"P22","No sabe",0.269,0.233,0.351,0.339,0.362
"P23","Son lo mismo, ambos son de Massa",0.293,0.233,0.29,0.125,0.088
"P23","Son aliados en el Frente de Todos pero compiten",0.304,0.382,0.342,0.274,0.382
"P23","Son enemigos porque Zamora traicionó a Massa",0.187,0.294,0.106,0.311,0.253
"P23","No sabe",0.216,0.091,0.262,0.29,0.277
"P24","La seguridad",0.224,0.242,0.206,0.29,0.202
"P24","El tránsito",0.075,0.076,0.078,0.05,0.091
"P24","El arreglo de las calles",0.124,0.082,0.148,0.12,0.186
"P24","El estado de las escuelas y la educación",0.047,0.018,0.103,0.026,0.227
"P24","El sistema de salud",0.065,0.103,0.121,0.031,0.036
"P24","El deporte y la cultura",0.049,0.125,0.052,0.098,0.055
"P24","La obra pública",0.04,0.036,0.018,0.085,0.026
"P24","La luminaria",0.077,0.128,0.047,0.138,0.028
"P24","No sabe",0.299,0.19,0.227,0.162,0.149
"P25","La seguridad",0.258,0.151,0.228,0.077,0.04
"P25","El tránsito",0.179,0.126,0.051,0.081,0.078
"P25","El arreglo de las calles",0.144,0.179,0.149,0.213,0.068
"P25","El estado de las escuelas y la educación",0.115,0.18,0.085,0.131,0.17
"P25","El sistema de salud",0.121,0.234,0.258,0.237,0.11
"P25","El deporte y la cultura",0.021,0.012,0.024,0.032,0.01
"P25","La obra pública",0.013,0.036,0.084,0.044,0.076
"P25","La luminaria",0.025,0.009,0.002,0.06,0.001
"P25","No sabe",0.124,0.073,0.119,0.125,0.447
"P26","Agua corriente y cloacas",0.587,0.466,0.414,0.414,0.167
"P26","Energía eléctrica",0.093,0.126,0.078,0.117,0.04
"P26","Red de gas natural",0.108,0.078,0.133,0.092,0.018
"P26","Recolección de residuos",0.1,0.093,0.164,0.162,0.024
"P26","Ninguno",0.112,0.237,0.211,0.215,0.751
"P28","Frente de Todos y el peronismo",0.374,0.272,0.294,0.22,0.401
"P28","Cambiemos",0.282,0.413,0.346,0.233,0.305
"P28","Liberales Libertarios",0.157,0.22,0.235,0.105,0.054
"P28","Izquierda",0.025,0.007,0.014,0.122,0.011
"P28","No sabe",0.162,0.088,0.111,0.32,0.229
"P30","A Alberto Fernández",0.111,0.132,0.218,0,0.231
"P30","A Sergio Massa",0.327,0.149,0.022,0.464,0.721
"P30","A algún candidato del peronismo",0.279,0.604,0.477,0.308,0.048
"P30","A algún candidato del kirchnerismo",0.283,0.115,0.283,0.228,0
"P31","A Alberto Fernández",0.099,0.033,0.206,0,0
"P31","A Sergio Massa",0.233,0.173,0.112,0.466,0.73
"P31","A algún candidato del peronismo",0.311,0.666,0.356,0.234,0.045
"P31","A Cristina Fernández de Kirchner",0.357,0.128,0.326,0.3,0.225
"P32","A Horacio Rodriguez Larreta",0.401,0.189,0.194,0.155,0.353
"P32","A Mauricio Macri",0.195,0.175,0.331,0.141,0.158
"P32","A Patricia Bullrich",0.193,0.269,0.224,0.367,0.106
"P32","A Facundo Manes",0.121,0.294,0.06,0.297,0.231
"P32","A Gerardo Morales",0.09,0.073,0.191,0.04,0.152
"P33","Seguro lo votaria",0.313,0.261,0.394,0.051,0.041
"P33","Quizás lo votaría",0.267,0.217,0.266,0.403,0.138
"P33","Nunca lo votaría",0.42,0.522,0.34,0.546,0.821
"P34","Muy buena",0.1,0.08,0.177,0.027,0.308
"P34","Buena",0.142,0.122,0.105,0.094,0.097
"P34","Ni buena ni mala",0.138,0.142,0.172,0.269,0.071
"P34","Mala",0.138,0.099,0.096,0.145,0.105
"P34","Muy mala",0.476,0.557,0.416,0.465,0.323
"P34","No sabe",0.006,0,0.034,0,0.096
"P35","Muy buena",0.204,0.113,0.22,0.125,0.221
"P35","Buena",0.088,0.204,0.134,0.173,0.19
"P35","Ni buena ni mala",0.112,0.27,0.144,0.164,0.017
"P35","Mala",0.245,0.129,0.194,0.177,0.142
"P35","Muy mala",0.339,0.284,0.285,0.358,0.411
"P35","No sabe",0.012,0,0.023,0.003,0.019
"P36","Muy buena",0.232,0.176,0.159,0.183,0.331
"P36","Buena",0.061,0.078,0.067,0.122,0.074
"P36","Ni buena ni mala",0.113,0.043,0.041,0.058,0.04
"P36","Mala",0.107,0.069,0.132,0.036,0.063
"P36","Muy mala",0.464,0.634,0.578,0.566,0.443
"P36","No sabe",0.023,0,0.023,0.035,0.049
"P37","Muy buena",0.118,0.155,0.167,0.092,0.139
"P37","Buena",0.229,0.199,0.171,0.253,0.247
"P37","Ni buena ni mala",0.189,0.241,0.22,0.188,0.095
"P37","Mala",0.177,0.177,0.11,0.209,0.083
"P37","Muy mala",0.245,0.223,0.264,0.249,0.356
"P37","No sabe",0.042,0.005,0.068,0.009,0.08
"P38","Muy buena",0.067,0.085,0.019,0.073,0.1
"P38","Buena",0.167,0.131,0.202,0.145,0.253
"P38","Ni buena ni mala",0.2,0.145,0.178,0.169,0.106
"P38","Mala",0.221,0.151,0.14,0.203,0.176
"P38","Muy mala",0.304,0.488,0.411,0.401,0.336
"P38","No sabe",0.041,0,0.05,0.009,0.029
"P39","Muy buena",0.204,0.292,0.329,0.285,0.223
"P39","Buena",0.16,0.284,0.151,0.209,0.102
"P39","Ni buena ni mala",0.165,0.098,0.079,0.06,0.075
"P39","Mala",0.129,0.09,0.101,0.153,0.098
"P39","Muy mala",0.278,0.234,0.267,0.276,0.432
