"var","categoria","Son lo mismo, ambos son de Massa","Son aliados en el Frente de Todos pero compiten","Son enemigos porque Zamora traicionó a Massa","No sabe"
"P07","Al candidato del Frente de Todos",0.166,0.491,0.244,0.292
"P07","Al candidato de Juntos por el Cambio",0.478,0.24,0.405,0.213
"P07","Al candidato de los liberales - libertarios",0.228,0.117,0.204,0.129
"P07","Al candidato de la Izquierda",0.03,0.016,0.033,0.012
"P07","A otro candidato",0.038,0.046,0.046,0.13
"P07","No sabe",0.06,0.09,0.068,0.224
"P08","A Julio Zamora por el Frente de Todos",0.126,0.417,0.232,0.325
"P08","A Malena Galmarini por el Frente de Todos",0.093,0.148,0.108,0.054
"P08","A Segundo Cernadas por Cambiemos",0.454,0.198,0.315,0.192
"P08","A Nicolás Massot por Cambiemos",0.06,0.06,0.129,0.056
"P08","Al candidato de los liberales libertarios",0.151,0.071,0.085,0.094
"P08","A Paula Akerfeld por el Frente de Izquierda",0.04,0.025,0.067,0.023
"P08","No sabe",0.076,0.081,0.064,0.256
"P10","A Julio Zamora por el Frente de Todos",0.18,0.496,0.275,0.351
"P10","A Segundo Cernadas por Cambiemos",0.519,0.235,0.348,0.207
"P10","Al candidato de los liberales libertarios",0.156,0.16,0.187,0.165
"P10","A Paula Akerfeld por el Frente de Izquierda",0.035,0.024,0.078,0.018
"P10","No sabe",0.11,0.085,0.112,0.259
"P12","A Malena Galmarini por el Frente de Todos",0.169,0.436,0.252,0.158
"P12","A Segundo Cernadas por Cambiemos",0.505,0.241,0.429,0.27
"P12","Al candidato de los liberales libertarios",0.193,0.137,0.174,0.079
"P12","A Paula Akerfeld por el Frente de Izquierda",0.039,0.03,0.03,0.026
"P12","No sabe",0.094,0.156,0.115,0.467
"P14","Muy buena",0.079,0.218,0.038,0.07
"P14","Buena",0.093,0.252,0.139,0.066
"P14","Ni buena ni mala",0.117,0.204,0.238,0.311
"P14","Mala",0.202,0.126,0.174,0.186
"P14","Muy mala",0.471,0.177,0.381,0.23
"P14","No sabe",0.038,0.023,0.03,0.137
"P15","Muy buena",0.117,0.271,0.082,0.24
"P15","Buena",0.153,0.295,0.206,0.171
"P15","Ni buena ni mala",0.202,0.192,0.271,0.289
"P15","Mala",0.321,0.085,0.19,0.133
"P15","Muy mala",0.198,0.128,0.211,0.056
"P15","No sabe",0.009,0.029,0.04,0.111
"P16","Muy buena",0.41,0.114,0.12,0.097
"P16","Buena",0.179,0.153,0.174,0.108
"P16","Ni buena ni mala",0.188,0.283,0.412,0.363
"P16","Mala",0.1,0.165,0.088,0.114
"P16","Muy mala",0.094,0.212,0.124,0.125
"P16","No sabe",0.029,0.073,0.082,0.193
"P17","Muy buena",0.02,0.021,0.001,0.017
"P17","Buena",0.082,0.066,0.047,0.043
"P17","Ni buena ni mala",0.304,0.381,0.331,0.316
"P17","Mala",0.157,0.034,0.075,0.084
"P17","Muy mala",0.108,0.073,0.068,0.06
"P17","No sabe",0.329,0.425,0.478,0.48
"P18","Muy buena",0.109,0.052,0.125,0.017
"P18","Buena",0.16,0.101,0.15,0.101
"P18","Ni buena ni mala",0.328,0.326,0.409,0.249
"P18","Mala",0.078,0.106,0.102,0.077
"P18","Muy mala",0.099,0.126,0.051,0.089
"P18","No sabe",0.226,0.289,0.163,0.467
"P19","Muy buena",0.134,0.269,0.061,0.177
"P19","Buena",0.11,0.324,0.198,0.26
"P19","Ni buena ni mala",0.277,0.205,0.299,0.321
"P19","Mala",0.291,0.121,0.219,0.14
"P19","Muy mala",0.185,0.058,0.213,0.063
"P19","No sabe",0.003,0.023,0.01,0.039
"P20","Que continúe el intendente Julio Zamora",0.094,0.254,0.134,0.16
"P20","Que continúe Julio Zamora pero con mejoras",0.131,0.313,0.179,0.357
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.147,0.155,0.162,0.141
"P20","Que cambie el intendente Julio Zamora",0.628,0.278,0.525,0.342
"P21","Es kirchnerista",0.23,0.201,0.16,0.091
"P21","Forma parte del Frente de Todos",0.184,0.421,0.217,0.202
"P21","Es un hombre de Massa",0.176,0.147,0.14,0.107
"P21","Es un peronista independiente de centro",0.094,0.046,0.102,0.148
"P21","Es un oportunista y está donde le conviene",0.249,0.119,0.313,0.132
"P21","No sabe",0.067,0.066,0.068,0.32
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.277,0.101,0.153,0.081
"P22","Son aliados tácticos pero lo ocultan",0.108,0.144,0.176,0.079
"P22","Son adversarios políticos",0.458,0.517,0.451,0.177
"P22","No sabe",0.157,0.238,0.22,0.663
"P24","La seguridad",0.279,0.228,0.273,0.165
"P24","El tránsito",0.082,0.135,0.044,0.008
"P24","El arreglo de las calles",0.071,0.126,0.187,0.096
"P24","El estado de las escuelas y la educación",0.009,0.077,0.005,0.152
"P24","El sistema de salud",0.091,0.087,0.049,0.066
"P24","El deporte y la cultura",0.093,0.084,0.086,0.059
"P24","La obra pública",0.018,0.079,0.027,0.025
"P24","La luminaria",0.06,0.073,0.108,0.128
"P24","No sabe",0.297,0.111,0.221,0.301
"P25","La seguridad",0.234,0.165,0.138,0.118
"P25","El tránsito",0.133,0.117,0.125,0.129
"P25","El arreglo de las calles",0.181,0.09,0.245,0.145
"P25","El estado de las escuelas y la educación",0.147,0.15,0.156,0.092
"P25","El sistema de salud",0.144,0.236,0.169,0.178
"P25","El deporte y la cultura",0.018,0.027,0,0.027
"P25","La obra pública",0.027,0.044,0.07,0.024
"P25","La luminaria",0.01,0.028,0.017,0.038
"P25","No sabe",0.106,0.143,0.08,0.249
"P26","Agua corriente y cloacas",0.506,0.437,0.482,0.373
"P26","Energía eléctrica",0.119,0.115,0.101,0.094
"P26","Red de gas natural",0.076,0.092,0.078,0.11
"P26","Recolección de residuos",0.104,0.114,0.115,0.097
"P26","Ninguno",0.195,0.242,0.224,0.326
"P27","Los robos",0.381,0.265,0.232,0.31
"P27","El narcotráfico",0.306,0.337,0.37,0.132
"P27","La ausencia de patrulleros y personal policial",0.177,0.14,0.062,0.176
"P27","Otro",0.095,0.14,0.225,0.242
"P27","Ninguno",0.041,0.118,0.111,0.14
"P28","Frente de Todos y el peronismo",0.203,0.497,0.207,0.241
"P28","Cambiemos",0.413,0.258,0.408,0.235
"P28","Liberales Libertarios",0.254,0.117,0.173,0.143
"P28","Izquierda",0.045,0.021,0.045,0.025
"P28","No sabe",0.085,0.107,0.167,0.356
