"var","categoria","Al candidato del Frente de Todos","Al candidato de Juntos por el Cambio","Al candidato de los liberales - libertarios","Al candidato de la Izquierda","A otro candidato","No sabe"
"P08","A Julio Zamora por el Frente de Todos",0.683,0.044,0.045,0.033,0.128,0.246
"P08","A Malena Galmarini por el Frente de Todos",0.178,0.115,0.011,0.063,0.082,0.105
"P08","A Segundo Cernadas por Cambiemos",0.089,0.58,0.188,0.02,0.137,0.083
"P08","A Nicolás Massot por Cambiemos",0.013,0.176,0.058,0,0.069,0.027
"P08","Al candidato de los liberales libertarios",0.002,0.016,0.62,0,0.065,0.013
"P08","A Paula Akerfeld por el Frente de Izquierda",0.009,0.003,0.038,0.81,0.005,0.076
"P08","No sabe",0.026,0.066,0.04,0.074,0.514,0.45
"P10","A Julio Zamora por el Frente de Todos",0.793,0.093,0.026,0.035,0.183,0.349
"P10","A Segundo Cernadas por Cambiemos",0.074,0.738,0.121,0.072,0.27,0.137
"P10","Al candidato de los liberales libertarios",0.043,0.062,0.693,0.086,0.088,0.024
"P10","A Paula Akerfeld por el Frente de Izquierda",0.015,0.006,0.057,0.704,0.039,0.018
"P10","No sabe",0.075,0.101,0.103,0.103,0.42,0.472
"P12","A Malena Galmarini por el Frente de Todos",0.627,0.142,0.009,0.043,0.114,0.209
"P12","A Segundo Cernadas por Cambiemos",0.11,0.753,0.145,0.02,0.415,0.234
"P12","Al candidato de los liberales libertarios",0.03,0.035,0.725,0.087,0.01,0.018
"P12","A Paula Akerfeld por el Frente de Izquierda",0.027,0.006,0.021,0.78,0.005,0.009
"P12","No sabe",0.206,0.064,0.1,0.07,0.456,0.53
"P14","Muy buena",0.226,0.097,0.005,0,0.074,0.138
"P14","Buena",0.325,0.07,0.038,0.019,0.133,0.103
"P14","Ni buena ni mala",0.253,0.139,0.185,0.269,0.165,0.298
"P14","Mala",0.074,0.239,0.155,0.218,0.213,0.162
"P14","Muy mala",0.079,0.421,0.512,0.494,0.271,0.195
"P14","No sabe",0.043,0.034,0.105,0,0.144,0.104
"P15","Muy buena",0.39,0.067,0.021,0.014,0.203,0.194
"P15","Buena",0.346,0.188,0.126,0.125,0.189,0.156
"P15","Ni buena ni mala",0.195,0.271,0.213,0.092,0.148,0.31
"P15","Mala",0.035,0.246,0.223,0.398,0.267,0.157
"P15","Muy mala",0.019,0.205,0.333,0.308,0.058,0.053
"P15","No sabe",0.015,0.023,0.084,0.063,0.135,0.13
"P16","Muy buena",0.082,0.377,0.099,0.055,0.097,0.101
"P16","Buena",0.051,0.267,0.162,0,0.239,0.1
"P16","Ni buena ni mala",0.298,0.222,0.341,0.119,0.377,0.405
"P16","Mala",0.221,0.06,0.074,0.347,0.082,0.088
"P16","Muy mala",0.249,0.057,0.183,0.333,0.032,0.078
"P16","No sabe",0.099,0.017,0.141,0.146,0.173,0.228
"P17","Muy buena",0.043,0.013,0.031,0,0.01,0
"P17","Buena",0.047,0.079,0.023,0.012,0.104,0.016
"P17","Ni buena ni mala",0.335,0.365,0.37,0.071,0.227,0.222
"P17","Mala",0.072,0.095,0.035,0.175,0.125,0.075
"P17","Muy mala",0.075,0.062,0.119,0.233,0.024,0.096
"P17","No sabe",0.428,0.386,0.422,0.509,0.51,0.591
"P18","Muy buena",0.034,0.155,0.046,0,0,0.048
"P18","Buena",0.076,0.203,0.08,0.012,0.16,0.019
"P18","Ni buena ni mala",0.326,0.309,0.435,0.156,0.223,0.255
"P18","Mala",0.151,0.081,0.052,0.115,0.095,0.015
"P18","Muy mala",0.138,0.071,0.119,0.365,0.106,0.087
"P18","No sabe",0.275,0.181,0.268,0.352,0.416,0.576
"P19","Muy buena",0.392,0.044,0.03,0.014,0.09,0.124
"P19","Buena",0.372,0.154,0.061,0.018,0.336,0.288
"P19","Ni buena ni mala",0.145,0.307,0.284,0.397,0.299,0.308
"P19","Mala",0.039,0.278,0.288,0.15,0.164,0.097
"P19","Muy mala",0.038,0.206,0.247,0.352,0.075,0.092
"P19","No sabe",0.014,0.011,0.09,0.069,0.036,0.091
"P20","Que continúe el intendente Julio Zamora",0.421,0.044,0.042,0,0.074,0.184
"P20","Que continúe Julio Zamora pero con mejoras",0.411,0.077,0.126,0.183,0.31,0.429
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.104,0.187,0.19,0.132,0.22,0.145
"P20","Que cambie el intendente Julio Zamora",0.064,0.692,0.642,0.685,0.396,0.242
"P21","Es kirchnerista",0.187,0.215,0.222,0.023,0.021,0.031
"P21","Forma parte del Frente de Todos",0.472,0.163,0.162,0.015,0.287,0.215
"P21","Es un hombre de Massa",0.143,0.136,0.089,0.32,0.111,0.171
"P21","Es un peronista independiente de centro",0.07,0.11,0.068,0.196,0.155,0.099
"P21","Es un oportunista y está donde le conviene",0.041,0.298,0.341,0.446,0.173,0.043
"P21","No sabe",0.087,0.078,0.118,0,0.253,0.441
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.12,0.106,0.273,0.446,0.176,0.101
"P22","Son aliados tácticos pero lo ocultan",0.132,0.081,0.199,0.272,0.151,0.099
"P22","Son adversarios políticos",0.514,0.576,0.282,0.055,0.079,0.162
"P22","No sabe",0.234,0.237,0.246,0.227,0.594,0.638
"P23","Son lo mismo, ambos son de Massa",0.118,0.333,0.314,0.31,0.141,0.128
"P23","Son aliados en el Frente de Todos pero compiten",0.511,0.243,0.235,0.235,0.245,0.282
"P23","Son enemigos porque Zamora traicionó a Massa",0.178,0.287,0.286,0.344,0.171,0.147
"P23","No sabe",0.193,0.137,0.165,0.111,0.443,0.443
"P24","La seguridad",0.232,0.267,0.309,0.086,0.082,0.16
"P24","El tránsito",0.124,0.079,0.01,0.017,0.121,0.004
"P24","El arreglo de las calles",0.193,0.082,0.074,0,0.135,0.111
"P24","El estado de las escuelas y la educación",0.108,0.017,0.053,0,0.019,0.107
"P24","El sistema de salud",0.092,0.116,0.017,0.016,0.04,0.018
"P24","El deporte y la cultura",0.07,0.096,0.069,0.161,0.165,0.022
"P24","La obra pública",0.086,0.018,0.014,0,0.014,0.049
"P24","La luminaria",0.053,0.089,0.088,0.423,0.059,0.156
"P24","No sabe",0.042,0.236,0.366,0.297,0.365,0.373
"P25","La seguridad",0.176,0.214,0.079,0.106,0.089,0.159
"P25","El tránsito",0.065,0.162,0.147,0.176,0.255,0.069
"P25","El arreglo de las calles",0.138,0.17,0.227,0,0.115,0.126
"P25","El estado de las escuelas y la educación",0.157,0.12,0.142,0.18,0.036,0.191
"P25","El sistema de salud",0.208,0.167,0.142,0.467,0.269,0.153
"P25","El deporte y la cultura",0.023,0.003,0.023,0.025,0,0.064
"P25","La obra pública",0.016,0.036,0.145,0,0.017,0.004
"P25","La luminaria",0.014,0.01,0.023,0.034,0,0.112
"P25","No sabe",0.203,0.118,0.072,0.012,0.219,0.122
"P26","Agua corriente y cloacas",0.393,0.526,0.47,0.379,0.309,0.446
"P26","Energía eléctrica",0.069,0.113,0.128,0.075,0.297,0.084
"P26","Red de gas natural",0.114,0.117,0.032,0,0.021,0.061
"P26","Recolección de residuos",0.092,0.08,0.182,0.314,0.07,0.112
"P26","Ninguno",0.332,0.164,0.188,0.232,0.303,0.297
"P27","Los robos",0.299,0.28,0.246,0.354,0.345,0.35
"P27","El narcotráfico",0.246,0.378,0.386,0.119,0.141,0.153
"P27","La ausencia de patrulleros y personal policial",0.133,0.149,0.151,0.064,0.183,0.082
"P27","Otro",0.165,0.122,0.12,0.416,0.256,0.336
"P27","Ninguno",0.157,0.071,0.097,0.047,0.075,0.079
"P28","Frente de Todos y el peronismo",0.762,0.068,0.03,0.314,0.216,0.165
"P28","Cambiemos",0.05,0.816,0.097,0.011,0.024,0.098
"P28","Liberales Libertarios",0.035,0.065,0.768,0,0.079,0.059
"P28","Izquierda",0.035,0.007,0.008,0.649,0.026,0.014
"P28","No sabe",0.118,0.044,0.097,0.026,0.655,0.664
"P30","A Alberto Fernández",0.237,0.064,0,0,0.329,0
"P30","A Sergio Massa",0.306,0.173,0.328,0,0.067,0.386
"P30","A algún candidato del peronismo",0.156,0.555,0.657,0,0.527,0.546
"P30","A algún candidato del kirchnerismo",0.301,0.208,0.015,1,0.077,0.068
"P31","A Alberto Fernández",0.123,0.107,0,0,0.072,0
"P31","A Sergio Massa",0.237,0.138,0.416,0,0.079,0.54
"P31","A algún candidato del peronismo",0.085,0.639,0.584,0,0.768,0.435
"P31","A Cristina Fernández de Kirchner",0.555,0.116,0,1,0.081,0.025
"P32","A Horacio Rodriguez Larreta",0.358,0.262,0.109,0.293,0.109,0.469
