clave	texto
encuesta_especial	Percepción de la Inseguridad - Encuesta Nacional, Octubre 2023
bajada_encuesta_especial	Encuesta Sincrónica
bajada_encuesta_especial_fecha	13/10/2023
ficha_Población objeto de estudio	Población mayor de 16 años.
ficha_Unidad de muestreo	Télefonos celulares de empresas Personal, Movistar y Claro, complementados con un 13% de teléfonos fijos para optimizar cobertura geográfica.
ficha_Ámbito	República Argentina
ficha_Estratificación	Cinco estratos regionales (NEA, NOA, Cuyo, Centro y Patagonia) y Cordones I,II y III de la RMBA e interior PBA.
ficha_Técnicas de recolección de información	ES - Encuesta Sincrónica (IVR) a teléfonos móviles y fijos
ficha_Diseño muestral	Muestreo aleatorio estratificado por provincias, CABA, Cordones I, II y III de la RMBA e interior PBA. La probabilidad de selección hacia el interior de cada estrato se definió de manera proporcional al tamaño del departamento.
ficha_Tamaño muestral	La captura de datos abarca 4.934 casos efectivos.
ficha_Calibración de la muestra	En función de datos paramétricos censales de sexo, edad y nivel educativo.
ficha_Margen de error	+/- 1.4 %
