"var","categoria","Javier Milei","Mauricio Macri","Ambos","No sabe"
"P10","Siempre",0.194,0.188,0.184,0.137
"P10","Casi siempre",0.279,0.331,0.224,0.258
"P10","Casi nunca",0.31,0.332,0.396,0.318
"P10","Nunca, pero esta es una excepción",0.217,0.149,0.196,0.287
"P11","Si",0.566,0.077,0.225,0.128
"P11","No",0.191,0.845,0.363,0.406
"P11","No sabe",0.243,0.078,0.412,0.466
"P13","Si",0.749,0.077,0.361,0.2
"P13","No",0.168,0.897,0.453,0.544
"P13","No sabe",0.083,0.026,0.186,0.256
"P14","Florencio Randazzo",0.287,0.319,0.235,0.192
"P14","Cristian Ritondo",0.227,0.187,0.199,0.123
"P14","Algun diputado del bloque de Milei",0.318,0.102,0.213,0.104
"P14","No sabe",0.168,0.392,0.353,0.581
"P15","Si",0.731,0.177,0.495,0.322
"P15","No",0.191,0.784,0.368,0.459
"P15","No sabe",0.078,0.039,0.137,0.219
"P16","Si",0.469,0.639,0.536,0.597
"P16","No",0.423,0.239,0.277,0.134
"P16","No sabe",0.108,0.122,0.187,0.269
"P17","Si",0.436,0.574,0.53,0.382
"P17","No",0.458,0.356,0.298,0.288
"P17","No sabe",0.106,0.07,0.172,0.33
"P18","Los cargos públicos",0.496,0.427,0.383,0.245
"P18","El empleo público",0.18,0.121,0.126,0.115
"P18","Los planes sociales",0.19,0.105,0.209,0.183
"P18","Las tarifas de los servicios públicos",0.045,0.063,0.095,0.137
"P18","No sabe",0.089,0.284,0.187,0.32
"P19","Si",0.498,0.162,0.254,0.142
"P19","No",0.273,0.714,0.461,0.428
"P19","No sabe",0.229,0.124,0.285,0.43
"P20","Si",0.775,0.236,0.43,0.327
"P20","No",0.154,0.691,0.385,0.377
"P20","No sabe",0.071,0.073,0.185,0.296
"P21","Inflación",0.345,0.343,0.298,0.187
"P21","Desempleo",0.075,0.113,0.087,0.176
"P21","Corrupción",0.392,0.202,0.308,0.28
"P21","Inseguridad",0.109,0.108,0.132,0.133
"P21","Precio del dólar",0.013,0.051,0.011,0.023
"P21","Pobreza",0.022,0.078,0.077,0.066
"P21","Narcotráfico",0.01,0.017,0.01,0.029
"P21","Tarifas",0.007,0.018,0.008,0.003
"P21","Otro",0.015,0.065,0.049,0.029
"P21","No sabe",0.012,0.005,0.02,0.074
"P25","Sin deuda",0.347,0.332,0.348,0.305
"P25","Menos de 10%",0.183,0.185,0.116,0.151
"P25","Entre 10 y 20%",0.153,0.112,0.167,0.192
"P25","Entre 20 y 30%",0.084,0.102,0.101,0.038
"P25","Entre 30 y 40%",0.071,0.085,0.063,0.08
"P25","Mas del 40%",0.117,0.158,0.11,0.09
"P25","No sabe",0.045,0.026,0.095,0.144
"P26","Gran excedente habitual",0.004,0.014,0.014,0.007
"P26","Gran excedente excepcional",0.004,0.01,0.019,0
"P26","Pequeño excedente habitual",0.044,0.069,0.053,0.021
"P26","Pequeño excedente excepcional",0.056,0.071,0.064,0.025
"P26","Alcanza gastos familia",0.121,0.173,0.127,0.073
"P26","No alcanza gastos familia",0.123,0.104,0.131,0.151
"P26","Solo NBFamiliares",0.291,0.256,0.291,0.259
"P26","No alcanza NBFamiliares",0.342,0.297,0.283,0.403
"P26","No sabe",0.015,0.006,0.018,0.061
"P27","Muy buena",0.059,0.08,0.049,0.038
"P27","Buena",0.169,0.236,0.145,0.121
"P27","Ni buena ni mala",0.434,0.419,0.468,0.529
"P27","Mala",0.26,0.224,0.241,0.265
"P27","Muy mala",0.069,0.035,0.071,0.028
"P27","No sabe",0.009,0.006,0.026,0.019
"P28","Mejor",0.086,0.129,0.087,0.056
"P28","Igual",0.161,0.413,0.322,0.288
"P28","Peor",0.706,0.409,0.554,0.613
"P28","No sabe",0.047,0.049,0.037,0.043
"P29","Mejor",0.328,0.04,0.203,0.101
"P29","Igual",0.291,0.152,0.22,0.284
"P29","Peor",0.231,0.703,0.353,0.311
"P29","No sabe",0.15,0.105,0.224,0.304
"P30","Muy buena",0.055,0.088,0.024,0.063
"P30","Buena",0.068,0.086,0.05,0.057
"P30","Ni buena ni mala",0.147,0.279,0.252,0.309
"P30","Mala",0.318,0.41,0.422,0.315
"P30","Muy mala",0.402,0.133,0.238,0.136
"P30","No sabe",0.01,0.004,0.014,0.12
"P31","Mejor",0.025,0.084,0.049,0.135
"P31","Igual",0.071,0.307,0.235,0.145
"P31","Peor",0.85,0.534,0.635,0.565
"P31","No sabe",0.054,0.075,0.081,0.155
"P32","Mejor",0.37,0.035,0.17,0.142
"P32","Igual",0.253,0.128,0.237,0.149
"P32","Peor",0.261,0.764,0.387,0.361
"P32","No sabe",0.116,0.073,0.206,0.348
"P33","Muy buena",0.052,0.111,0.046,0.064
"P33","Buena",0.1,0.202,0.131,0.15
"P33","Ni buena ni mala",0.147,0.324,0.328,0.307
"P33","Mala",0.264,0.27,0.207,0.265
"P33","Muy mala",0.408,0.073,0.257,0.141
"P33","No sabe",0.029,0.02,0.031,0.073
"P35","Muy buena",0.03,0.081,0.047,0.05
"P35","Buena",0.049,0.197,0.119,0.073
"P35","Ni buena ni mala",0.142,0.335,0.282,0.408
"P35","Mala",0.278,0.281,0.294,0.221
"P35","Muy mala",0.47,0.077,0.241,0.127
"P35","No sabe",0.031,0.029,0.017,0.121
"P36","Muy buena",0.041,0.193,0.056,0.038
"P36","Buena",0.068,0.274,0.141,0.162
"P36","Ni buena ni mala",0.192,0.308,0.323,0.454
"P36","Mala",0.306,0.145,0.294,0.147
"P36","Muy mala",0.375,0.054,0.162,0.15
"P36","No sabe",0.018,0.026,0.024,0.049
"P37","Muy buena",0.042,0.062,0.019,0.024
"P37","Buena",0.052,0.203,0.1,0.135
"P37","Ni buena ni mala",0.122,0.377,0.258,0.338
"P37","Mala",0.277,0.255,0.341,0.284
"P37","Muy mala",0.492,0.091,0.259,0.136
"P37","No sabe",0.015,0.012,0.023,0.083
"P38","Muy buena",0.043,0.087,0.037,0.139
"P38","Buena",0.034,0.137,0.092,0.196
"P38","Ni buena ni mala",0.12,0.333,0.246,0.324
"P38","Mala",0.256,0.289,0.345,0.176
"P38","Muy mala",0.539,0.147,0.279,0.157
"P38","No sabe",0.008,0.007,0.001,0.008
"P39","Muy buena",0.066,0.447,0.156,0.284
"P39","Buena",0.034,0.172,0.141,0.241
"P39","Ni buena ni mala",0.095,0.159,0.182,0.176
"P39","Mala",0.19,0.114,0.223,0.067
"P39","Muy mala",0.613,0.105,0.291,0.214
"P39","No sabe",0.002,0.003,0.007,0.018
"P40","Muy buena",0.18,0.05,0.099,0.015
"P40","Buena",0.222,0.038,0.168,0.102
"P40","Ni buena ni mala",0.297,0.069,0.215,0.215
"P40","Mala",0.163,0.335,0.32,0.457
"P40","Muy mala",0.131,0.501,0.194,0.193
"P40","No sabe",0.007,0.007,0.004,0.018
"P41","Muy buena",0.084,0.084,0.081,0.031
"P41","Buena",0.159,0.11,0.16,0.062
"P41","Ni buena ni mala",0.295,0.317,0.39,0.429
"P41","Mala",0.199,0.293,0.205,0.292
"P41","Muy mala",0.245,0.186,0.131,0.091
"P41","No sabe",0.018,0.01,0.033,0.095
"P42","Muy buena",0.058,0.279,0.084,0.181
"P42","Buena",0.036,0.252,0.183,0.312
"P42","Ni buena ni mala",0.105,0.269,0.259,0.202
"P42","Mala",0.222,0.109,0.206,0.075
"P42","Muy mala",0.566,0.091,0.266,0.225
"P42","No sabe",0.013,0,0.002,0.005
"P43","Muy buena",0.146,0.043,0.141,0.027
"P43","Buena",0.204,0.048,0.133,0.15
"P43","Ni buena ni mala",0.304,0.176,0.287,0.515
"P43","Mala",0.201,0.363,0.252,0.142
"P43","Muy mala",0.121,0.355,0.135,0.116
"P43","No sabe",0.024,0.015,0.052,0.05
"P44","Muy buena",0.048,0.506,0.143,0.309
"P44","Buena",0.068,0.161,0.163,0.085
"P44","Ni buena ni mala",0.133,0.175,0.201,0.233
"P44","Mala",0.183,0.058,0.197,0.148
"P44","Muy mala",0.536,0.085,0.259,0.148
"P44","No sabe",0.032,0.015,0.037,0.077
"P46","Muy buena",0.521,0.068,0.18,0.105
"P46","Buena",0.213,0.058,0.206,0.103
"P46","Ni buena ni mala",0.143,0.158,0.246,0.368
"P46","Mala",0.048,0.259,0.131,0.259
"P46","Muy mala",0.068,0.445,0.202,0.105
"P46","No sabe",0.007,0.012,0.035,0.06
"P47","Muy buena",0.346,0.05,0.164,0.112
"P47","Buena",0.288,0.04,0.221,0.1
"P47","Ni buena ni mala",0.221,0.068,0.211,0.261
"P47","Mala",0.078,0.333,0.206,0.366
"P47","Muy mala",0.065,0.501,0.154,0.114
"P47","No sabe",0.002,0.008,0.044,0.047
"P48","Muy buena",0.075,0.287,0.063,0.116
"P48","Buena",0.097,0.179,0.127,0.074
"P48","Ni buena ni mala",0.313,0.255,0.32,0.388
"P48","Mala",0.176,0.126,0.179,0.122
"P48","Muy mala",0.257,0.092,0.184,0.095
"P48","No sabe",0.082,0.061,0.127,0.205
"P49","Muy buena",0.047,0.144,0.029,0.059
"P49","Buena",0.075,0.208,0.054,0.056
"P49","Ni buena ni mala",0.226,0.396,0.374,0.345
"P49","Mala",0.182,0.091,0.18,0.184
"P49","Muy mala",0.381,0.083,0.218,0.145
"P49","No sabe",0.089,0.078,0.145,0.211
"P50","Muy buena",0.036,0.049,0.058,0.071
"P50","Buena",0.117,0.173,0.17,0.101
"P50","Ni buena ni mala",0.341,0.396,0.344,0.369
"P50","Mala",0.195,0.219,0.22,0.185
"P50","Muy mala",0.24,0.127,0.118,0.089
"P50","No sabe",0.071,0.036,0.09,0.185
"P52","Muy buena",0.454,0.052,0.149,0.067
"P52","Buena",0.175,0.07,0.123,0.063
"P52","Ni buena ni mala",0.174,0.164,0.308,0.344
"P52","Mala",0.067,0.202,0.143,0.228
"P52","Muy mala",0.084,0.492,0.212,0.121
"P52","No sabe",0.046,0.02,0.065,0.177
"P53","Muy buena",0.263,0.049,0.166,0.058
"P53","Buena",0.278,0.13,0.214,0.11
"P53","Ni buena ni mala",0.271,0.318,0.373,0.467
"P53","Mala",0.079,0.259,0.115,0.168
"P53","Muy mala",0.054,0.212,0.065,0.033
"P53","No sabe",0.055,0.032,0.067,0.164
"P54","Radio",0.15,0.127,0.147,0.09
"P54","Televisión",0.396,0.369,0.396,0.512
"P54","Diario",0.059,0.058,0.09,0.07
"P54","Medio digital",0.18,0.227,0.243,0.126
"P54","Redes Sociales",0.17,0.171,0.088,0.121
"P54","Ninguno en particular",0.045,0.048,0.034,0.075
"P54","No sabe",0,0,0.002,0.006
"P55","Muy buena",0.043,0.11,0.025,0.093
"P55","Buena",0.081,0.232,0.12,0.117
"P55","Ni buena ni mala",0.271,0.402,0.34,0.453
"P55","Mala",0.307,0.172,0.289,0.229
"P55","Muy mala",0.266,0.077,0.173,0.07
"P55","No sabe",0.032,0.007,0.053,0.038
"P56","Muy buena",0.055,0.044,0.018,0.031
"P56","Buena",0.102,0.078,0.068,0.078
"P56","Ni buena ni mala",0.26,0.18,0.258,0.412
"P56","Mala",0.303,0.314,0.325,0.286
"P56","Muy mala",0.256,0.367,0.271,0.101
"P56","No sabe",0.024,0.017,0.06,0.092
