"var","categoria","Florencio Randazzo","Cristian Ritondo","Algun diputado del bloque de Milei","No sabe"
"P10","Siempre",0.223,0.222,0.158,0.155
"P10","Casi siempre",0.291,0.338,0.252,0.276
"P10","Casi nunca",0.323,0.323,0.299,0.356
"P10","Nunca, pero esta es una excepción",0.163,0.117,0.291,0.213
"P11","Si",0.387,0.462,0.476,0.157
"P11","No",0.435,0.343,0.264,0.531
"P11","No sabe",0.178,0.195,0.26,0.312
"P12","Javier Milei",0.512,0.556,0.699,0.288
"P12","Mauricio Macri",0.302,0.244,0.119,0.357
"P12","Ambos",0.127,0.148,0.142,0.183
"P12","No sabe",0.059,0.052,0.04,0.172
"P13","Si",0.513,0.538,0.657,0.234
"P13","No",0.449,0.397,0.21,0.621
"P13","No sabe",0.038,0.065,0.133,0.145
"P15","Si",0.584,0.605,0.601,0.306
"P15","No",0.376,0.377,0.247,0.556
"P15","No sabe",0.04,0.018,0.152,0.138
"P16","Si",0.627,0.375,0.533,0.56
"P16","No",0.296,0.56,0.332,0.19
"P16","No sabe",0.077,0.065,0.135,0.25
"P17","Si",0.597,0.409,0.43,0.466
"P17","No",0.34,0.514,0.444,0.314
"P17","No sabe",0.063,0.077,0.126,0.22
"P18","Los cargos públicos",0.527,0.497,0.43,0.319
"P18","El empleo público",0.148,0.228,0.15,0.097
"P18","Los planes sociales",0.151,0.142,0.219,0.168
"P18","Las tarifas de los servicios públicos",0.047,0.032,0.07,0.102
"P18","No sabe",0.127,0.101,0.131,0.314
"P19","Si",0.376,0.398,0.49,0.138
"P19","No",0.451,0.45,0.266,0.546
"P19","No sabe",0.173,0.152,0.244,0.316
"P20","Si",0.547,0.61,0.719,0.332
"P20","No",0.362,0.328,0.184,0.504
"P20","No sabe",0.091,0.062,0.097,0.164
"P21","Inflación",0.355,0.317,0.362,0.266
"P21","Desempleo",0.099,0.089,0.085,0.106
"P21","Corrupción",0.318,0.366,0.333,0.274
"P21","Inseguridad",0.12,0.109,0.101,0.123
"P21","Precio del dólar",0.018,0.019,0.015,0.042
"P21","Pobreza",0.044,0.036,0.041,0.07
"P21","Narcotráfico",0.009,0.011,0.015,0.017
"P21","Tarifas",0.006,0.008,0.009,0.017
"P21","Otro",0.024,0.043,0.026,0.046
"P21","No sabe",0.007,0.002,0.013,0.039
"P25","Sin deuda",0.347,0.373,0.338,0.31
"P25","Menos de 10%",0.145,0.195,0.18,0.171
"P25","Entre 10 y 20%",0.171,0.174,0.085,0.158
"P25","Entre 20 y 30%",0.092,0.088,0.084,0.086
"P25","Entre 30 y 40%",0.085,0.068,0.091,0.054
"P25","Mas del 40%",0.136,0.069,0.155,0.127
"P25","No sabe",0.024,0.033,0.067,0.094
"P26","Gran excedente habitual",0.015,0.001,0.012,0.004
"P26","Gran excedente excepcional",0.008,0.008,0.01,0.004
"P26","Pequeño excedente habitual",0.058,0.038,0.06,0.043
"P26","Pequeño excedente excepcional",0.065,0.078,0.05,0.046
"P26","Alcanza gastos familia",0.137,0.136,0.103,0.15
"P26","No alcanza gastos familia",0.118,0.118,0.11,0.137
"P26","Solo NBFamiliares",0.27,0.312,0.283,0.26
"P26","No alcanza NBFamiliares",0.322,0.298,0.355,0.324
"P26","No sabe",0.007,0.011,0.017,0.032
"P27","Muy buena",0.077,0.078,0.068,0.028
"P27","Buena",0.203,0.207,0.125,0.182
"P27","Ni buena ni mala",0.42,0.432,0.457,0.463
"P27","Mala",0.223,0.219,0.27,0.274
"P27","Muy mala",0.064,0.055,0.068,0.041
"P27","No sabe",0.013,0.009,0.012,0.012
"P28","Mejor",0.098,0.084,0.124,0.074
"P28","Igual",0.254,0.236,0.2,0.349
"P28","Peor",0.601,0.631,0.615,0.548
"P28","No sabe",0.047,0.049,0.061,0.029
"P29","Mejor",0.15,0.246,0.375,0.11
"P29","Igual",0.272,0.294,0.245,0.171
"P29","Peor",0.458,0.333,0.214,0.493
"P29","No sabe",0.12,0.127,0.166,0.226
"P30","Muy buena",0.073,0.055,0.077,0.036
"P30","Buena",0.107,0.091,0.032,0.045
"P30","Ni buena ni mala",0.198,0.206,0.168,0.269
"P30","Mala",0.355,0.326,0.363,0.384
"P30","Muy mala",0.257,0.313,0.35,0.227
"P30","No sabe",0.01,0.009,0.01,0.039
"P31","Mejor",0.034,0.077,0.037,0.068
"P31","Igual",0.167,0.113,0.131,0.238
"P31","Peor",0.737,0.76,0.783,0.574
"P31","No sabe",0.062,0.05,0.049,0.12
"P32","Mejor",0.182,0.271,0.378,0.118
"P32","Igual",0.244,0.225,0.239,0.132
"P32","Peor",0.464,0.414,0.264,0.535
"P32","No sabe",0.11,0.09,0.119,0.215
"P33","Muy buena",0.065,0.095,0.058,0.059
"P33","Buena",0.136,0.103,0.141,0.159
"P33","Ni buena ni mala",0.229,0.218,0.192,0.296
"P33","Mala",0.266,0.235,0.247,0.274
"P33","Muy mala",0.292,0.338,0.315,0.163
"P33","No sabe",0.012,0.011,0.047,0.049
"P35","Muy buena",0.059,0.051,0.038,0.044
"P35","Buena",0.118,0.088,0.1,0.102
"P35","Ni buena ni mala",0.205,0.214,0.161,0.355
"P35","Mala",0.3,0.284,0.261,0.261
"P35","Muy mala",0.299,0.347,0.402,0.174
"P35","No sabe",0.019,0.016,0.038,0.064
"P36","Muy buena",0.087,0.05,0.062,0.139
"P36","Buena",0.147,0.135,0.127,0.164
"P36","Ni buena ni mala",0.251,0.254,0.213,0.323
"P36","Mala",0.278,0.27,0.241,0.202
"P36","Muy mala",0.22,0.274,0.33,0.139
"P36","No sabe",0.017,0.017,0.027,0.033
"P37","Muy buena",0.049,0.028,0.05,0.044
"P37","Buena",0.099,0.113,0.075,0.143
"P37","Ni buena ni mala",0.235,0.216,0.163,0.294
"P37","Mala",0.302,0.268,0.278,0.271
"P37","Muy mala",0.302,0.358,0.425,0.209
"P37","No sabe",0.013,0.017,0.009,0.039
"P38","Muy buena",0.081,0.051,0.033,0.072
"P38","Buena",0.091,0.073,0.043,0.115
"P38","Ni buena ni mala",0.234,0.13,0.137,0.325
"P38","Mala",0.261,0.319,0.283,0.239
"P38","Muy mala",0.329,0.427,0.493,0.238
"P38","No sabe",0.004,0,0.011,0.011
"P39","Muy buena",0.213,0.142,0.107,0.326
"P39","Buena",0.138,0.073,0.049,0.139
"P39","Ni buena ni mala",0.131,0.116,0.095,0.177
"P39","Mala",0.159,0.216,0.171,0.124
"P39","Muy mala",0.356,0.45,0.576,0.226
"P39","No sabe",0.003,0.003,0.002,0.008
"P40","Muy buena",0.112,0.201,0.121,0.061
"P40","Buena",0.158,0.253,0.158,0.061
"P40","Ni buena ni mala",0.23,0.149,0.29,0.186
"P40","Mala",0.231,0.247,0.205,0.327
"P40","Muy mala",0.264,0.148,0.224,0.346
"P40","No sabe",0.005,0.002,0.002,0.019
"P41","Muy buena",0.109,0.098,0.051,0.061
"P41","Buena",0.146,0.199,0.102,0.114
"P41","Ni buena ni mala",0.326,0.301,0.316,0.348
"P41","Mala",0.23,0.23,0.198,0.268
"P41","Muy mala",0.178,0.152,0.314,0.167
"P41","No sabe",0.011,0.02,0.019,0.042
"P42","Muy buena",0.153,0.096,0.086,0.181
"P42","Buena",0.156,0.114,0.064,0.2
"P42","Ni buena ni mala",0.193,0.151,0.101,0.261
"P42","Mala",0.202,0.2,0.203,0.114
"P42","Muy mala",0.293,0.431,0.542,0.229
"P42","No sabe",0.003,0.008,0.004,0.015
"P43","Muy buena",0.1,0.161,0.133,0.05
"P43","Buena",0.156,0.224,0.097,0.113
"P43","Ni buena ni mala",0.314,0.274,0.287,0.238
"P43","Mala",0.229,0.192,0.261,0.314
"P43","Muy mala",0.192,0.149,0.175,0.235
"P43","No sabe",0.009,0,0.047,0.05
"P44","Muy buena",0.232,0.146,0.119,0.32
"P44","Buena",0.129,0.121,0.072,0.112
"P44","Ni buena ni mala",0.175,0.127,0.106,0.224
"P44","Mala",0.128,0.177,0.17,0.122
"P44","Muy mala",0.33,0.407,0.489,0.171
"P44","No sabe",0.006,0.022,0.044,0.051
"P46","Muy buena",0.263,0.307,0.573,0.147
"P46","Buena",0.189,0.211,0.148,0.097
"P46","Ni buena ni mala",0.205,0.182,0.131,0.182
"P46","Mala",0.123,0.108,0.064,0.231
"P46","Muy mala",0.208,0.171,0.08,0.315
"P46","No sabe",0.012,0.021,0.004,0.028
"P47","Muy buena",0.243,0.361,0.212,0.088
"P47","Buena",0.2,0.216,0.267,0.111
"P47","Ni buena ni mala",0.186,0.142,0.254,0.137
"P47","Mala",0.164,0.149,0.119,0.304
"P47","Muy mala",0.201,0.129,0.144,0.324
"P47","No sabe",0.006,0.003,0.004,0.036
"P48","Muy buena",0.168,0.116,0.085,0.162
"P48","Buena",0.146,0.111,0.142,0.092
"P48","Ni buena ni mala",0.31,0.231,0.341,0.321
"P48","Mala",0.141,0.227,0.152,0.126
"P48","Muy mala",0.203,0.256,0.176,0.132
"P48","No sabe",0.032,0.059,0.104,0.167
"P49","Muy buena",0.092,0.061,0.051,0.081
"P49","Buena",0.131,0.1,0.103,0.096
"P49","Ni buena ni mala",0.324,0.196,0.346,0.333
"P49","Mala",0.149,0.214,0.141,0.129
"P49","Muy mala",0.279,0.376,0.264,0.132
"P49","No sabe",0.025,0.053,0.095,0.229
"P50","Muy buena",0.064,0.06,0.035,0.022
"P50","Buena",0.209,0.119,0.105,0.114
"P50","Ni buena ni mala",0.342,0.337,0.391,0.366
"P50","Mala",0.186,0.232,0.193,0.214
"P50","Muy mala",0.178,0.211,0.218,0.123
"P50","No sabe",0.021,0.041,0.058,0.161
"P52","Muy buena",0.272,0.325,0.419,0.093
