"var","categoria","Jorge Capitanich a gobernador y Analia Rach a vicegobernador por Frente chaqueño","Leandro Zdero a gobernador y Silvina Schneider a vicegobernadora por Juntos por el cambio","Gustavo Martinez a gobernador y Lidia Viviam Piolini a vicegobernadora por Corriente de expresión renovada","Bassileff Ivanoff a gobernador y Picon Cesar a vicegobernador por el Partido Integrador","Alfredo Rodríguez a gobernador y Llena Aguirre a vicegobernadora por la libertad avanza","Rubén Galassi a gobernador y Marta Kassor a vicegobernador por libertarios en acción","Domingo Peppo a gobernador y Nicolas Matta a vicegobernador por el frente unidos por la gente","En blanco"
"P05","Mucho",0.441,0.453,0.527,0.207,0.525,0.588,0.266,0.234
"P05","Bastante",0.269,0.285,0.299,0.238,0.247,0.291,0.051,0.36
"P05","Poco",0.214,0.221,0.092,0.33,0.211,0.121,0.649,0.338
"P05","Nada",0.065,0.027,0.082,0.051,0.017,0,0.034,0.068
"P05","No sabe",0.011,0.014,0,0.174,0,0,0,0
"P06","Siempre",0.238,0.283,0.278,0.196,0.254,0.048,0.266,0.101
"P06","Casi siempre",0.345,0.267,0.325,0.186,0.286,0.483,0.377,0.162
"P06","Casi nunca",0.299,0.312,0.24,0.35,0.281,0.469,0,0.394
"P06","Nunca, pero esta es una excepción",0.118,0.138,0.157,0.268,0.179,0,0.357,0.343
"P09","Frente chaqueño",0.56,0.124,0.137,0.058,0.044,0.048,0,0.008
"P09","Juntos por el cambio",0.28,0.625,0.148,0.174,0.069,0.119,0,0
"P09","Corriente de expresión renovada",0.007,0.047,0.559,0,0.004,0,0,0
"P09","Partido Integrador",0.004,0.009,0,0.27,0,0,0,0.085
"P09","La libertad avanza",0.023,0.112,0.105,0.187,0.779,0.59,0.051,0.113
"P09","Libertarios en acción",0.002,0.01,0.033,0,0.029,0.243,0,0
"P09","Frente unidos por la gente",0.005,0.001,0,0.009,0.025,0,0.3,0
"P09","En blanco",0.044,0.013,0,0.011,0.007,0,0.377,0.449
"P09","No sabe",0.075,0.059,0.018,0.291,0.043,0,0.272,0.345
"P13","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.379,0.587,0.349,0.31,0.707,0.559,0.038,0.435
"P13","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.239,0.243,0.15,0.13,0.053,0.288,0.521,0.134
"P13","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.227,0.089,0.357,0.045,0.009,0,0,0.089
"P13","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.075,0.028,0.128,0.332,0.103,0,0,0.122
"P13","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.032,0.002,0.016,0,0.096,0,0.078,0.089
"P13","No sabe",0.048,0.051,0,0.183,0.032,0.153,0.363,0.131
"P14","Totalmente seguro.",0.675,0.742,0.707,0.42,0.858,0.593,0.245,0.248
"P14","Bastante seguro",0.209,0.15,0.237,0.142,0.059,0.04,0,0.266
"P14","Algo seguro",0.072,0.073,0.039,0.189,0.068,0.367,0.077,0.242
"P14","Para nada seguro",0.044,0.035,0.017,0.249,0.015,0,0.678,0.244
"P15","Tiene Decidido que va a ir a votar.",0.802,0.884,0.91,0.926,0.951,0.753,0.788,0.562
"P15","Tiene dudas sobre si va a ir a  votar",0.176,0.091,0.062,0.074,0.024,0,0,0.42
"P15","Tiene Decidido que no va a ir a votar",0.022,0.025,0.028,0,0.025,0.247,0.212,0.018
"P19","Si",0.594,0.48,0.612,0.471,0.51,0.416,0.238,0.242
"P19","No",0.406,0.52,0.388,0.529,0.49,0.584,0.762,0.758
"P16_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.709,0.17,0.415,0.279,0.021,0.386,0,0.133
"P16_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.079,0.398,0.176,0.222,0.098,0.156,0,0.023
"P16_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.146,0.42,0.371,0.457,0.867,0.458,0.783,0.692
"P16_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.031,0.002,0.021,0.013,0,0,0,0
"P16_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.016,0.002,0,0.029,0.006,0,0.217,0
"P16_imputada","En blanco",0.019,0.008,0.017,0,0.008,0,0,0.152
