"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Mauricio Macri por Cambiemos","Javier Milei por los liberales","Nicolás del Caño por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.463,0.373,0.45,0.443,0.435
"P04","Realizo changas o trabajos de vez en cuando",0.191,0.161,0.224,0.266,0.19
"P04","No tengo trabajo",0.154,0.17,0.231,0.135,0.163
"P04","Soy jubilado o pensionado",0.192,0.296,0.095,0.156,0.212
"P05","Derecha",0.11,0.259,0.333,0.146,0.132
"P05","Centro derecha",0.061,0.313,0.213,0.062,0.165
"P05","Centro izquierda",0.354,0.089,0.047,0.16,0.163
"P05","Izquierda",0.174,0.054,0.051,0.385,0.073
"P05","No sabe",0.301,0.285,0.356,0.247,0.467
"P06","Muy importante",0.8,0.556,0.491,0.726,0.591
"P06","Algo importante",0.089,0.25,0.19,0.169,0.212
"P06","Nada importante",0.046,0.148,0.263,0.061,0.093
"P06","No sabe",0.065,0.046,0.056,0.044,0.104
"P07","Estoy de acuerdo",0.628,0.269,0.276,0.546,0.372
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.224,0.462,0.43,0.284,0.361
"P07","No estoy de acuerdo",0.1,0.219,0.234,0.13,0.199
"P07","No sabe",0.048,0.05,0.06,0.04,0.068
"P08","Frente de Todos y el peronismo",0.855,0.044,0.044,0.165,0.21
"P08","Cambiemos",0.053,0.858,0.069,0.089,0.259
"P08","Liberales",0.02,0.052,0.852,0.124,0.098
"P08","Izquierda",0.022,0.003,0.004,0.519,0.048
"P08","No sabe",0.05,0.043,0.031,0.103,0.385
"P10","Lo votaría",0.312,0.074,0.044,0.1,0.266
"P10","Puede que lo vote",0.397,0.095,0.149,0.185,0.369
"P10","Nunca lo votaría",0.193,0.713,0.796,0.637,0.259
"P10","No sabe",0.098,0.118,0.011,0.078,0.106
"P11","Lo votaría",0.42,0.093,0.106,0.393,0.346
"P11","Puede que lo vote",0.369,0.322,0.127,0.459,0.308
"P11","Nunca lo votaría",0.145,0.569,0.686,0.085,0.285
"P11","No sabe",0.066,0.016,0.081,0.063,0.061
"P12","Lo votaría",0.226,0.433,0.314,0.198,0.348
"P12","Puede que lo vote",0.133,0.433,0.348,0.719,0.427
"P12","Nunca lo votaría",0.44,0.088,0.231,0.083,0.128
"P12","No sabe",0.201,0.046,0.107,0,0.097
"P13","Lo votaría",0.146,0.22,0.246,0.195,0.356
"P13","Puede que lo vote",0.111,0.378,0.313,0.351,0.291
