"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.047,0.044,0.051,0.052,0.049,0.038,0.05,0.057,0.048,0.036,0.042,0.05,0.053,0.049,6
"Buena",0.138,0.135,0.142,0.126,0.127,0.14,0.177,0.152,0.125,0.144,0.147,0.12,0.096,0.146,6
"Ni buena ni mala",0.277,0.238,0.314,0.276,0.259,0.273,0.324,0.283,0.288,0.254,0.267,0.321,0.311,0.261,6
"Mala",0.265,0.273,0.257,0.225,0.26,0.293,0.284,0.23,0.261,0.306,0.285,0.229,0.249,0.265,6
"Muy mala",0.229,0.274,0.185,0.258,0.255,0.228,0.137,0.226,0.229,0.233,0.226,0.212,0.245,0.237,6
"No sabe",0.044,0.036,0.051,0.063,0.05,0.028,0.028,0.052,0.049,0.027,0.033,0.068,0.046,0.042,6
"Positiva",0.185,0.179,0.193,0.178,0.176,0.178,0.227,0.209,0.173,0.18,0.189,0.17,0.149,0.195,4
"Neutra",0.277,0.238,0.314,0.276,0.259,0.273,0.324,0.283,0.288,0.254,0.267,0.321,0.311,0.261,4
"Negativa",0.494,0.547,0.442,0.483,0.515,0.521,0.421,0.456,0.49,0.539,0.511,0.441,0.494,0.502,4
"No sabe",0.044,0.036,0.051,0.063,0.05,0.028,0.028,0.052,0.049,0.027,0.033,0.068,0.046,0.042,4
