"var","categoria","Sí, lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P04","Tengo trabajo estable",0.416,0.396,0.459,0.292
"P04","Realizo changas o trabajos de vez en cuando",0.188,0.2,0.197,0.272
"P04","No tengo trabajo",0.19,0.186,0.164,0.241
"P04","Soy jubilado o pensionado",0.206,0.218,0.18,0.195
"P05","Derecha",0.317,0.186,0.14,0.121
"P05","Centro derecha",0.283,0.261,0.089,0.12
"P05","Centro izquierda",0.074,0.094,0.275,0.067
"P05","Izquierda",0.049,0.08,0.149,0.042
"P05","No sabe",0.277,0.379,0.347,0.65
"P06","Muy importante",0.541,0.499,0.728,0.486
"P06","Algo importante",0.223,0.28,0.119,0.153
"P06","Nada importante",0.187,0.15,0.09,0.119
"P06","No sabe",0.049,0.071,0.063,0.242
"P07","Estoy de acuerdo",0.292,0.295,0.529,0.212
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.43,0.446,0.282,0.385
"P07","No estoy de acuerdo",0.226,0.209,0.138,0.233
"P07","No sabe",0.052,0.05,0.051,0.17
"P08","Frente de Todos y el peronismo",0.045,0.092,0.595,0.138
"P08","Cambiemos",0.595,0.345,0.08,0.099
"P08","Liberales",0.31,0.431,0.148,0.289
"P08","Izquierda",0.005,0.013,0.051,0.02
"P08","No sabe",0.045,0.119,0.126,0.454
"P10","Lo votaría",0.203,0.337,0.295,0.182
"P10","Puede que lo vote",0.218,0.198,0.386,0.289
"P10","Nunca lo votaría",0.562,0.299,0.226,0.253
"P10","No sabe",0.017,0.166,0.093,0.276
"P11","Lo votaría",0.278,0.295,0.395,0.571
"P11","Puede que lo vote",0.197,0.295,0.364,0.296
"P11","Nunca lo votaría",0.506,0.311,0.178,0.026
"P11","No sabe",0.019,0.099,0.063,0.107
"P12","Lo votaría",0.431,0.339,0.301,0.258
"P12","Puede que lo vote",0.424,0.492,0.303,0.246
"P12","Nunca lo votaría",0.102,0.063,0.298,0.02
"P12","No sabe",0.043,0.106,0.098,0.476
"P13","Lo votaría",0.226,0.287,0.266,0.143
"P13","Puede que lo vote",0.367,0.416,0.193,0.224
"P13","Nunca lo votaría",0.321,0.223,0.448,0.164
"P13","No sabe",0.086,0.074,0.093,0.469
"P14","La votaría",0.646,0.399,0.267,0.411
"P14","Puede que la vote",0.232,0.388,0.193,0.148
"P14","Nunca la votaría",0.082,0.146,0.475,0
"P14","No sabe",0.04,0.067,0.065,0.441
"P15","Lo votaría",0.206,0.089,0.098,0.353
"P15","Puede que lo vote",0.288,0.29,0.138,0.089
"P15","Nunca lo votaría",0.456,0.55,0.694,0.35
"P15","No sabe",0.05,0.071,0.07,0.208
"P17","Sí, la votaría",0.171,0.03,0.471,0.12
"P17","Puede que la vote",0.012,0.206,0.11,0.048
"P17","Nunca la votaría",0.811,0.75,0.395,0.416
"P17","No sabe",0.006,0.014,0.024,0.416
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.032,0.043,0.578,0.173
"P18","Mauricio Macri por Cambiemos",0.599,0.255,0.012,0.059
"P18","Javier Milei por los liberales",0.288,0.419,0.157,0.317
"P18","Nicolás del Caño por la izquierda",0.003,0.011,0.038,0.015
"P18","Otro candidato",0.078,0.272,0.215,0.436
"P19","Horacio Rodríguez Larreta por Cambiemos",0.427,0.314,0.141,0.13
"P19","Alberto Fernández por el Frente de Todos",0.126,0.08,0.404,0.132
"P19","Javier Milei por los liberales",0.318,0.4,0.158,0.306
"P19","Nicolás del Caño por la izquierda",0.006,0.012,0.047,0.005
"P19","Otro candidato",0.123,0.194,0.25,0.427
"P20","Mauricio Macri presidente Javier Milei vice",0.76,0.564,0.066,0.197
"P20","Sergio Massa presidente Gerardo Morales vice",0.033,0.075,0.268,0.094
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.024,0.02,0.115,0.038
"P20","No sabe",0.183,0.341,0.551,0.671
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.659,0.338,0.02,0.091
"P21","Alberto Fernández presidente Sergio Massa vice",0.02,0.051,0.287,0.111
"P21","Javier Milei presidente José Luis Espert vice",0.196,0.312,0.142,0.294
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.095,0.215,0.114,0.13
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.007,0.009,0.31,0.069
"P21","Otros candidatos",0.023,0.075,0.127,0.305
"P22","Muy buena",0.056,0.045,0.104,0.056
"P22","Buena",0.013,0.034,0.277,0.1
"P22","Ni buena ni mala",0.048,0.105,0.245,0.191
"P22","Mala",0.141,0.238,0.15,0.134
"P22","Muy mala",0.739,0.575,0.205,0.456
"P22","No sabe",0.003,0.003,0.019,0.063
"P23","Si",0.518,0.531,0.76,0.429
"P23","No",0.254,0.242,0.115,0.245
