"var","categoria","Mejor","Igual","Peor","No sabe"
"P04","Tengo trabajo estable",0.51,0.475,0.38,0.397
"P04","Realizo changas o trabajos de vez en cuando",0.175,0.169,0.232,0.212
"P04","No tengo trabajo",0.129,0.147,0.209,0.245
"P04","Soy jubilado o pensionado",0.186,0.209,0.179,0.146
"P05","Derecha",0.175,0.172,0.223,0.224
"P05","Centro derecha",0.102,0.12,0.212,0.144
"P05","Centro izquierda",0.313,0.244,0.113,0.088
"P05","Izquierda",0.14,0.132,0.072,0.1
"P05","No sabe",0.27,0.332,0.38,0.444
"P06","Muy importante",0.734,0.702,0.56,0.575
"P06","Algo importante",0.133,0.162,0.19,0.18
"P06","Nada importante",0.086,0.077,0.163,0.197
"P06","No sabe",0.047,0.059,0.087,0.048
"P07","Estoy de acuerdo",0.555,0.539,0.309,0.427
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.294,0.268,0.415,0.279
"P07","No estoy de acuerdo",0.116,0.128,0.217,0.213
"P07","No sabe",0.035,0.065,0.059,0.081
"P08","Frente de Todos y el peronismo",0.673,0.532,0.152,0.343
"P08","Cambiemos",0.135,0.186,0.373,0.204
"P08","Liberales",0.103,0.147,0.312,0.301
"P08","Izquierda",0.025,0.031,0.03,0.034
"P08","No sabe",0.064,0.104,0.133,0.118
"P10","Lo votaría",0.348,0.305,0.228,0.194
"P10","Puede que lo vote",0.324,0.43,0.317,0.273
"P10","Nunca lo votaría",0.226,0.18,0.35,0.42
"P10","No sabe",0.102,0.085,0.105,0.113
"P11","Lo votaría",0.504,0.377,0.327,0.261
"P11","Puede que lo vote",0.312,0.401,0.291,0.395
"P11","Nunca lo votaría",0.145,0.154,0.303,0.262
"P11","No sabe",0.039,0.068,0.079,0.082
"P12","Lo votaría",0.33,0.406,0.396,0.42
"P12","Puede que lo vote",0.365,0.356,0.426,0.505
"P12","Nunca lo votaría",0.293,0.142,0.111,0.032
"P12","No sabe",0.012,0.096,0.067,0.043
"P13","Lo votaría",0.143,0.255,0.24,0.315
"P13","Puede que lo vote",0.255,0.306,0.365,0.24
"P13","Nunca lo votaría",0.519,0.289,0.315,0.348
"P13","No sabe",0.083,0.15,0.08,0.097
"P14","La votaría",0.314,0.414,0.603,0.526
"P14","Puede que la vote",0.282,0.251,0.241,0.302
"P14","Nunca la votaría",0.323,0.213,0.119,0.112
"P14","No sabe",0.081,0.122,0.037,0.06
"P15","Lo votaría",0.196,0.137,0.189,0.15
"P15","Puede que lo vote",0.247,0.258,0.267,0.166
"P15","Nunca lo votaría",0.519,0.468,0.5,0.665
"P15","No sabe",0.038,0.137,0.044,0.019
"P16","Sí, lo votaría",0.15,0.182,0.447,0.292
"P16","Puede que lo vote",0.069,0.097,0.154,0.098
"P16","Nunca lo votaría",0.745,0.659,0.34,0.54
"P16","No sabe",0.036,0.062,0.059,0.07
"P17","Sí, la votaría",0.56,0.437,0.173,0.342
"P17","Puede que la vote",0.091,0.109,0.072,0.096
"P17","Nunca la votaría",0.326,0.408,0.717,0.502
"P17","No sabe",0.023,0.046,0.038,0.06
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.608,0.532,0.138,0.283
"P18","Mauricio Macri por Cambiemos",0.109,0.123,0.329,0.195
"P18","Javier Milei por los liberales",0.114,0.156,0.312,0.254
"P18","Nicolás del Caño por la izquierda",0.022,0.022,0.02,0.024
"P18","Otro candidato",0.147,0.167,0.201,0.244
"P19","Horacio Rodríguez Larreta por Cambiemos",0.179,0.207,0.3,0.272
"P19","Alberto Fernández por el Frente de Todos",0.499,0.399,0.14,0.192
"P19","Javier Milei por los liberales",0.129,0.16,0.316,0.277
"P19","Nicolás del Caño por la izquierda",0.022,0.034,0.023,0.049
"P19","Otro candidato",0.171,0.2,0.221,0.21
"P20","Mauricio Macri presidente Javier Milei vice",0.177,0.194,0.495,0.372
"P20","Sergio Massa presidente Gerardo Morales vice",0.273,0.248,0.086,0.166
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.083,0.089,0.055,0.076
"P20","No sabe",0.467,0.469,0.364,0.386
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.121,0.141,0.384,0.238
"P21","Alberto Fernández presidente Sergio Massa vice",0.307,0.26,0.077,0.16
"P21","Javier Milei presidente José Luis Espert vice",0.098,0.125,0.236,0.22
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.126,0.122,0.124,0.074
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.294,0.272,0.073,0.18
"P21","Otros candidatos",0.054,0.08,0.106,0.128
"P22","Muy buena",0.199,0.097,0.045,0.063
"P22","Buena",0.3,0.288,0.051,0.14
"P22","Ni buena ni mala",0.208,0.237,0.109,0.151
"P22","Mala",0.106,0.168,0.165,0.149
"P22","Muy mala",0.167,0.201,0.615,0.485
"P22","No sabe",0.02,0.009,0.015,0.012
"P23","Si",0.79,0.755,0.544,0.599
"P23","No",0.108,0.106,0.235,0.225
"P23","No sabe",0.102,0.139,0.221,0.176
"P24","El kirchnerismo",0.228,0.3,0.572,0.389
"P24","Cambiemos",0.318,0.257,0.103,0.151
"P24","Los medios de comunicación",0.314,0.271,0.097,0.215
"P24","Otros",0.064,0.069,0.109,0.115
"P24","No sabe",0.076,0.103,0.119,0.13
"P25","Sin deuda",0.382,0.338,0.222,0.225
"P25","Menos de 10%",0.19,0.178,0.139,0.143
"P25","Entre 10 y 20%",0.138,0.138,0.146,0.105
"P25","Entre 20 y 30%",0.069,0.088,0.113,0.106
"P25","Entre 30 y 40%",0.073,0.074,0.125,0.085
"P25","Mas del 40%",0.119,0.135,0.215,0.174
"P25","No sabe",0.029,0.049,0.04,0.162
"P26","Gran excedente habitual",0.016,0.014,0.004,0.001
"P26","Gran excedente excepcional",0.014,0.014,0.003,0.038
"P26","Pequeño excedente habitual",0.104,0.091,0.04,0.079
"P26","Pequeño excedente excepcional",0.082,0.087,0.05,0.043
"P26","Alcanza gastos familia",0.235,0.223,0.107,0.118
"P26","No alcanza gastos familia",0.155,0.13,0.194,0.182
"P26","Solo NBFamiliares",0.221,0.26,0.258,0.203
"P26","No alcanza NBFamiliares",0.159,0.169,0.336,0.257
"P26","No sabe",0.014,0.012,0.008,0.079
"P27","Muy buena",0.095,0.034,0.038,0.02
"P27","Buena",0.238,0.266,0.083,0.111
"P27","Ni buena ni mala",0.513,0.463,0.349,0.192
"P27","Mala",0.11,0.174,0.353,0.577
"P27","Muy mala",0.027,0.051,0.167,0.046
"P27","No sabe",0.017,0.012,0.01,0.054
"P29","Mejor",0.501,0.175,0.031,0.081
"P29","Igual",0.226,0.475,0.146,0.192
"P29","Peor",0.158,0.21,0.762,0.433
"P29","No sabe",0.115,0.14,0.061,0.294
"P30","Muy buena",0.073,0.017,0.05,0.128
