"var","categoria","Lo votaría","Puede que la vote","Nunca la votaría","No sabe"
"P05","Mucho",0.393,0.352,0.388,0.334
"P05","Bastante",0.194,0.269,0.262,0.279
"P05","Poco",0.207,0.186,0.196,0.204
"P05","Nada",0.121,0.128,0.139,0.144
"P05","No sabe",0.085,0.065,0.015,0.039
"P06","Siempre",0.339,0.367,0.226,0.211
"P06","Casi siempre",0.299,0.271,0.338,0.386
"P06","Casi nunca",0.226,0.301,0.307,0.275
"P06","Nunca, pero esta es una excepción",0.136,0.061,0.129,0.128
"P09","De Unión por la Patria",0.201,0.156,0.287,0.2
"P09","De Juntos por el Cambio",0.53,0.527,0.295,0.387
"P09","De los liberales libertarios",0.108,0.142,0.177,0.135
"P09","De la Izquierda",0.051,0.022,0.025,0.033
"P09","Hacemos por Nuestro País",0.025,0.033,0.01,0.018
"P09","otro",0.085,0.013,0.049,0.07
"P09","En blanco",0,0.03,0.087,0.039
"P09","No sabe",0,0.077,0.07,0.118
"P10","Unidos para Cambiar Santa Fe",0.308,0.329,0.29,0.197
"P10","Juntos Avancemos",0.432,0.334,0.252,0.264
"P10","De los liberales libertarios",0.175,0.157,0.14,0.12
"P10","De la Izquierda",0.035,0.052,0.051,0.029
"P10","En blanco",0.026,0,0.102,0.059
"P10","No sabe",0.024,0.128,0.165,0.331
"P11","Carolina Losada a gobernadora y Federico Angelini a vicegobernador por Unidos para Cambiar Santa Fe",0.407,0.322,0.203,0.235
"P11","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.231,0.277,0.157,0.207
"P11","Mónica Fein a gobernadora y Eugenio Fernández a vicegobernador por Unidos para Cambiar Santa Fe",0.012,0.042,0.092,0.066
"P11","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.212,0.147,0.211,0.096
"P11","Marcos Cleri a gobernador y Alejandra del Huerto Obeid a vicegobernadora por Juntos Avancemos",0.019,0.052,0.068,0.085
"P11","Leandro Busatto a gobernador y Alejandra Gómez Sáenz a vicegobernadora por Juntos Avancemos",0.089,0.077,0.053,0.053
"P11","Eduardo Toniolli a gobernador y Leticia Quagliaro a vicegobernadora por Juntos Avancemos",0.024,0.015,0.029,0.029
"P11","Alguno de los candidatos a gobernador y vicegobernador de la Izquierda",0,0.024,0.024,0.019
"P11","En blanco",0,0.003,0.097,0.048
"P11","No sabe",0.006,0.041,0.066,0.162
"P15","Lo votaría",0.427,0.189,0.098,0.061
"P15","Puede que lo vote",0.12,0.319,0.145,0.129
"P15","Nunca lo votaría",0.401,0.314,0.563,0.206
"P15","No sabe",0.052,0.178,0.194,0.604
"P16","La votaría",0.631,0.325,0.183,0.154
"P16","Puede que la vote",0.198,0.285,0.092,0.211
"P16","Nunca la votaría",0.171,0.316,0.674,0.34
"P16","No sabe",0,0.074,0.051,0.295
"P17","Lo votaría",0.369,0.356,0.181,0.197
"P17","Puede que lo vote",0.18,0.32,0.105,0.209
"P17","Nunca lo votaría",0.419,0.271,0.678,0.32
"P17","No sabe",0.032,0.053,0.036,0.274
"P18","La votaría",0.43,0.147,0.088,0.045
"P18","Puede que la vote",0.077,0.271,0.07,0.125
