"var","categoria","La votaría","Puede que la vote","Nunca la votaría","No sabe"
"P05","Mucho",0.586,0.395,0.402,0.241
"P05","Bastante",0.216,0.379,0.238,0.273
"P05","Poco",0.157,0.123,0.192,0.241
"P05","Nada",0.041,0.073,0.151,0.193
"P05","No sabe",0,0.03,0.017,0.052
"P06","Siempre",0.495,0.272,0.238,0.182
"P06","Casi siempre",0.306,0.364,0.337,0.372
"P06","Casi nunca",0.099,0.315,0.3,0.306
"P06","Nunca, pero esta es una excepción",0.1,0.049,0.125,0.14
"P09","De Unión por la Patria",0.662,0.477,0.139,0.219
"P09","De Juntos por el Cambio",0.077,0.27,0.415,0.327
"P09","De los liberales libertarios",0.028,0.078,0.197,0.144
"P09","De la Izquierda",0.063,0.017,0.025,0.035
"P09","Hacemos por Nuestro País",0.051,0.006,0.019,0.007
"P09","otro",0.068,0.038,0.051,0.081
"P09","En blanco",0,0.014,0.086,0.061
"P09","No sabe",0.051,0.1,0.068,0.126
"P10","Unidos para Cambiar Santa Fe",0.469,0.351,0.232,0.198
"P10","Juntos Avancemos",0.362,0.306,0.263,0.234
"P10","De los liberales libertarios",0.013,0.082,0.176,0.124
"P10","De la Izquierda",0.102,0.046,0.04,0.026
"P10","En blanco",0.007,0.004,0.107,0.073
"P10","No sabe",0.047,0.211,0.182,0.345
"P11","Carolina Losada a gobernadora y Federico Angelini a vicegobernador por Unidos para Cambiar Santa Fe",0.066,0.191,0.268,0.212
"P11","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.039,0.137,0.224,0.185
"P11","Mónica Fein a gobernadora y Eugenio Fernández a vicegobernador por Unidos para Cambiar Santa Fe",0.003,0.048,0.099,0.062
"P11","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.363,0.313,0.118,0.107
"P11","Marcos Cleri a gobernador y Alejandra del Huerto Obeid a vicegobernadora por Juntos Avancemos",0.311,0.095,0.034,0.083
"P11","Leandro Busatto a gobernador y Alejandra Gómez Sáenz a vicegobernadora por Juntos Avancemos",0.135,0.101,0.048,0.042
"P11","Eduardo Toniolli a gobernador y Leticia Quagliaro a vicegobernadora por Juntos Avancemos",0.042,0.048,0.02,0.033
"P11","Alguno de los candidatos a gobernador y vicegobernador de la Izquierda",0,0.027,0.023,0.012
"P11","En blanco",0,0.007,0.101,0.061
"P11","No sabe",0.041,0.033,0.065,0.203
"P15","Lo votaría",0.273,0.141,0.059,0.073
"P15","Puede que lo vote",0.161,0.293,0.133,0.141
"P15","Nunca lo votaría",0.207,0.245,0.582,0.183
"P15","No sabe",0.359,0.321,0.226,0.603
"P16","La votaría",0.118,0.178,0.24,0.128
"P16","Puede que la vote",0.135,0.197,0.129,0.174
"P16","Nunca la votaría",0.662,0.562,0.587,0.305
"P16","No sabe",0.085,0.063,0.044,0.393
"P17","Lo votaría",0.091,0.231,0.222,0.172
"P17","Puede que lo vote",0.101,0.179,0.162,0.176
"P17","Nunca lo votaría",0.738,0.533,0.568,0.295
"P17","No sabe",0.07,0.057,0.048,0.357
"P18","La votaría",0.305,0.14,0.069,0.04
"P18","Puede que la vote",0.051,0.242,0.085,0.11
"P18","Nunca la votaría",0.334,0.338,0.66,0.163
"P18","No sabe",0.31,0.28,0.186,0.687
"P19","La votaría",0.158,0.124,0.11,0.06
"P19","Puede que la vote",0.203,0.306,0.16,0.148
"P19","Nunca la votaría",0.486,0.409,0.653,0.259
"P19","No sabe",0.153,0.161,0.077,0.533
