"var","categoria","Los cargos públicos","El empleo público","Los planes sociales","Las tarifas de los servicios públicos","No sabe"
"P10","Siempre",0.206,0.2,0.201,0.055,0.187
"P10","Casi siempre",0.304,0.278,0.299,0.237,0.305
"P10","Casi nunca",0.308,0.378,0.296,0.396,0.298
"P10","Nunca, pero esta es una excepción",0.182,0.144,0.204,0.312,0.21
"P11","Si",0.429,0.389,0.409,0.238,0.147
"P11","No",0.364,0.383,0.341,0.403,0.622
"P11","No sabe",0.207,0.228,0.25,0.359,0.231
"P12","Javier Milei",0.562,0.595,0.56,0.345,0.254
"P12","Mauricio Macri",0.262,0.218,0.168,0.264,0.44
"P12","Ambos",0.132,0.127,0.187,0.224,0.163
"P12","No sabe",0.044,0.06,0.085,0.167,0.143
"P13","Si",0.562,0.53,0.581,0.329,0.148
"P13","No",0.376,0.407,0.298,0.574,0.712
"P13","No sabe",0.062,0.063,0.121,0.097,0.14
"P14","Florencio Randazzo",0.341,0.28,0.254,0.21,0.208
"P14","Cristian Ritondo",0.233,0.313,0.173,0.102,0.12
"P14","Algun diputado del bloque de Milei",0.224,0.228,0.297,0.25,0.172
"P14","No sabe",0.202,0.179,0.276,0.438,0.5
"P15","Si",0.595,0.542,0.613,0.483,0.215
"P15","No",0.352,0.375,0.28,0.425,0.663
"P15","No sabe",0.053,0.083,0.107,0.092,0.122
"P16","Si",0.498,0.535,0.515,0.694,0.632
"P16","No",0.405,0.408,0.325,0.181,0.139
"P16","No sabe",0.097,0.057,0.16,0.125,0.229
"P17","Si",0.573,0.325,0.365,0.615,0.499
"P17","No",0.348,0.622,0.442,0.236,0.309
"P17","No sabe",0.079,0.053,0.193,0.149,0.192
"P19","Si",0.437,0.288,0.363,0.316,0.136
"P19","No",0.398,0.536,0.278,0.367,0.61
"P19","No sabe",0.165,0.176,0.359,0.317,0.254
"P20","Si",0.639,0.556,0.588,0.519,0.246
"P20","No",0.298,0.356,0.242,0.389,0.577
"P20","No sabe",0.063,0.088,0.17,0.092,0.177
"P21","Inflación",0.322,0.337,0.329,0.321,0.319
"P21","Desempleo",0.085,0.128,0.073,0.103,0.114
"P21","Corrupción",0.396,0.33,0.335,0.26,0.135
"P21","Inseguridad",0.083,0.125,0.145,0.147,0.14
"P21","Precio del dólar",0.019,0.011,0.019,0.026,0.048
"P21","Pobreza",0.04,0.034,0.029,0.073,0.09
"P21","Narcotráfico",0.01,0.006,0.012,0.02,0.025
"P21","Tarifas",0.011,0.006,0.007,0.012,0.013
"P21","Otro",0.024,0.023,0.031,0.008,0.081
"P21","No sabe",0.01,0,0.02,0.03,0.035
"P25","Sin deuda",0.329,0.373,0.41,0.246,0.311
"P25","Menos de 10%",0.172,0.227,0.099,0.181,0.187
"P25","Entre 10 y 20%",0.142,0.148,0.154,0.14,0.157
"P25","Entre 20 y 30%",0.098,0.097,0.083,0.086,0.062
"P25","Entre 30 y 40%",0.08,0.048,0.063,0.135,0.067
"P25","Mas del 40%",0.15,0.085,0.089,0.114,0.13
"P25","No sabe",0.029,0.022,0.102,0.098,0.086
"P26","Gran excedente habitual",0.009,0.006,0.008,0.012,0.008
"P26","Gran excedente excepcional",0.005,0.006,0.013,0,0.013
"P26","Pequeño excedente habitual",0.05,0.054,0.033,0.091,0.049
"P26","Pequeño excedente excepcional",0.052,0.06,0.063,0.071,0.064
"P26","Alcanza gastos familia",0.149,0.108,0.106,0.106,0.144
"P26","No alcanza gastos familia",0.113,0.138,0.124,0.19,0.1
"P26","Solo NBFamiliares",0.314,0.277,0.269,0.199,0.235
"P26","No alcanza NBFamiliares",0.299,0.34,0.357,0.321,0.352
"P26","No sabe",0.009,0.011,0.027,0.01,0.035
"P27","Muy buena",0.068,0.101,0.054,0.044,0.028
"P27","Buena",0.188,0.193,0.178,0.132,0.167
"P27","Ni buena ni mala",0.435,0.383,0.47,0.407,0.497
"P27","Mala",0.246,0.277,0.209,0.278,0.253
"P27","Muy mala",0.049,0.042,0.079,0.119,0.044
"P27","No sabe",0.014,0.004,0.01,0.02,0.011
"P28","Mejor",0.078,0.115,0.108,0.098,0.108
"P28","Igual",0.228,0.231,0.243,0.236,0.401
"P28","Peor",0.649,0.621,0.602,0.632,0.43
"P28","No sabe",0.045,0.033,0.047,0.034,0.061
"P29","Mejor",0.244,0.144,0.309,0.214,0.11
"P29","Igual",0.246,0.364,0.292,0.196,0.114
"P29","Peor",0.379,0.323,0.253,0.397,0.544
"P29","No sabe",0.131,0.169,0.146,0.193,0.232
"P30","Muy buena",0.067,0.075,0.043,0.024,0.059
"P30","Buena",0.057,0.122,0.061,0.051,0.072
"P30","Ni buena ni mala",0.165,0.204,0.241,0.218,0.304
"P30","Mala",0.341,0.348,0.358,0.424,0.387
"P30","Muy mala",0.355,0.238,0.289,0.262,0.14
"P30","No sabe",0.015,0.013,0.008,0.021,0.038
"P31","Mejor",0.038,0.045,0.056,0.102,0.075
"P31","Igual",0.127,0.103,0.153,0.187,0.312
"P31","Peor",0.792,0.777,0.699,0.619,0.498
"P31","No sabe",0.043,0.075,0.092,0.092,0.115
"P32","Mejor",0.252,0.233,0.313,0.216,0.104
"P32","Igual",0.208,0.308,0.26,0.14,0.112
"P32","Peor",0.428,0.336,0.295,0.361,0.627
"P32","No sabe",0.112,0.123,0.132,0.283,0.157
"P33","Muy buena",0.061,0.098,0.054,0.061,0.078
"P33","Buena",0.114,0.187,0.124,0.101,0.176
"P33","Ni buena ni mala",0.168,0.237,0.242,0.29,0.386
"P33","Mala",0.271,0.155,0.246,0.347,0.278
"P33","Muy mala",0.367,0.287,0.302,0.111,0.054
"P33","No sabe",0.019,0.036,0.032,0.09,0.028
"P35","Muy buena",0.037,0.092,0.029,0.017,0.073
"P35","Buena",0.101,0.119,0.062,0.12,0.127
"P35","Ni buena ni mala",0.165,0.243,0.217,0.316,0.406
"P35","Mala",0.271,0.21,0.323,0.356,0.278
"P35","Muy mala",0.398,0.309,0.343,0.145,0.055
"P35","No sabe",0.028,0.027,0.026,0.046,0.061
"P36","Muy buena",0.081,0.102,0.031,0.06,0.149
"P36","Buena",0.136,0.138,0.075,0.137,0.238
"P36","Ni buena ni mala",0.204,0.226,0.303,0.425,0.347
"P36","Mala",0.27,0.227,0.298,0.217,0.171
"P36","Muy mala",0.298,0.277,0.275,0.125,0.045
"P36","No sabe",0.011,0.03,0.018,0.036,0.05
"P37","Muy buena",0.044,0.047,0.032,0.022,0.056
"P37","Buena",0.081,0.187,0.071,0.101,0.149
"P37","Ni buena ni mala",0.178,0.144,0.251,0.294,0.396
"P37","Mala",0.273,0.283,0.271,0.372,0.274
"P37","Muy mala",0.408,0.335,0.369,0.176,0.076
"P37","No sabe",0.016,0.004,0.006,0.035,0.049
"P38","Muy buena",0.049,0.089,0.042,0.028,0.099
"P38","Buena",0.058,0.095,0.06,0.188,0.12
"P38","Ni buena ni mala",0.149,0.219,0.144,0.367,0.384
"P38","Mala",0.272,0.213,0.347,0.245,0.269
"P38","Muy mala",0.465,0.383,0.404,0.157,0.119
"P38","No sabe",0.007,0.001,0.003,0.015,0.009
"P39","Muy buena",0.161,0.181,0.12,0.195,0.406
"P39","Buena",0.066,0.096,0.09,0.184,0.188
"P39","Ni buena ni mala",0.099,0.11,0.15,0.207,0.19
"P39","Mala",0.182,0.163,0.175,0.149,0.119
"P39","Muy mala",0.489,0.45,0.454,0.263,0.091
"P39","No sabe",0.003,0,0.011,0.002,0.006
"P40","Muy buena",0.142,0.178,0.157,0.013,0.023
"P40","Buena",0.179,0.23,0.154,0.076,0.05
"P40","Ni buena ni mala",0.233,0.21,0.262,0.278,0.102
"P40","Mala",0.197,0.219,0.249,0.292,0.426
"P40","Muy mala",0.247,0.161,0.159,0.321,0.389
"P40","No sabe",0.002,0.002,0.019,0.02,0.01
"P41","Muy buena",0.09,0.104,0.068,0.028,0.066
"P41","Buena",0.131,0.184,0.18,0.111,0.098
"P41","Ni buena ni mala",0.279,0.318,0.37,0.308,0.413
"P41","Mala",0.236,0.165,0.207,0.298,0.277
"P41","Muy mala",0.254,0.198,0.162,0.162,0.114
"P41","No sabe",0.01,0.031,0.013,0.093,0.032
"P42","Muy buena",0.103,0.099,0.103,0.124,0.269
"P42","Buena",0.109,0.145,0.097,0.144,0.239
"P42","Ni buena ni mala",0.146,0.117,0.174,0.344,0.273
"P42","Mala",0.179,0.194,0.251,0.137,0.112
"P42","Muy mala",0.455,0.431,0.37,0.249,0.103
"P42","No sabe",0.008,0.014,0.005,0.002,0.004
"P43","Muy buena",0.106,0.168,0.148,0.073,0.041
"P43","Buena",0.151,0.222,0.141,0.126,0.079
"P43","Ni buena ni mala",0.284,0.269,0.286,0.274,0.266
"P43","Mala",0.237,0.178,0.233,0.29,0.353
"P43","Muy mala",0.217,0.101,0.155,0.147,0.237
"P43","No sabe",0.005,0.062,0.037,0.09,0.024
"P44","Muy buena",0.185,0.118,0.089,0.266,0.441
"P44","Buena",0.108,0.109,0.095,0.034,0.151
"P44","Ni buena ni mala",0.103,0.146,0.233,0.367,0.191
"P44","Mala",0.146,0.231,0.167,0.112,0.076
"P44","Muy mala",0.436,0.367,0.386,0.176,0.09
"P44","No sabe",0.022,0.029,0.03,0.045,0.051
"P46","Muy buena",0.383,0.364,0.343,0.217,0.105
"P46","Buena",0.169,0.253,0.163,0.175,0.05
"P46","Ni buena ni mala",0.15,0.177,0.262,0.159,0.175
"P46","Mala",0.097,0.102,0.083,0.251,0.266
"P46","Muy mala",0.191,0.08,0.13,0.18,0.381
"P46","No sabe",0.01,0.024,0.019,0.018,0.023
"P47","Muy buena",0.286,0.247,0.257,0.082,0.042
"P47","Buena",0.221,0.268,0.255,0.122,0.043
"P47","Ni buena ni mala",0.157,0.172,0.228,0.342,0.144
"P47","Mala",0.135,0.143,0.144,0.317,0.355
"P47","Muy mala",0.199,0.143,0.102,0.12,0.389
"P47","No sabe",0.002,0.027,0.014,0.017,0.027
"P48","Muy buena",0.136,0.065,0.085,0.057,0.267
"P48","Buena",0.121,0.138,0.094,0.047,0.17
"P48","Ni buena ni mala",0.284,0.204,0.4,0.416,0.304
"P48","Mala",0.171,0.201,0.19,0.176,0.057
"P48","Muy mala",0.237,0.275,0.163,0.07,0.054
"P48","No sabe",0.051,0.117,0.068,0.234,0.148
"P49","Muy buena",0.071,0.037,0.033,0.058,0.146
"P49","Buena",0.107,0.073,0.11,0.036,0.161
"P49","Ni buena ni mala",0.281,0.269,0.307,0.43,0.345
"P49","Mala",0.139,0.212,0.228,0.12,0.105
