"var","categoria","Si","No","No sabe"
"P10","Siempre",0.228,0.198,0.125
"P10","Casi siempre",0.251,0.33,0.289
"P10","Casi nunca",0.295,0.321,0.358
"P10","Nunca, pero esta es una excepción",0.226,0.151,0.228
"P11","Si",0.602,0.212,0.279
"P11","No",0.208,0.642,0.267
"P11","No sabe",0.19,0.146,0.454
"P12","Javier Milei",0.726,0.314,0.509
"P12","Mauricio Macri",0.129,0.449,0.151
"P12","Ambos",0.112,0.16,0.19
"P12","No sabe",0.033,0.077,0.15
"P13","Si",0.776,0.255,0.427
"P13","No",0.182,0.698,0.334
"P13","No sabe",0.042,0.047,0.239
"P14","Florencio Randazzo",0.315,0.298,0.221
"P14","Cristian Ritondo",0.24,0.214,0.139
"P14","Algun diputado del bloque de Milei",0.333,0.142,0.253
"P14","No sabe",0.112,0.346,0.387
"P15","Si",0.75,0.315,0.542
"P15","No",0.2,0.631,0.281
"P15","No sabe",0.05,0.054,0.177
"P16","Si",0.49,0.586,0.521
"P16","No",0.441,0.289,0.258
"P16","No sabe",0.069,0.125,0.221
"P17","Si",0.486,0.532,0.407
"P17","No",0.45,0.374,0.341
"P17","No sabe",0.064,0.094,0.252
"P18","Los cargos públicos",0.564,0.405,0.325
"P18","El empleo público",0.129,0.189,0.119
"P18","Los planes sociales",0.179,0.108,0.268
"P18","Las tarifas de los servicios públicos",0.059,0.054,0.091
"P18","No sabe",0.069,0.244,0.197
"P20","Si",0.847,0.334,0.478
"P20","No",0.117,0.614,0.204
"P20","No sabe",0.036,0.052,0.318
"P21","Inflación",0.335,0.328,0.302
"P21","Desempleo",0.083,0.117,0.073
"P21","Corrupción",0.411,0.244,0.322
"P21","Inseguridad",0.092,0.116,0.144
"P21","Precio del dólar",0.011,0.039,0.015
"P21","Pobreza",0.025,0.069,0.047
"P21","Narcotráfico",0.011,0.012,0.019
"P21","Tarifas",0.008,0.013,0.007
"P21","Otro",0.016,0.058,0.018
"P21","No sabe",0.008,0.004,0.053
"P25","Sin deuda",0.385,0.316,0.313
"P25","Menos de 10%",0.16,0.183,0.166
"P25","Entre 10 y 20%",0.143,0.143,0.162
"P25","Entre 20 y 30%",0.08,0.105,0.067
"P25","Entre 30 y 40%",0.071,0.079,0.07
"P25","Mas del 40%",0.13,0.133,0.1
"P25","No sabe",0.031,0.041,0.122
"P26","Gran excedente habitual",0.012,0.005,0.01
"P26","Gran excedente excepcional",0.007,0.007,0.011
"P26","Pequeño excedente habitual",0.06,0.056,0.025
"P26","Pequeño excedente excepcional",0.051,0.066,0.055
"P26","Alcanza gastos familia",0.117,0.159,0.103
"P26","No alcanza gastos familia",0.125,0.107,0.142
"P26","Solo NBFamiliares",0.272,0.278,0.291
"P26","No alcanza NBFamiliares",0.344,0.307,0.334
"P26","No sabe",0.012,0.015,0.029
"P27","Muy buena",0.085,0.057,0.033
"P27","Buena",0.176,0.201,0.143
"P27","Ni buena ni mala",0.412,0.454,0.471
"P27","Mala",0.262,0.223,0.273
"P27","Muy mala",0.054,0.056,0.062
"P27","No sabe",0.011,0.009,0.018
"P28","Mejor",0.095,0.109,0.067
"P28","Igual",0.19,0.348,0.215
"P28","Peor",0.668,0.506,0.656
"P28","No sabe",0.047,0.037,0.062
"P29","Mejor",0.342,0.108,0.213
"P29","Igual",0.291,0.189,0.27
"P29","Peor",0.249,0.552,0.264
"P29","No sabe",0.118,0.151,0.253
"P30","Muy buena",0.078,0.048,0.055
"P30","Buena",0.056,0.086,0.056
"P30","Ni buena ni mala",0.164,0.258,0.199
"P30","Mala",0.311,0.396,0.363
"P30","Muy mala",0.384,0.191,0.296
"P30","No sabe",0.007,0.021,0.031
"P31","Mejor",0.039,0.063,0.056
"P31","Igual",0.085,0.255,0.122
"P31","Peor",0.822,0.613,0.714
"P31","No sabe",0.054,0.069,0.108
"P32","Mejor",0.342,0.131,0.243
"P32","Igual",0.274,0.172,0.17
"P32","Peor",0.282,0.591,0.33
"P32","No sabe",0.102,0.106,0.257
"P33","Muy buena",0.072,0.085,0.027
"P33","Buena",0.112,0.16,0.129
"P33","Ni buena ni mala",0.145,0.291,0.277
"P33","Mala",0.234,0.268,0.272
"P33","Muy mala",0.408,0.177,0.239
"P33","No sabe",0.029,0.019,0.056
"P35","Muy buena",0.041,0.066,0.023
"P35","Buena",0.058,0.161,0.057
"P35","Ni buena ni mala",0.14,0.312,0.247
"P35","Mala",0.275,0.264,0.31
"P35","Muy mala",0.457,0.167,0.309
"P35","No sabe",0.029,0.03,0.054
"P36","Muy buena",0.061,0.121,0.058
"P36","Buena",0.06,0.255,0.052
"P36","Ni buena ni mala",0.206,0.284,0.318
"P36","Mala",0.271,0.226,0.252
"P36","Muy mala",0.385,0.099,0.265
"P36","No sabe",0.017,0.015,0.055
"P37","Muy buena",0.051,0.039,0.04
"P37","Buena",0.067,0.161,0.066
"P37","Ni buena ni mala",0.129,0.322,0.211
"P37","Mala",0.275,0.277,0.3
"P37","Muy mala",0.465,0.192,0.325
"P37","No sabe",0.013,0.009,0.058
"P38","Muy buena",0.053,0.065,0.068
"P38","Buena",0.036,0.122,0.081
"P38","Ni buena ni mala",0.116,0.291,0.221
"P38","Mala",0.268,0.281,0.264
"P38","Muy mala",0.519,0.238,0.354
"P38","No sabe",0.008,0.003,0.012
"P39","Muy buena",0.076,0.342,0.132
"P39","Buena",0.066,0.138,0.094
"P39","Ni buena ni mala",0.093,0.156,0.151
"P39","Mala",0.175,0.141,0.202
"P39","Muy mala",0.588,0.22,0.409
"P39","No sabe",0.002,0.003,0.012
"P40","Muy buena",0.213,0.058,0.082
"P40","Buena",0.206,0.093,0.189
"P40","Ni buena ni mala",0.286,0.13,0.265
"P40","Mala",0.143,0.352,0.246
"P40","Muy mala",0.145,0.363,0.202
"P40","No sabe",0.007,0.004,0.016
"P41","Muy buena",0.099,0.072,0.061
"P41","Buena",0.121,0.147,0.155
"P41","Ni buena ni mala",0.251,0.363,0.379
"P41","Mala",0.237,0.253,0.179
"P41","Muy mala",0.281,0.148,0.166
"P41","No sabe",0.011,0.017,0.06
"P42","Muy buena",0.077,0.2,0.087
"P42","Buena",0.048,0.229,0.102
"P42","Ni buena ni mala",0.1,0.231,0.225
"P42","Mala",0.223,0.121,0.22
"P42","Muy mala",0.54,0.216,0.356
"P42","No sabe",0.012,0.003,0.01
"P43","Muy buena",0.149,0.062,0.132
"P43","Buena",0.178,0.119,0.144
"P43","Ni buena ni mala",0.298,0.227,0.358
"P43","Mala",0.218,0.31,0.181
"P43","Muy mala",0.144,0.262,0.115
"P43","No sabe",0.013,0.02,0.07
"P44","Muy buena",0.096,0.351,0.116
"P44","Buena",0.054,0.159,0.106
"P44","Ni buena ni mala",0.133,0.171,0.195
"P44","Mala",0.158,0.131,0.162
"P44","Muy mala",0.533,0.18,0.331
"P44","No sabe",0.026,0.008,0.09
"P46","Muy buena",0.539,0.134,0.287
"P46","Buena",0.161,0.137,0.21
"P46","Ni buena ni mala",0.16,0.152,0.265
"P46","Mala",0.026,0.252,0.079
"P46","Muy mala",0.111,0.305,0.126
"P46","No sabe",0.003,0.02,0.033
"P47","Muy buena",0.348,0.119,0.202
"P47","Buena",0.291,0.11,0.202
"P47","Ni buena ni mala",0.185,0.142,0.253
"P47","Mala",0.079,0.27,0.213
"P47","Muy mala",0.097,0.348,0.089
"P47","No sabe",0,0.011,0.041
"P48","Muy buena",0.076,0.222,0.057
"P48","Buena",0.105,0.157,0.081
"P48","Ni buena ni mala",0.314,0.263,0.37
"P48","Mala",0.15,0.161,0.17
"P48","Muy mala",0.296,0.124,0.127
"P48","No sabe",0.059,0.073,0.195
"P49","Muy buena",0.058,0.111,0.016
"P49","Buena",0.094,0.145,0.051
"P49","Ni buena ni mala",0.237,0.345,0.341
"P49","Mala",0.156,0.146,0.179
"P49","Muy mala",0.391,0.158,0.215
"P49","No sabe",0.064,0.095,0.198
"P50","Muy buena",0.046,0.046,0.041
"P50","Buena",0.119,0.16,0.134
"P50","Ni buena ni mala",0.319,0.389,0.367
"P50","Mala",0.197,0.238,0.146
"P50","Muy mala",0.272,0.121,0.135
"P50","No sabe",0.047,0.046,0.177
"P52","Muy buena",0.479,0.107,0.235
"P52","Buena",0.153,0.098,0.161
"P52","Ni buena ni mala",0.163,0.201,0.282
"P52","Mala",0.057,0.195,0.109
"P52","Muy mala",0.112,0.358,0.117
"P52","No sabe",0.036,0.041,0.096
"P53","Muy buena",0.256,0.109,0.166
"P53","Buena",0.262,0.185,0.196
"P53","Ni buena ni mala",0.28,0.313,0.373
"P53","Mala",0.075,0.22,0.09
"P53","Muy mala",0.072,0.136,0.065
"P53","No sabe",0.055,0.037,0.11
"P54","Radio",0.13,0.142,0.151
"P54","Televisión",0.387,0.395,0.415
"P54","Diario",0.072,0.069,0.036
"P54","Medio digital",0.188,0.218,0.177
"P54","Redes Sociales",0.186,0.119,0.179
"P54","Ninguno en particular",0.037,0.057,0.04
"P54","No sabe",0,0,0.002
"P55","Muy buena",0.055,0.073,0.055
"P55","Buena",0.084,0.187,0.104
"P55","Ni buena ni mala",0.263,0.362,0.391
"P55","Mala",0.304,0.237,0.227
"P55","Muy mala",0.274,0.119,0.165
"P55","No sabe",0.02,0.022,0.058
"P56","Muy buena",0.058,0.033,0.046
"P56","Buena",0.087,0.097,0.075
"P56","Ni buena ni mala",0.253,0.229,0.274
"P56","Mala",0.28,0.323,0.332
"P56","Muy mala",0.303,0.29,0.208
"P56","No sabe",0.019,0.028,0.065
