"var","categoria","La votaría","Puede que la vote","Nunca la votaría","No sabe"
"P05","Mucho",0.32,0.127,0.342,0.27
"P05","Bastante",0.314,0.41,0.308,0.251
"P05","Poco",0.167,0.273,0.175,0.145
"P05","Nada",0.135,0.175,0.175,0.174
"P05","No sabe",0.064,0.015,0,0.16
"P06","Siempre",0.188,0.183,0.221,0.135
"P06","Casi siempre",0.324,0.436,0.354,0.289
"P06","Casi nunca",0.344,0.219,0.299,0.329
"P06","Nunca, pero esta es una excepción",0.144,0.162,0.126,0.247
"P08","Al candidato del Frente de Todos",0.616,0.31,0.095,0.151
"P08","Al candidato de Juntos por el Cambio",0.226,0.239,0.314,0.175
"P08","Al candidato de los liberales - libertarios",0.047,0.186,0.385,0.162
"P08","Al candidato de la Izquierda",0.01,0.016,0.082,0.01
"P08","A otro candidato",0.033,0.071,0.024,0.15
"P08","No sabe",0.068,0.178,0.1,0.352
"P09","A Blanca Cantero por el Frente de Todos",0.512,0.26,0.062,0.117
"P09","A Federico García por el Frente de Todos",0.038,0.056,0.052,0.103
"P09","A Victor Rengifo por Juntos por el Cambio",0.139,0.202,0.218,0.171
"P09","A Mauro Arranz por Juntos por el Cambio",0.057,0.084,0.119,0.037
"P09","A Anibal Regueiro por un partido vecinal",0.118,0.116,0.145,0.053
"P09","A Eduardo Guardia por La Libertad Avanza",0.041,0.143,0.233,0.155
"P09","A Miguel Coria por el Frente de Izquierda",0.056,0.006,0.052,0
"P09","No sabe",0.039,0.133,0.119,0.364
"P12","A Blanca Cantero por el Frente de Todos con el apoyo de Sergio Massa",0.502,0.312,0.014,0.128
"P12","A Federico García por el Frente de Todos con el apoyo de La Cámpora",0.096,0.06,0.026,0.04
"P12","A Victor Rengifo por Juntos por el Cambio con el apoyo de Patricia Bullrich",0.089,0.097,0.256,0.205
"P12","A Mauro Arranz por Juntos por el Cambio con el apoyo de Horacio Rodriguez Larreta",0.048,0.192,0.104,0.041
"P12","A Anibal Regueiro por un partido vecinal",0.135,0.115,0.096,0.047
"P12","A Eduardo Guardia por La Libertad Avanza con el apoyo de Javier Milei",0.041,0.132,0.31,0.181
"P12","A Miguel Coria por el Frente de Izquierda con el apoyo de Myriam Bregman",0.073,0.01,0.052,0.042
"P12","No sabe",0.016,0.082,0.142,0.316
"P16","Lo votaría",0.254,0.087,0.055,0.024
"P16","Puede que lo vote",0.233,0.505,0.12,0.089
"P16","Nunca lo votaría",0.328,0.271,0.699,0.144
"P16","No sabe",0.185,0.137,0.126,0.743
"P17","Lo votaría",0.189,0.089,0.111,0.049
"P17","Puede que lo vote",0.119,0.44,0.159,0.074
"P17","Nunca lo votaría",0.55,0.329,0.572,0.206
"P17","No sabe",0.142,0.142,0.158,0.671
"P18","Lo votaría",0.158,0.005,0.044,0.097
"P18","Puede que lo vote",0.079,0.439,0.1,0.046
"P18","Nunca lo votaría",0.566,0.343,0.667,0.137
"P18","No sabe",0.197,0.213,0.189,0.72
"P19","Lo votaría",0.197,0.155,0.088,0.099
"P19","Puede que lo vote",0.202,0.45,0.165,0.08
"P19","Nunca lo votaría",0.512,0.302,0.633,0.101
"P19","No sabe",0.089,0.093,0.114,0.72
"P20","Lo votaría",0.169,0.078,0.112,0.053
"P20","Puede que lo vote",0.106,0.585,0.104,0.054
"P20","Nunca lo votaría",0.546,0.186,0.629,0.187
"P20","No sabe",0.179,0.151,0.155,0.706
"P21","Lo votaría",0.171,0.153,0.06,0.013
"P21","Puede que lo vote",0.119,0.393,0.125,0.065
"P21","Nunca lo votaría",0.478,0.277,0.63,0.107
"P21","No sabe",0.232,0.177,0.185,0.815
"P22","Si",0.406,0.285,0.284,0.282
"P22","No",0.594,0.715,0.716,0.718
