"var","categoria","Diego Santilli y Facundo Manes por “Juntos”","Victoria Tolosa Paz por el Frente de todos","Nicolás del Caño por el Frente de Izquierda","José Luis Espert por “Avanza Libertad”","Florencio Randazzo por “Vamos con vos”","Cynthia Hotton por “+Valores”","Ninguna en particular","No sabe"
"P09","Porque me siento desanimado con la realidad del país",0.188,0.236,0.163,0.121,0,0,0.273,0
"P09","Porque estoy en desacuerdo con el gobierno, pero la oposición no me representa",0.335,0.226,0.527,0.722,0,1,0,0.678
"P09","Nunca voy a votar",0,0.014,0,0,0,0,0,0
"P09","Por miedo a la pandemia",0.241,0.236,0.051,0.157,1,0,0.029,0.322
"P09","Porque las PASO no son elecciones importantes",0.236,0.288,0.259,0,0,0,0.698,0
"P14","A Tolosa Paz por el Frente de Todos",0.727,0.035,0.316,0.699,0.587,0.074,0.328,0.079
"P14","A Santilli y Manes por Juntos",0.178,0.797,0.398,0.042,0.413,0.227,0.405,0.157
"P14","A del Caño por el Frente de Izquierda",0.06,0.02,0.211,0,0,0,0.025,0
"P14","A Espert por Avanza libertad",0.009,0.11,0.026,0.226,0,0,0.01,0
"P14","A Randazzo por ""Vamos con vos""",0,0.015,0.049,0,0,0.09,0.126,0.045
"P14","A Hotton por “+Valores”",0,0,0,0,0,0,0.004,0
"P14","Votaría en blanco o anularía",0.026,0.023,0,0.033,0,0.609,0.102,0.719
"P16","A Juan Aníbal Viaggo por Juntos",0.163,0.785,0.398,0.042,0.413,0.227,0.341,0.157
"P16","A Mateo Bartolini por el Frente de todos",0.722,0.037,0.316,0.699,0.587,0.074,0.328,0.266
"P16","A Catalina Riganti por Convocación Civica por San Isidro",0.015,0.014,0,0,0,0,0.012,0.016
"P16","A Francisco Sicardi de Estrada por Avanza libertad",0.009,0.105,0.026,0.226,0,0,0.01,0
"P16","A Florencia Sarmiento por el Frente de Izquierda",0.06,0.023,0.211,0,0,0,0.024,0
"P16","A Martín Eduardo Palma Bastidas por “Vamos con vos""",0,0.012,0.049,0,0,0.09,0.067,0.045
"P16","Votaría en blanco o anularía",0.031,0.024,0,0.033,0,0.609,0.218,0.516
"P18","Diego Santilli y Facundo Manes por “Juntos”",0.216,0.791,0.397,0.042,0.357,0.227,0.413,0.155
"P18","Victoria Tolosa Paz por el Frente de todos",0.661,0.062,0.316,0.554,0.547,0.074,0.24,0.058
"P18","Nicolás del Caño por el Frente de Izquierda",0.055,0.011,0.1,0,0,0,0.005,0
"P18","José Luis Espert por “Avanza Libertad”",0.007,0.108,0.051,0.253,0,0,0.01,0
