"var","categoria","A Juan Aníbal Viaggo por Juntos","A Mateo Bartolini por el Frente de todos","A Catalina Riganti por Convocación Civica por San Isidro","A Francisco Sicardi de Estrada por Avanza libertad","A Florencia Sarmiento por el Frente de Izquierda","A Martín Eduardo Palma Bastidas por “Vamos con vos""","Votaría en blanco o anularía"
"P09","Porque me siento desanimado con la realidad del país",0.307,0.159,0,0.115,0,0,0.249
"P09","Porque estoy en desacuerdo con el gobierno, pero la oposición no me representa",0.137,0.455,0,0.433,0.171,0,0.36
"P09","Nunca voy a votar",0.021,0,0.309,0,0,0,0
"P09","Por miedo a la pandemia",0.248,0.279,0,0,0,0,0.027
"P09","Porque las PASO no son elecciones importantes",0.287,0.107,0.691,0.452,0.829,1,0.364
"P14","A Tolosa Paz por el Frente de Todos",0,0.979,0.05,0,0,0,0.022
"P14","A Santilli y Manes por Juntos",1,0,0.741,0,0,0,0.061
"P14","A del Caño por el Frente de Izquierda",0,0,0,0,0.942,0,0
"P14","A Espert por Avanza libertad",0,0.009,0.087,1,0,0,0
"P14","A Randazzo por ""Vamos con vos""",0,0,0.085,0,0.058,1,0.059
"P14","A Hotton por “+Valores”",0,0,0.018,0,0,0,0
"P14","Votaría en blanco o anularía",0,0.012,0.019,0,0,0,0.858
"P18","Diego Santilli y Facundo Manes por “Juntos”",0.929,0.1,0.526,0.149,0.227,0.24,0.128
"P18","Victoria Tolosa Paz por el Frente de todos",0.038,0.827,0.048,0,0.12,0,0.038
"P18","Nicolás del Caño por el Frente de Izquierda",0.002,0.003,0.262,0.006,0.447,0,0
"P18","José Luis Espert por “Avanza Libertad”",0.019,0.014,0.019,0.804,0,0.11,0
"P18","Florencio Randazzo por “Vamos con vos”",0.003,0.018,0.084,0.012,0.029,0.42,0.079
"P18","Cynthia Hotton por “+Valores”",0,0,0.019,0,0,0,0.027
"P18","Ninguna en particular",0.004,0.026,0.019,0.021,0.053,0.23,0.542
"P18","No sabe",0.005,0.012,0.023,0.008,0.124,0,0.186
"P19","Diego Santilli y Facundo Manes por “Juntos”",0.072,0.7,0.271,0.031,0.419,0,0.154
"P19","Victoria Tolosa Paz por el Frente de todos",0.855,0.088,0.651,0.884,0.399,0.509,0.281
"P19","Nicolás del Caño por el Frente de Izquierda",0.017,0.029,0,0.008,0.139,0.082,0
"P19","José Luis Espert por “Avanza Libertad”",0.002,0.06,0,0.068,0,0,0.014
"P19","Florencio Randazzo por “Vamos con vos”",0.007,0.023,0,0,0,0,0
"P19","Cynthia Hotton por “+Valores”",0.004,0.003,0,0,0,0.06,0.111
