"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala"
"P04","Gran excedente habitual",0.016,0.007,0.01,0.002,0.015
"P04","Gran excedente excepcional",0.002,0.004,0.003,0.003,0.006
"P04","Pequeño excedente habitual",0.065,0.064,0.058,0.038,0.029
"P04","Pequeño excedente excepcional",0.046,0.068,0.071,0.049,0.023
"P04","Alcanza gastos familia",0.147,0.166,0.133,0.119,0.07
"P04","No alcanza gastos familia",0.113,0.17,0.156,0.161,0.189
"P04","Solo NBFamiliares",0.235,0.279,0.249,0.289,0.208
"P04","No alcanza NBFamiliares",0.333,0.214,0.303,0.329,0.442
"P04","No sabe",0.043,0.028,0.017,0.01,0.018
"P05","Todos los días",0.241,0.235,0.206,0.314,0.326
"P05","Hasta 5 veces por semana",0.175,0.15,0.138,0.166,0.12
"P05","Entre 4 y 1 vez por semana",0.148,0.194,0.181,0.129,0.116
"P05","Ocasionalmente/ A veces",0.192,0.274,0.265,0.233,0.184
"P05","Nunca",0.244,0.147,0.21,0.158,0.254
"P06","Colectivo",0.571,0.662,0.579,0.647,0.605
"P06","Subte",0.098,0.086,0.08,0.097,0.067
"P06","Tren",0.068,0.096,0.082,0.071,0.1
"P06","Premetro",0.037,0.03,0.031,0.023,0.023
"P06","Taxi",0.13,0.057,0.117,0.09,0.08
"P06","Aplicaciones como Uber, Cabify, Didi o similares",0.096,0.069,0.111,0.072,0.125
"P07","Todos los días",0.299,0.178,0.165,0.21,0.316
"P07","Hasta 5 veces por semana",0.084,0.076,0.066,0.125,0.076
"P07","Entre 4 y 1 vez por semana",0.102,0.141,0.114,0.096,0.084
"P07","Ocasionalmente/ A veces",0.158,0.28,0.254,0.223,0.133
"P07","Nunca",0.357,0.325,0.401,0.346,0.391
"P08","Menos de 30 minutos por día",0.565,0.419,0.469,0.356,0.351
"P08","Entre 30 minutos y 1 hora por día",0.168,0.332,0.281,0.255,0.198
"P08","Entre 1 y 2 horas por día",0.157,0.146,0.147,0.211,0.175
"P08","Más de 2 horas por día",0.11,0.103,0.103,0.178,0.276
"P09","Todos los días",0.255,0.058,0.058,0.055,0.093
"P09","Hasta 5 veces por semana",0.054,0.045,0.06,0.047,0.033
"P09","Entre 4 y 1 vez por semana",0.033,0.073,0.062,0.078,0.055
"P09","Ocasionalmente/ A veces",0.194,0.277,0.244,0.295,0.192
"P09","Nunca",0.464,0.547,0.576,0.525,0.627
"P10","Todos los días",0.214,0.021,0.026,0.038,0.074
"P10","Hasta 5 veces por semana",0.015,0.029,0.024,0.022,0.015
"P10","Entre 4 y 1 vez por semana",0.03,0.065,0.046,0.044,0.025
"P10","Ocasionalmente/ A veces",0.227,0.377,0.339,0.35,0.195
"P10","Nunca",0.055,0.078,0.099,0.089,0.093
"P10","No existen esos servicios donde vivo",0.459,0.43,0.466,0.457,0.598
"P11","Taxis tradicionales",0.315,0.246,0.186,0.195,0.157
"P11","Aplicaciones de transporte",0.282,0.359,0.315,0.309,0.302
"P11","No tengo preferencia por ninguna",0.221,0.266,0.311,0.315,0.278
"P11","No existen servicios de aplicaciones donde vivo",0.182,0.129,0.188,0.181,0.263
"P12","Más de 5000 pesos mensuales",0.368,0.277,0.262,0.372,0.443
"P12","Entre 5000 y 2500 pesos mensuales",0.201,0.266,0.259,0.259,0.231
"P12","Menos de 2500 pesos mensuales",0.431,0.457,0.479,0.369,0.326
"P13","Muy caro",0.302,0.217,0.271,0.403,0.569
"P13","Caro",0.187,0.235,0.236,0.241,0.131
"P13","Ni caro ni barato",0.249,0.393,0.33,0.252,0.127
"P13","Barato",0.091,0.091,0.052,0.039,0.025
"P13","Muy barato",0.091,0.026,0.032,0.023,0.039
"P13","No sabe",0.08,0.038,0.079,0.042,0.109
"P14","Sí, han aumentado significativamente",0.411,0.381,0.394,0.541,0.662
"P14","Sí, han aumentado ligeramente",0.184,0.341,0.283,0.245,0.124
"P14","No, se han mantenido iguales",0.239,0.153,0.133,0.126,0.076
"P14","No sabe",0.166,0.125,0.19,0.088,0.138
"P15","Muy buena",0.495,0.197,0.064,0.053,0.07
"P15","Buena",0.126,0.514,0.208,0.094,0.026
"P15","Ni buena ni mala",0.172,0.194,0.479,0.22,0.123
"P15","Mala",0.161,0.088,0.201,0.453,0.166
"P15","Muy mala",0.046,0.007,0.048,0.18,0.615
"P16","Falta de mantenimiento de estaciones y vehículos",0.353,0.186,0.18,0.249,0.282
"P16","Insuficiente cantidad de paradas/estaciones",0.061,0.129,0.086,0.057,0.028
"P16","Escasez de señalización",0.096,0.093,0.082,0.071,0.03
"P16","Insuficiencia en los horarios",0.15,0.252,0.357,0.368,0.341
"P16","Malas conexiones entre medios de transporte",0.016,0.043,0.047,0.093,0.112
"P16","Falta de seguridad de estaciones y vehículos",0.032,0.065,0.078,0.054,0.076
"P16","Mala accesibilidad para personas con movilidad reducida",0.056,0.059,0.051,0.055,0.041
"P16","No sabe",0.236,0.173,0.119,0.053,0.09
"P17","WiFi gratuito en estaciones y vehículos",0.664,0.265,0.256,0.183,0.213
"P17","Cargadores USB en los vehículos",0.055,0.155,0.084,0.052,0.067
"P17","Pantallas de información en tiempo real en estaciones y vehículos",0.085,0.224,0.274,0.176,0.166
"P17","Buenas instalaciones de espera y descanso en las estaciones",0.196,0.356,0.386,0.589,0.554
"P19","Sí, con frecuencia",0.368,0.213,0.301,0.556,0.734
"P19","Sí, ocasionalmente",0.233,0.459,0.306,0.207,0.089
"P19","No, rara vez",0.218,0.256,0.299,0.102,0.067
"P19","No, nunca he experimentado problemas de congestión o demoras",0.181,0.072,0.094,0.135,0.11
"P20","Sí, siempre me siento seguro/a",0.531,0.327,0.172,0.167,0.152
"P20","Sí, en su mayoría me siento seguro/a",0.185,0.336,0.254,0.153,0.052
"P20","A veces me siento seguro/a, a veces no",0.142,0.239,0.338,0.28,0.16
