"var","categoria","Taxis tradicionales","Aplicaciones de transporte","No tengo preferencia por ninguna","No existen servicios de aplicaciones donde vivo"
"P04","Gran excedente habitual",0.006,0.009,0.011,0.008
"P04","Gran excedente excepcional",0.002,0.004,0.004,0.001
"P04","Pequeño excedente habitual",0.056,0.067,0.047,0.028
"P04","Pequeño excedente excepcional",0.074,0.073,0.043,0.051
"P04","Alcanza gastos familia",0.141,0.138,0.118,0.092
"P04","No alcanza gastos familia",0.133,0.147,0.173,0.177
"P04","Solo NBFamiliares",0.275,0.269,0.266,0.234
"P04","No alcanza NBFamiliares",0.295,0.272,0.312,0.392
"P04","No sabe",0.018,0.021,0.026,0.017
"P05","Todos los días",0.228,0.257,0.269,0.192
"P05","Hasta 5 veces por semana",0.127,0.16,0.15,0.147
"P05","Entre 4 y 1 vez por semana",0.147,0.165,0.164,0.129
"P05","Ocasionalmente/ A veces",0.29,0.218,0.239,0.234
"P05","Nunca",0.208,0.2,0.178,0.298
"P06","Colectivo",0.608,0.565,0.641,0.596
"P06","Subte",0.082,0.085,0.079,0.065
"P06","Tren",0.06,0.097,0.085,0.055
"P06","Premetro",0.043,0.021,0.024,0.038
"P06","Taxi",0.152,0.073,0.079,0.144
"P06","Aplicaciones como Uber, Cabify, Didi o similares",0.055,0.159,0.092,0.102
"P07","Todos los días",0.253,0.209,0.187,0.201
"P07","Hasta 5 veces por semana",0.076,0.09,0.076,0.074
"P07","Entre 4 y 1 vez por semana",0.078,0.123,0.134,0.076
"P07","Ocasionalmente/ A veces",0.233,0.203,0.238,0.171
"P07","Nunca",0.36,0.375,0.365,0.478
"P08","Menos de 30 minutos por día",0.496,0.409,0.407,0.47
"P08","Entre 30 minutos y 1 hora por día",0.269,0.275,0.259,0.214
"P08","Entre 1 y 2 horas por día",0.121,0.181,0.182,0.128
"P08","Más de 2 horas por día",0.114,0.135,0.152,0.188
"P09","Todos los días",0.158,0.059,0.055,0.08
"P09","Hasta 5 veces por semana",0.054,0.048,0.04,0.061
"P09","Entre 4 y 1 vez por semana",0.094,0.073,0.057,0.05
"P09","Ocasionalmente/ A veces",0.314,0.237,0.245,0.201
"P09","Nunca",0.38,0.583,0.603,0.608
"P10","Todos los días",0.126,0.045,0.026,0.01
"P10","Hasta 5 veces por semana",0.024,0.049,0.007,0.014
"P10","Entre 4 y 1 vez por semana",0.039,0.091,0.042,0.009
"P10","Ocasionalmente/ A veces",0.251,0.432,0.323,0.212
"P10","Nunca",0.092,0.062,0.151,0.035
"P10","No existen esos servicios donde vivo",0.468,0.321,0.451,0.72
"P12","Más de 5000 pesos mensuales",0.414,0.297,0.267,0.3
"P12","Entre 5000 y 2500 pesos mensuales",0.207,0.34,0.219,0.197
"P12","Menos de 2500 pesos mensuales",0.379,0.363,0.514,0.503
"P13","Muy caro",0.381,0.303,0.3,0.351
"P13","Caro",0.227,0.224,0.211,0.183
"P13","Ni caro ni barato",0.268,0.32,0.317,0.251
"P13","Barato",0.053,0.071,0.057,0.031
"P13","Muy barato",0.039,0.043,0.037,0.025
"P13","No sabe",0.032,0.039,0.078,0.159
"P14","Sí, han aumentado significativamente",0.459,0.484,0.454,0.387
"P14","Sí, han aumentado ligeramente",0.253,0.261,0.255,0.241
"P14","No, se han mantenido iguales",0.167,0.142,0.114,0.12
"P14","No sabe",0.121,0.113,0.177,0.252
"P15","Muy buena",0.168,0.137,0.111,0.093
"P15","Buena",0.249,0.233,0.192,0.146
"P15","Ni buena ni mala",0.277,0.283,0.333,0.347
"P15","Mala",0.193,0.218,0.238,0.227
"P15","Muy mala",0.113,0.129,0.126,0.187
"P16","Falta de mantenimiento de estaciones y vehículos",0.232,0.25,0.195,0.194
"P16","Insuficiente cantidad de paradas/estaciones",0.123,0.058,0.081,0.057
"P16","Escasez de señalización",0.073,0.084,0.071,0.089
"P16","Insuficiencia en los horarios",0.29,0.344,0.326,0.274
"P16","Malas conexiones entre medios de transporte",0.059,0.052,0.066,0.067
"P16","Falta de seguridad de estaciones y vehículos",0.048,0.075,0.079,0.059
"P16","Mala accesibilidad para personas con movilidad reducida",0.053,0.052,0.05,0.048
"P16","No sabe",0.122,0.085,0.132,0.212
"P17","WiFi gratuito en estaciones y vehículos",0.318,0.259,0.25,0.282
"P17","Cargadores USB en los vehículos",0.095,0.102,0.072,0.07
"P17","Pantallas de información en tiempo real en estaciones y vehículos",0.178,0.265,0.213,0.176
"P17","Buenas instalaciones de espera y descanso en las estaciones",0.409,0.374,0.465,0.472
"P18","Muy buena",0.132,0.077,0.065,0.086
"P18","Buena",0.209,0.198,0.16,0.123
"P18","Ni buena ni mala",0.373,0.412,0.441,0.422
"P18","Mala",0.196,0.201,0.223,0.202
"P18","Muy mala",0.09,0.112,0.111,0.167
"P19","Sí, con frecuencia",0.406,0.408,0.393,0.359
"P19","Sí, ocasionalmente",0.256,0.312,0.288,0.243
"P19","No, rara vez",0.234,0.192,0.221,0.233
"P19","No, nunca he experimentado problemas de congestión o demoras",0.104,0.088,0.098,0.165
"P20","Sí, siempre me siento seguro/a",0.332,0.197,0.186,0.229
"P20","Sí, en su mayoría me siento seguro/a",0.263,0.2,0.226,0.19
"P20","A veces me siento seguro/a, a veces no",0.229,0.311,0.265,0.256
"P20","No me siento seguro/a la mayoría de las veces",0.119,0.191,0.213,0.201
"P20","No me siento seguro/a en absoluto",0.057,0.101,0.11,0.124
"P21","Sí, en más de una ocasión",0.199,0.243,0.191,0.214
"P21","Sí, en una ocasión",0.186,0.244,0.209,0.132
"P21","No, nunca he presenciado un incidente de seguridad en el trasporte público",0.527,0.431,0.481,0.491
"P21","Prefiero no responder",0.088,0.082,0.119,0.163
"P22","Sí, en más de una ocasión",0.178,0.131,0.099,0.169
"P22","Sí, en una ocasión",0.128,0.169,0.149,0.159
"P22","No, nunca he sido víctima de un incidente de seguridad en el trasporte público",0.643,0.607,0.637,0.56
"P22","Prefiero no responder",0.051,0.093,0.115,0.112
