"var","categoria","Todos los días","Hasta 5 veces por semana","Entre 4 y 1 vez por semana","Ocasionalmente/ A veces","Nunca"
"P04","Gran excedente habitual",0.004,0.005,0.002,0.014,0.015
"P04","Gran excedente excepcional",0.003,0.009,0.005,0.002,0.004
"P04","Pequeño excedente habitual",0.026,0.022,0.02,0.043,0.081
"P04","Pequeño excedente excepcional",0.023,0.048,0.047,0.048,0.088
"P04","Alcanza gastos familia",0.068,0.066,0.11,0.154,0.165
"P04","No alcanza gastos familia",0.157,0.194,0.203,0.147,0.151
"P04","Solo NBFamiliares",0.229,0.266,0.273,0.293,0.244
"P04","No alcanza NBFamiliares",0.466,0.381,0.307,0.275,0.231
"P04","No sabe",0.024,0.009,0.033,0.024,0.021
"P05","Todos los días",0.553,0.327,0.208,0.122,0.105
"P05","Hasta 5 veces por semana",0.13,0.425,0.224,0.131,0.072
"P05","Entre 4 y 1 vez por semana",0.106,0.1,0.383,0.197,0.107
"P05","Ocasionalmente/ A veces",0.121,0.083,0.14,0.447,0.247
"P05","Nunca",0.09,0.065,0.045,0.103,0.469
"P06","Colectivo",0.851,0.6,0.634,0.616,0.452
"P06","Subte",0.049,0.223,0.105,0.104,0.047
"P06","Tren",0.056,0.114,0.188,0.092,0.034
"P06","Premetro",0.003,0.016,0.01,0.062,0.03
"P06","Taxi",0.018,0.026,0.019,0.059,0.218
"P06","Aplicaciones como Uber, Cabify, Didi o similares",0.023,0.021,0.044,0.067,0.219
"P08","Menos de 30 minutos por día",0.369,0.116,0.191,0.39,0.635
"P08","Entre 30 minutos y 1 hora por día",0.283,0.456,0.351,0.272,0.173
"P08","Entre 1 y 2 horas por día",0.195,0.259,0.311,0.141,0.078
"P08","Más de 2 horas por día",0.153,0.169,0.147,0.197,0.114
"P09","Todos los días",0.158,0.059,0.033,0.042,0.079
"P09","Hasta 5 veces por semana",0.082,0.097,0.051,0.03,0.028
"P09","Entre 4 y 1 vez por semana",0.087,0.112,0.115,0.056,0.036
"P09","Ocasionalmente/ A veces",0.193,0.219,0.252,0.296,0.231
"P09","Nunca",0.48,0.513,0.549,0.576,0.626
"P10","Todos los días",0.113,0.087,0.035,0.017,0.026
"P10","Hasta 5 veces por semana",0.047,0.059,0.011,0.025,0.009
"P10","Entre 4 y 1 vez por semana",0.065,0.075,0.084,0.053,0.028
"P10","Ocasionalmente/ A veces",0.292,0.311,0.344,0.406,0.271
"P10","Nunca",0.057,0.104,0.112,0.091,0.099
"P10","No existen esos servicios donde vivo",0.426,0.364,0.414,0.408,0.567
"P11","Taxis tradicionales",0.244,0.193,0.147,0.222,0.187
"P11","Aplicaciones de transporte",0.306,0.347,0.35,0.292,0.297
"P11","No tengo preferencia por ninguna",0.263,0.28,0.366,0.329,0.276
"P11","No existen servicios de aplicaciones donde vivo",0.187,0.18,0.137,0.157,0.24
"P12","Más de 5000 pesos mensuales",0.546,0.474,0.302,0.235,0.194
"P12","Entre 5000 y 2500 pesos mensuales",0.256,0.341,0.374,0.252,0.192
"P12","Menos de 2500 pesos mensuales",0.198,0.185,0.324,0.513,0.614
"P13","Muy caro",0.52,0.361,0.281,0.233,0.277
"P13","Caro",0.173,0.268,0.26,0.221,0.207
"P13","Ni caro ni barato",0.225,0.282,0.31,0.371,0.293
"P13","Barato",0.027,0.031,0.092,0.08,0.052
"P13","Muy barato",0.026,0.032,0.028,0.035,0.047
"P13","No sabe",0.029,0.026,0.029,0.06,0.124
"P14","Sí, han aumentado significativamente",0.618,0.578,0.445,0.421,0.351
"P14","Sí, han aumentado ligeramente",0.198,0.283,0.339,0.309,0.222
"P14","No, se han mantenido iguales",0.122,0.084,0.117,0.134,0.159
"P14","No sabe",0.062,0.055,0.099,0.136,0.268
"P15","Muy buena",0.17,0.129,0.144,0.093,0.118
"P15","Buena",0.159,0.227,0.225,0.258,0.198
"P15","Ni buena ni mala",0.271,0.241,0.322,0.35,0.317
"P15","Mala",0.227,0.321,0.222,0.196,0.208
"P15","Muy mala",0.173,0.082,0.087,0.103,0.159
"P16","Falta de mantenimiento de estaciones y vehículos",0.308,0.278,0.192,0.187,0.186
"P16","Insuficiente cantidad de paradas/estaciones",0.094,0.104,0.091,0.075,0.061
"P16","Escasez de señalización",0.099,0.084,0.077,0.081,0.064
"P16","Insuficiencia en los horarios",0.276,0.304,0.341,0.339,0.316
"P16","Malas conexiones entre medios de transporte",0.064,0.052,0.067,0.062,0.058
"P16","Falta de seguridad de estaciones y vehículos",0.058,0.059,0.091,0.083,0.059
"P16","Mala accesibilidad para personas con movilidad reducida",0.035,0.046,0.057,0.048,0.061
"P16","No sabe",0.066,0.073,0.084,0.125,0.195
"P17","WiFi gratuito en estaciones y vehículos",0.357,0.287,0.263,0.244,0.244
"P17","Cargadores USB en los vehículos",0.105,0.086,0.079,0.079,0.08
"P17","Pantallas de información en tiempo real en estaciones y vehículos",0.164,0.235,0.248,0.243,0.214
"P17","Buenas instalaciones de espera y descanso en las estaciones",0.374,0.392,0.41,0.434,0.462
"P18","Muy buena",0.126,0.088,0.08,0.059,0.083
"P18","Buena",0.151,0.161,0.224,0.214,0.154
"P18","Ni buena ni mala",0.332,0.332,0.428,0.459,0.448
"P18","Mala",0.211,0.312,0.179,0.2,0.192
"P18","Muy mala",0.18,0.107,0.089,0.068,0.123
"P19","Sí, con frecuencia",0.553,0.555,0.393,0.33,0.31
"P19","Sí, ocasionalmente",0.223,0.262,0.333,0.34,0.264
"P19","No, rara vez",0.141,0.146,0.215,0.247,0.257
"P19","No, nunca he experimentado problemas de congestión o demoras",0.083,0.037,0.059,0.083,0.169
"P20","Sí, siempre me siento seguro/a",0.287,0.164,0.19,0.208,0.231
"P20","Sí, en su mayoría me siento seguro/a",0.147,0.196,0.264,0.245,0.233
"P20","A veces me siento seguro/a, a veces no",0.251,0.242,0.296,0.298,0.263
"P20","No me siento seguro/a la mayoría de las veces",0.198,0.281,0.171,0.175,0.166
"P20","No me siento seguro/a en absoluto",0.117,0.117,0.079,0.074,0.107
"P21","Sí, en más de una ocasión",0.373,0.316,0.238,0.137,0.139
"P21","Sí, en una ocasión",0.17,0.246,0.259,0.253,0.158
"P21","No, nunca he presenciado un incidente de seguridad en el trasporte público",0.338,0.366,0.444,0.486,0.584
"P21","Prefiero no responder",0.119,0.072,0.059,0.124,0.119
"P22","Sí, en más de una ocasión",0.288,0.224,0.14,0.067,0.077
"P22","Sí, en una ocasión",0.174,0.293,0.169,0.157,0.103
"P22","No, nunca he sido víctima de un incidente de seguridad en el trasporte público",0.444,0.417,0.627,0.687,0.706
"P22","Prefiero no responder",0.094,0.066,0.064,0.089,0.114
