"var","categoria","Sí, en más de una ocasión","Sí, en una ocasión","No, nunca he sido víctima de un incidente de seguridad en el trasporte público","Prefiero no responder"
"P04","Gran excedente habitual",0.009,0.001,0.009,0.007
"P04","Gran excedente excepcional",0.002,0.001,0.002,0.006
"P04","Pequeño excedente habitual",0.007,0.029,0.071,0.047
"P04","Pequeño excedente excepcional",0.011,0.029,0.071,0.081
"P04","Alcanza gastos familia",0.037,0.096,0.161,0.12
"P04","No alcanza gastos familia",0.172,0.183,0.15,0.174
"P04","Solo NBFamiliares",0.216,0.318,0.252,0.269
"P04","No alcanza NBFamiliares",0.531,0.335,0.264,0.279
"P04","No sabe",0.015,0.008,0.02,0.017
"P05","Todos los días",0.387,0.315,0.203,0.278
"P05","Hasta 5 veces por semana",0.198,0.191,0.136,0.083
"P05","Entre 4 y 1 vez por semana",0.127,0.184,0.18,0.138
"P05","Ocasionalmente/ A veces",0.125,0.211,0.281,0.234
"P05","Nunca",0.163,0.099,0.2,0.267
"P06","Colectivo",0.64,0.699,0.606,0.552
"P06","Subte",0.088,0.082,0.087,0.065
"P06","Tren",0.095,0.076,0.077,0.083
"P06","Premetro",0.019,0.025,0.033,0.034
"P06","Taxi",0.08,0.061,0.095,0.147
"P06","Aplicaciones como Uber, Cabify, Didi o similares",0.078,0.057,0.102,0.119
"P07","Todos los días",0.437,0.238,0.151,0.208
"P07","Hasta 5 veces por semana",0.133,0.157,0.056,0.058
"P07","Entre 4 y 1 vez por semana",0.114,0.124,0.115,0.077
"P07","Ocasionalmente/ A veces",0.112,0.235,0.258,0.218
"P07","Nunca",0.204,0.246,0.42,0.439
"P08","Menos de 30 minutos por día",0.351,0.274,0.478,0.471
"P08","Entre 30 minutos y 1 hora por día",0.234,0.3,0.276,0.234
"P08","Entre 1 y 2 horas por día",0.215,0.235,0.137,0.128
"P08","Más de 2 horas por día",0.2,0.191,0.109,0.167
"P09","Todos los días",0.19,0.068,0.063,0.053
"P09","Hasta 5 veces por semana",0.089,0.072,0.041,0.048
"P09","Entre 4 y 1 vez por semana",0.09,0.052,0.062,0.067
"P09","Ocasionalmente/ A veces",0.161,0.301,0.261,0.246
"P09","Nunca",0.47,0.507,0.573,0.586
"P10","Todos los días",0.18,0.033,0.026,0.01
"P10","Hasta 5 veces por semana",0.044,0.021,0.017,0.03
"P10","Entre 4 y 1 vez por semana",0.066,0.05,0.042,0.03
"P10","Ocasionalmente/ A veces",0.252,0.391,0.328,0.374
"P10","Nunca",0.039,0.083,0.09,0.126
"P10","No existen esos servicios donde vivo",0.419,0.422,0.497,0.43
"P11","Taxis tradicionales",0.26,0.169,0.212,0.109
"P11","Aplicaciones de transporte",0.305,0.355,0.317,0.315
"P11","No tengo preferencia por ninguna",0.207,0.282,0.301,0.355
"P11","No existen servicios de aplicaciones donde vivo",0.228,0.194,0.17,0.221
"P12","Más de 5000 pesos mensuales",0.559,0.398,0.243,0.31
"P12","Entre 5000 y 2500 pesos mensuales",0.22,0.348,0.243,0.28
"P12","Menos de 2500 pesos mensuales",0.221,0.254,0.514,0.41
"P13","Muy caro",0.528,0.352,0.271,0.319
"P13","Caro",0.183,0.3,0.22,0.169
"P13","Ni caro ni barato",0.168,0.259,0.334,0.324
"P13","Barato",0.036,0.04,0.068,0.044
"P13","Muy barato",0.038,0.023,0.04,0.019
"P13","No sabe",0.047,0.026,0.067,0.125
"P14","Sí, han aumentado significativamente",0.684,0.512,0.386,0.442
"P14","Sí, han aumentado ligeramente",0.173,0.282,0.291,0.22
"P14","No, se han mantenido iguales",0.07,0.143,0.156,0.118
"P14","No sabe",0.073,0.063,0.167,0.22
"P15","Muy buena",0.196,0.143,0.115,0.084
"P15","Buena",0.113,0.208,0.245,0.162
"P15","Ni buena ni mala",0.215,0.274,0.33,0.34
"P15","Mala",0.215,0.228,0.208,0.266
"P15","Muy mala",0.261,0.147,0.102,0.148
"P16","Falta de mantenimiento de estaciones y vehículos",0.408,0.221,0.183,0.174
"P16","Insuficiente cantidad de paradas/estaciones",0.086,0.087,0.083,0.062
"P16","Escasez de señalización",0.057,0.079,0.082,0.086
"P16","Insuficiencia en los horarios",0.232,0.361,0.352,0.274
"P16","Malas conexiones entre medios de transporte",0.075,0.066,0.054,0.082
"P16","Falta de seguridad de estaciones y vehículos",0.071,0.083,0.053,0.085
"P16","Mala accesibilidad para personas con movilidad reducida",0.025,0.045,0.053,0.061
"P16","No sabe",0.046,0.058,0.14,0.176
"P17","WiFi gratuito en estaciones y vehículos",0.436,0.246,0.242,0.211
"P17","Cargadores USB en los vehículos",0.074,0.103,0.075,0.056
"P17","Pantallas de información en tiempo real en estaciones y vehículos",0.114,0.236,0.244,0.209
"P17","Buenas instalaciones de espera y descanso en las estaciones",0.376,0.415,0.439,0.524
"P18","Muy buena",0.141,0.066,0.079,0.061
"P18","Buena",0.074,0.172,0.217,0.091
"P18","Ni buena ni mala",0.283,0.351,0.462,0.42
"P18","Mala",0.226,0.287,0.171,0.257
"P18","Muy mala",0.276,0.124,0.071,0.171
"P19","Sí, con frecuencia",0.637,0.502,0.314,0.384
"P19","Sí, ocasionalmente",0.13,0.325,0.32,0.227
"P19","No, rara vez",0.162,0.124,0.253,0.203
"P19","No, nunca he experimentado problemas de congestión o demoras",0.071,0.049,0.113,0.186
"P20","Sí, siempre me siento seguro/a",0.239,0.134,0.267,0.126
"P20","Sí, en su mayoría me siento seguro/a",0.079,0.171,0.279,0.095
"P20","A veces me siento seguro/a, a veces no",0.151,0.319,0.28,0.28
"P20","No me siento seguro/a la mayoría de las veces",0.265,0.278,0.131,0.308
"P20","No me siento seguro/a en absoluto",0.266,0.098,0.043,0.191
"P21","Sí, en más de una ocasión",0.756,0.318,0.08,0.123
"P21","Sí, en una ocasión",0.074,0.469,0.16,0.193
"P21","No, nunca he presenciado un incidente de seguridad en el trasporte público",0.068,0.107,0.703,0.224
"P21","Prefiero no responder",0.102,0.106,0.057,0.46
