"var","categoria","Falta de mantenimiento de estaciones y vehículos","Insuficiente cantidad de paradas/estaciones","Escasez de señalización","Insuficiencia en los horarios","Malas conexiones entre medios de transporte","Falta de seguridad de estaciones y vehículos","Mala accesibilidad para personas con movilidad reducida","No sabe"
"P04","Gran excedente habitual",0.007,0.009,0.001,0.007,0.021,0.009,0.018,0.01
"P04","Gran excedente excepcional",0.003,0.007,0,0.002,0.005,0.006,0.004,0.002
"P04","Pequeño excedente habitual",0.037,0.045,0.046,0.061,0.027,0.043,0.044,0.086
"P04","Pequeño excedente excepcional",0.042,0.047,0.096,0.049,0.085,0.042,0.072,0.079
"P04","Alcanza gastos familia",0.091,0.109,0.128,0.127,0.131,0.111,0.202,0.181
"P04","No alcanza gastos familia",0.146,0.134,0.162,0.175,0.159,0.232,0.12,0.122
"P04","Solo NBFamiliares",0.227,0.307,0.206,0.298,0.296,0.235,0.241,0.226
"P04","No alcanza NBFamiliares",0.43,0.331,0.339,0.275,0.251,0.277,0.274,0.247
"P04","No sabe",0.017,0.011,0.022,0.006,0.025,0.045,0.025,0.047
"P05","Todos los días",0.342,0.235,0.227,0.265,0.228,0.219,0.156,0.126
"P05","Hasta 5 veces por semana",0.147,0.192,0.18,0.17,0.127,0.149,0.127,0.083
"P05","Entre 4 y 1 vez por semana",0.13,0.157,0.205,0.16,0.165,0.196,0.188,0.148
"P05","Ocasionalmente/ A veces",0.193,0.238,0.239,0.265,0.235,0.238,0.248,0.262
"P05","Nunca",0.188,0.178,0.149,0.14,0.245,0.198,0.281,0.381
"P06","Colectivo",0.621,0.646,0.591,0.682,0.521,0.561,0.522,0.496
"P06","Subte",0.075,0.086,0.11,0.062,0.117,0.093,0.126,0.08
"P06","Tren",0.098,0.059,0.062,0.08,0.118,0.124,0.029,0.075
"P06","Premetro",0.017,0.041,0.074,0.028,0.017,0.031,0.014,0.021
"P06","Taxi",0.108,0.113,0.095,0.063,0.075,0.086,0.148,0.194
"P06","Aplicaciones como Uber, Cabify, Didi o similares",0.081,0.055,0.068,0.085,0.152,0.105,0.161,0.134
"P07","Todos los días",0.294,0.253,0.265,0.184,0.222,0.18,0.145,0.107
"P07","Hasta 5 veces por semana",0.104,0.11,0.088,0.079,0.07,0.071,0.074,0.046
"P07","Entre 4 y 1 vez por semana",0.096,0.129,0.109,0.12,0.123,0.149,0.125,0.071
"P07","Ocasionalmente/ A veces",0.19,0.213,0.231,0.241,0.228,0.273,0.21,0.215
"P07","Nunca",0.316,0.295,0.307,0.376,0.357,0.327,0.446,0.561
"P08","Menos de 30 minutos por día",0.4,0.424,0.429,0.374,0.457,0.446,0.549,0.578
"P08","Entre 30 minutos y 1 hora por día",0.287,0.317,0.235,0.301,0.169,0.209,0.229,0.212
"P08","Entre 1 y 2 horas por día",0.173,0.118,0.159,0.178,0.244,0.221,0.122,0.085
"P08","Más de 2 horas por día",0.14,0.141,0.177,0.147,0.13,0.124,0.1,0.125
"P09","Todos los días",0.092,0.096,0.13,0.049,0.065,0.089,0.109,0.079
"P09","Hasta 5 veces por semana",0.074,0.107,0.05,0.037,0.034,0.049,0.033,0.028
"P09","Entre 4 y 1 vez por semana",0.085,0.081,0.082,0.049,0.076,0.07,0.045,0.04
"P09","Ocasionalmente/ A veces",0.234,0.335,0.268,0.25,0.254,0.215,0.266,0.251
"P09","Nunca",0.515,0.381,0.47,0.615,0.571,0.577,0.547,0.602
"P10","Todos los días",0.089,0.072,0.037,0.027,0.016,0.061,0.056,0.031
"P10","Hasta 5 veces por semana",0.03,0.042,0.035,0.013,0.013,0.015,0.069,0.005
"P10","Entre 4 y 1 vez por semana",0.054,0.057,0.05,0.046,0.044,0.044,0.012,0.029
"P10","Ocasionalmente/ A veces",0.306,0.329,0.347,0.332,0.373,0.328,0.342,0.29
"P10","Nunca",0.053,0.055,0.042,0.101,0.094,0.123,0.128,0.125
"P10","No existen esos servicios donde vivo",0.468,0.445,0.489,0.481,0.46,0.429,0.393,0.52
"P11","Taxis tradicionales",0.221,0.33,0.193,0.192,0.204,0.15,0.216,0.197
"P11","Aplicaciones de transporte",0.355,0.231,0.332,0.341,0.269,0.346,0.322,0.204
"P11","No tengo preferencia por ninguna",0.26,0.302,0.264,0.304,0.321,0.341,0.286,0.296
"P11","No existen servicios de aplicaciones donde vivo",0.164,0.137,0.211,0.163,0.206,0.163,0.176,0.303
"P12","Más de 5000 pesos mensuales",0.433,0.361,0.282,0.303,0.309,0.292,0.307,0.179
"P12","Entre 5000 y 2500 pesos mensuales",0.25,0.256,0.271,0.28,0.23,0.272,0.201,0.173
"P12","Menos de 2500 pesos mensuales",0.317,0.383,0.447,0.417,0.461,0.436,0.492,0.648
"P13","Muy caro",0.451,0.353,0.28,0.331,0.312,0.283,0.364,0.166
"P13","Caro",0.218,0.281,0.227,0.242,0.212,0.216,0.201,0.128
"P13","Ni caro ni barato",0.237,0.264,0.324,0.311,0.339,0.282,0.213,0.365
"P13","Barato",0.048,0.048,0.061,0.054,0.045,0.058,0.062,0.074
"P13","Muy barato",0.021,0.034,0.052,0.025,0.039,0.073,0.031,0.049
"P13","No sabe",0.025,0.02,0.056,0.037,0.053,0.088,0.129,0.218
"P14","Sí, han aumentado significativamente",0.641,0.39,0.381,0.462,0.473,0.492,0.388,0.206
"P14","Sí, han aumentado ligeramente",0.189,0.36,0.234,0.283,0.25,0.237,0.241,0.254
"P14","No, se han mantenido iguales",0.094,0.155,0.258,0.141,0.137,0.103,0.104,0.157
"P14","No sabe",0.076,0.095,0.127,0.114,0.14,0.168,0.267,0.383
"P15","Muy buena",0.187,0.103,0.115,0.069,0.069,0.16,0.102,0.19
"P15","Buena",0.125,0.491,0.144,0.173,0.177,0.247,0.279,0.258
"P15","Ni buena ni mala",0.259,0.222,0.615,0.296,0.206,0.271,0.327,0.343
"P15","Mala",0.273,0.142,0.079,0.312,0.205,0.173,0.163,0.116
"P15","Muy mala",0.156,0.042,0.047,0.15,0.343,0.149,0.129,0.093
"P17","WiFi gratuito en estaciones y vehículos",0.425,0.36,0.255,0.199,0.188,0.174,0.223,0.259
"P17","Cargadores USB en los vehículos",0.072,0.243,0.056,0.064,0.056,0.08,0.095,0.097
"P17","Pantallas de información en tiempo real en estaciones y vehículos",0.142,0.124,0.279,0.259,0.21,0.288,0.195,0.228
"P17","Buenas instalaciones de espera y descanso en las estaciones",0.361,0.273,0.41,0.478,0.546,0.458,0.487,0.416
"P18","Muy buena",0.137,0.068,0.108,0.04,0.023,0.041,0.093,0.168
"P18","Buena",0.147,0.288,0.212,0.137,0.125,0.171,0.197,0.25
"P18","Ni buena ni mala",0.336,0.453,0.442,0.461,0.322,0.487,0.403,0.406
"P18","Mala",0.232,0.15,0.192,0.237,0.315,0.167,0.216,0.089
"P18","Muy mala",0.148,0.041,0.046,0.125,0.215,0.134,0.091,0.087
"P19","Sí, con frecuencia",0.499,0.35,0.301,0.441,0.498,0.387,0.302,0.152
"P19","Sí, ocasionalmente",0.248,0.302,0.367,0.29,0.226,0.309,0.339,0.237
"P19","No, rara vez",0.174,0.28,0.227,0.194,0.14,0.224,0.247,0.333
"P19","No, nunca he experimentado problemas de congestión o demoras",0.079,0.068,0.105,0.075,0.136,0.08,0.112,0.278
"P20","Sí, siempre me siento seguro/a",0.259,0.217,0.275,0.175,0.201,0.132,0.195,0.366
"P20","Sí, en su mayoría me siento seguro/a",0.163,0.316,0.237,0.26,0.163,0.111,0.236,0.207
"P20","A veces me siento seguro/a, a veces no",0.26,0.258,0.248,0.291,0.266,0.27,0.326,0.235
"P20","No me siento seguro/a la mayoría de las veces",0.208,0.137,0.199,0.2,0.197,0.231,0.131,0.114
"P20","No me siento seguro/a en absoluto",0.11,0.072,0.041,0.074,0.173,0.256,0.112,0.078
"P21","Sí, en más de una ocasión",0.328,0.179,0.225,0.169,0.256,0.308,0.135,0.102
"P21","Sí, en una ocasión",0.195,0.253,0.194,0.228,0.183,0.213,0.222,0.104
"P21","No, nunca he presenciado un incidente de seguridad en el trasporte público",0.398,0.478,0.456,0.503,0.415,0.327,0.538,0.642
"P21","Prefiero no responder",0.079,0.09,0.125,0.1,0.146,0.152,0.105,0.152
"P22","Sí, en más de una ocasión",0.257,0.145,0.1,0.097,0.168,0.156,0.072,0.054
