"var","categoria","Sí, siempre me siento seguro/a","Sí, en su mayoría me siento seguro/a","A veces me siento seguro/a, a veces no","No me siento seguro/a la mayoría de las veces","No me siento seguro/a en absoluto"
"P04","Gran excedente habitual",0.012,0.012,0.008,0.001,0.014
"P04","Gran excedente excepcional",0.001,0.004,0.003,0.005,0.001
"P04","Pequeño excedente habitual",0.092,0.048,0.041,0.038,0.034
"P04","Pequeño excedente excepcional",0.071,0.078,0.056,0.041,0.024
"P04","Alcanza gastos familia",0.146,0.173,0.135,0.082,0.071
"P04","No alcanza gastos familia",0.137,0.151,0.163,0.208,0.149
"P04","Solo NBFamiliares",0.201,0.301,0.269,0.245,0.262
"P04","No alcanza NBFamiliares",0.317,0.224,0.303,0.366,0.424
"P04","No sabe",0.023,0.009,0.022,0.014,0.021
"P05","Todos los días",0.264,0.189,0.277,0.263,0.266
"P05","Hasta 5 veces por semana",0.15,0.164,0.125,0.168,0.139
"P05","Entre 4 y 1 vez por semana",0.16,0.209,0.168,0.145,0.124
"P05","Ocasionalmente/ A veces",0.212,0.294,0.263,0.23,0.173
"P05","Nunca",0.214,0.144,0.167,0.194,0.298
"P06","Colectivo",0.631,0.643,0.622,0.612,0.518
"P06","Subte",0.075,0.095,0.083,0.084,0.081
"P06","Tren",0.077,0.082,0.092,0.075,0.101
"P06","Premetro",0.024,0.032,0.027,0.038,0.022
"P06","Taxi",0.112,0.086,0.084,0.088,0.089
"P06","Aplicaciones como Uber, Cabify, Didi o similares",0.081,0.062,0.092,0.103,0.189
"P07","Todos los días",0.263,0.14,0.193,0.223,0.246
"P07","Hasta 5 veces por semana",0.059,0.073,0.073,0.124,0.096
"P07","Entre 4 y 1 vez por semana",0.094,0.136,0.123,0.104,0.09
"P07","Ocasionalmente/ A veces",0.212,0.26,0.256,0.22,0.173
"P07","Nunca",0.372,0.391,0.355,0.329,0.395
"P08","Menos de 30 minutos por día",0.485,0.437,0.422,0.381,0.397
"P08","Entre 30 minutos y 1 hora por día",0.245,0.296,0.286,0.28,0.155
"P08","Entre 1 y 2 horas por día",0.149,0.159,0.171,0.194,0.152
"P08","Más de 2 horas por día",0.121,0.108,0.121,0.145,0.296
"P09","Todos los días",0.128,0.06,0.063,0.047,0.11
"P09","Hasta 5 veces por semana",0.051,0.05,0.052,0.068,0.02
"P09","Entre 4 y 1 vez por semana",0.087,0.059,0.053,0.064,0.044
"P09","Ocasionalmente/ A veces",0.237,0.307,0.273,0.213,0.168
"P09","Nunca",0.497,0.524,0.559,0.608,0.658
"P10","Todos los días",0.09,0.02,0.032,0.026,0.108
"P10","Hasta 5 veces por semana",0.029,0.026,0.019,0.023,0.015
"P10","Entre 4 y 1 vez por semana",0.043,0.05,0.052,0.04,0.028
"P10","Ocasionalmente/ A veces",0.257,0.354,0.389,0.317,0.258
"P10","Nunca",0.058,0.097,0.091,0.093,0.113
"P10","No existen esos servicios donde vivo",0.523,0.453,0.417,0.501,0.478
"P11","Taxis tradicionales",0.295,0.244,0.171,0.131,0.117
"P11","Aplicaciones de transporte",0.279,0.293,0.369,0.333,0.328
"P11","No tengo preferencia por ninguna",0.239,0.302,0.285,0.335,0.324
"P11","No existen servicios de aplicaciones donde vivo",0.187,0.161,0.175,0.201,0.231
"P12","Más de 5000 pesos mensuales",0.333,0.245,0.279,0.352,0.481
"P12","Entre 5000 y 2500 pesos mensuales",0.227,0.271,0.297,0.255,0.149
"P12","Menos de 2500 pesos mensuales",0.44,0.484,0.424,0.393,0.37
"P13","Muy caro",0.327,0.226,0.298,0.41,0.484
"P13","Caro",0.165,0.286,0.245,0.23,0.145
"P13","Ni caro ni barato",0.315,0.339,0.319,0.236,0.171
"P13","Barato",0.069,0.075,0.054,0.032,0.042
"P13","Muy barato",0.051,0.034,0.027,0.02,0.055
"P13","No sabe",0.073,0.04,0.057,0.072,0.103
"P14","Sí, han aumentado significativamente",0.407,0.375,0.429,0.554,0.573
"P14","Sí, han aumentado ligeramente",0.261,0.346,0.278,0.213,0.164
"P14","No, se han mantenido iguales",0.184,0.151,0.138,0.1,0.078
"P14","No sabe",0.148,0.128,0.155,0.133,0.185
"P15","Muy buena",0.251,0.09,0.095,0.076,0.096
"P15","Buena",0.237,0.33,0.204,0.124,0.061
"P15","Ni buena ni mala",0.279,0.322,0.36,0.302,0.173
"P15","Mala",0.155,0.205,0.248,0.307,0.211
"P15","Muy mala",0.078,0.053,0.093,0.191,0.459
"P16","Falta de mantenimiento de estaciones y vehículos",0.251,0.164,0.212,0.249,0.244
"P16","Insuficiente cantidad de paradas/estaciones",0.077,0.117,0.077,0.06,0.059
"P16","Escasez de señalización",0.092,0.083,0.07,0.082,0.031
"P16","Insuficiencia en los horarios",0.253,0.39,0.353,0.355,0.244
"P16","Malas conexiones entre medios de transporte",0.056,0.047,0.062,0.067,0.11
"P16","Falta de seguridad de estaciones y vehículos",0.036,0.032,0.062,0.078,0.161
"P16","Mala accesibilidad para personas con movilidad reducida",0.044,0.055,0.061,0.036,0.058
"P16","No sabe",0.191,0.112,0.103,0.073,0.093
"P17","WiFi gratuito en estaciones y vehículos",0.337,0.282,0.257,0.221,0.244
"P17","Cargadores USB en los vehículos",0.079,0.079,0.087,0.075,0.074
"P17","Pantallas de información en tiempo real en estaciones y vehículos",0.18,0.287,0.225,0.196,0.183
"P17","Buenas instalaciones de espera y descanso en las estaciones",0.404,0.352,0.431,0.508,0.499
"P18","Muy buena",0.202,0.074,0.045,0.036,0.057
"P18","Buena",0.257,0.274,0.158,0.078,0.031
"P18","Ni buena ni mala",0.313,0.482,0.518,0.379,0.283
"P18","Mala",0.149,0.142,0.21,0.338,0.189
"P18","Muy mala",0.079,0.028,0.069,0.169,0.44
"P19","Sí, con frecuencia",0.426,0.226,0.357,0.487,0.625
"P19","Sí, ocasionalmente",0.209,0.486,0.276,0.226,0.133
"P19","No, rara vez",0.209,0.222,0.299,0.153,0.107
"P19","No, nunca he experimentado problemas de congestión o demoras",0.156,0.066,0.068,0.134,0.135
"P21","Sí, en más de una ocasión",0.264,0.073,0.129,0.302,0.469
"P21","Sí, en una ocasión",0.095,0.259,0.241,0.245,0.13
"P21","No, nunca he presenciado un incidente de seguridad en el trasporte público",0.589,0.61,0.537,0.233,0.209
"P21","Prefiero no responder",0.052,0.058,0.093,0.22,0.192
"P22","Sí, en más de una ocasión",0.144,0.05,0.078,0.194,0.382
"P22","Sí, en una ocasión",0.089,0.121,0.182,0.226,0.155
"P22","No, nunca he sido víctima de un incidente de seguridad en el trasporte público",0.715,0.788,0.641,0.426,0.275
"P22","Prefiero no responder",0.052,0.041,0.099,0.154,0.188
