"var","categoria","Sí, han aumentado significativamente","Sí, han aumentado ligeramente","No, se han mantenido iguales","No sabe"
"P04","Gran excedente habitual",0.005,0.008,0.013,0.014
"P04","Gran excedente excepcional",0.003,0.005,0.002,0.003
"P04","Pequeño excedente habitual",0.036,0.052,0.066,0.091
"P04","Pequeño excedente excepcional",0.025,0.066,0.092,0.116
"P04","Alcanza gastos familia",0.093,0.153,0.159,0.146
"P04","No alcanza gastos familia",0.158,0.17,0.131,0.153
"P04","Solo NBFamiliares",0.263,0.275,0.262,0.246
"P04","No alcanza NBFamiliares",0.402,0.251,0.264,0.186
"P04","No sabe",0.015,0.02,0.011,0.045
"P05","Todos los días",0.33,0.23,0.191,0.079
"P05","Hasta 5 veces por semana",0.155,0.179,0.175,0.056
"P05","Entre 4 y 1 vez por semana",0.156,0.205,0.172,0.092
"P05","Ocasionalmente/ A veces",0.201,0.259,0.29,0.261
"P05","Nunca",0.158,0.127,0.172,0.512
"P06","Colectivo",0.663,0.619,0.633,0.403
"P06","Subte",0.075,0.113,0.063,0.066
"P06","Tren",0.076,0.095,0.076,0.078
"P06","Premetro",0.021,0.027,0.053,0.035
"P06","Taxi",0.09,0.067,0.1,0.205
"P06","Aplicaciones como Uber, Cabify, Didi o similares",0.075,0.079,0.075,0.213
"P07","Todos los días",0.292,0.167,0.192,0.083
"P07","Hasta 5 veces por semana",0.105,0.092,0.052,0.029
"P07","Entre 4 y 1 vez por semana",0.107,0.145,0.095,0.067
"P07","Ocasionalmente/ A veces",0.202,0.264,0.215,0.185
"P07","Nunca",0.294,0.332,0.446,0.636
"P08","Menos de 30 minutos por día",0.367,0.41,0.437,0.666
"P08","Entre 30 minutos y 1 hora por día",0.288,0.265,0.312,0.143
"P08","Entre 1 y 2 horas por día",0.184,0.188,0.119,0.081
"P08","Más de 2 horas por día",0.161,0.137,0.132,0.11
"P09","Todos los días",0.089,0.065,0.078,0.077
"P09","Hasta 5 veces por semana",0.061,0.049,0.061,0.016
"P09","Entre 4 y 1 vez por semana",0.076,0.059,0.086,0.045
"P09","Ocasionalmente/ A veces",0.242,0.285,0.264,0.208
"P09","Nunca",0.532,0.542,0.511,0.654
"P10","Todos los días",0.066,0.035,0.021,0.034
"P10","Hasta 5 veces por semana",0.032,0.024,0.032,0.007
"P10","Entre 4 y 1 vez por semana",0.049,0.059,0.064,0.01
"P10","Ocasionalmente/ A veces",0.322,0.367,0.321,0.254
"P10","Nunca",0.073,0.105,0.062,0.13
"P10","No existen esos servicios donde vivo",0.458,0.41,0.5,0.565
"P11","Taxis tradicionales",0.208,0.204,0.254,0.156
"P11","Aplicaciones de transporte",0.335,0.322,0.33,0.221
"P11","No tengo preferencia por ninguna",0.298,0.298,0.251,0.329
"P11","No existen servicios de aplicaciones donde vivo",0.159,0.176,0.165,0.294
"P12","Más de 5000 pesos mensuales",0.428,0.256,0.247,0.155
"P12","Entre 5000 y 2500 pesos mensuales",0.249,0.324,0.279,0.12
"P12","Menos de 2500 pesos mensuales",0.323,0.42,0.474,0.725
"P13","Muy caro",0.513,0.184,0.199,0.156
"P13","Caro",0.219,0.288,0.162,0.142
"P13","Ni caro ni barato",0.199,0.353,0.49,0.295
"P13","Barato",0.025,0.091,0.074,0.067
"P13","Muy barato",0.013,0.04,0.061,0.075
"P13","No sabe",0.031,0.044,0.014,0.265
"P15","Muy buena",0.169,0.074,0.135,0.088
"P15","Buena",0.159,0.319,0.205,0.171
"P15","Ni buena ni mala",0.249,0.339,0.43,0.327
"P15","Mala",0.24,0.194,0.146,0.271
"P15","Muy mala",0.183,0.074,0.084,0.143
"P16","Falta de mantenimiento de estaciones y vehículos",0.31,0.164,0.15,0.109
"P16","Insuficiente cantidad de paradas/estaciones",0.067,0.111,0.087,0.048
"P16","Escasez de señalización",0.066,0.073,0.147,0.065
"P16","Insuficiencia en los horarios",0.319,0.351,0.32,0.234
"P16","Malas conexiones entre medios de transporte",0.063,0.06,0.06,0.055
"P16","Falta de seguridad de estaciones y vehículos",0.073,0.063,0.05,0.074
"P16","Mala accesibilidad para personas con movilidad reducida",0.043,0.048,0.038,0.089
"P16","No sabe",0.059,0.13,0.148,0.326
"P17","WiFi gratuito en estaciones y vehículos",0.301,0.25,0.229,0.264
"P17","Cargadores USB en los vehículos",0.079,0.084,0.092,0.104
"P17","Pantallas de información en tiempo real en estaciones y vehículos",0.191,0.262,0.221,0.207
"P17","Buenas instalaciones de espera y descanso en las estaciones",0.429,0.404,0.458,0.425
"P18","Muy buena",0.078,0.062,0.15,0.096
"P18","Buena",0.147,0.232,0.195,0.147
"P18","Ni buena ni mala",0.359,0.454,0.401,0.527
"P18","Mala",0.246,0.196,0.189,0.121
"P18","Muy mala",0.17,0.056,0.065,0.109
"P19","Sí, con frecuencia",0.538,0.304,0.265,0.236
"P19","Sí, ocasionalmente",0.241,0.361,0.304,0.237
"P19","No, rara vez",0.152,0.249,0.28,0.299
"P19","No, nunca he experimentado problemas de congestión o demoras",0.069,0.086,0.151,0.228
"P20","Sí, siempre me siento seguro/a",0.206,0.224,0.302,0.23
"P20","Sí, en su mayoría me siento seguro/a",0.182,0.284,0.239,0.191
"P20","A veces me siento seguro/a, a veces no",0.258,0.283,0.27,0.286
"P20","No me siento seguro/a la mayoría de las veces",0.228,0.148,0.133,0.168
"P20","No me siento seguro/a en absoluto",0.126,0.061,0.056,0.125
"P21","Sí, en más de una ocasión",0.297,0.161,0.136,0.126
"P21","Sí, en una ocasión",0.213,0.218,0.221,0.116
"P21","No, nunca he presenciado un incidente de seguridad en el trasporte público",0.384,0.532,0.543,0.595
"P21","Prefiero no responder",0.106,0.089,0.1,0.163
"P22","Sí, en más de una ocasión",0.209,0.089,0.07,0.07
"P22","Sí, en una ocasión",0.174,0.162,0.159,0.068
"P22","No, nunca he sido víctima de un incidente de seguridad en el trasporte público",0.525,0.671,0.691,0.717
"P22","Prefiero no responder",0.092,0.078,0.08,0.145
