"var","categoria","Todos los días","Hasta 5 veces por semana","Entre 4 y 1 vez por semana","Ocasionalmente/ A veces","Nunca"
"P04","Gran excedente habitual",0.006,0.005,0.007,0.003,0.019
"P04","Gran excedente excepcional",0.003,0.001,0.006,0.002,0.007
"P04","Pequeño excedente habitual",0.032,0.026,0.027,0.044,0.089
"P04","Pequeño excedente excepcional",0.02,0.029,0.039,0.055,0.108
"P04","Alcanza gastos familia",0.064,0.052,0.107,0.209,0.168
"P04","No alcanza gastos familia",0.147,0.151,0.23,0.142,0.162
"P04","Solo NBFamiliares",0.182,0.392,0.263,0.28,0.216
"P04","No alcanza NBFamiliares",0.522,0.322,0.293,0.243,0.215
"P04","No sabe",0.024,0.022,0.028,0.022,0.016
"P06","Colectivo",0.854,0.701,0.657,0.611,0.238
"P06","Subte",0.05,0.187,0.078,0.082,0.04
"P06","Tren",0.058,0.079,0.178,0.064,0.024
"P06","Premetro",0.003,0.008,0.007,0.09,0.015
"P06","Taxi",0.014,0.008,0.028,0.069,0.328
"P06","Aplicaciones como Uber, Cabify, Didi o similares",0.021,0.017,0.052,0.084,0.355
"P07","Todos los días",0.507,0.199,0.147,0.107,0.078
"P07","Hasta 5 veces por semana",0.109,0.236,0.051,0.026,0.02
"P07","Entre 4 y 1 vez por semana",0.088,0.158,0.247,0.057,0.018
"P07","Ocasionalmente/ A veces",0.106,0.19,0.261,0.376,0.084
"P07","Nunca",0.19,0.217,0.294,0.434,0.8
"P08","Menos de 30 minutos por día",0.25,0.223,0.345,0.566,0.726
"P08","Entre 30 minutos y 1 hora por día",0.327,0.444,0.315,0.2,0.08
"P08","Entre 1 y 2 horas por día",0.23,0.21,0.232,0.098,0.04
"P08","Más de 2 horas por día",0.193,0.123,0.108,0.136,0.154
"P09","Todos los días",0.094,0.062,0.058,0.067,0.118
"P09","Hasta 5 veces por semana",0.068,0.071,0.059,0.029,0.025
"P09","Entre 4 y 1 vez por semana",0.067,0.09,0.111,0.046,0.034
"P09","Ocasionalmente/ A veces",0.218,0.217,0.248,0.292,0.203
"P09","Nunca",0.553,0.56,0.524,0.566,0.62
"P10","Todos los días",0.088,0.033,0.039,0.026,0.048
"P10","Hasta 5 veces por semana",0.029,0.034,0.033,0.016,0.017
"P10","Entre 4 y 1 vez por semana",0.067,0.06,0.075,0.038,0.024
"P10","Ocasionalmente/ A veces",0.313,0.309,0.352,0.349,0.257
"P10","Nunca",0.08,0.087,0.109,0.103,0.074
"P10","No existen esos servicios donde vivo",0.423,0.477,0.392,0.468,0.58
"P11","Taxis tradicionales",0.191,0.173,0.194,0.243,0.197
"P11","Aplicaciones de transporte",0.326,0.333,0.329,0.277,0.288
"P11","No tengo preferencia por ninguna",0.328,0.3,0.313,0.291,0.245
"P11","No existen servicios de aplicaciones donde vivo",0.155,0.194,0.164,0.189,0.27
"P12","Más de 5000 pesos mensuales",0.528,0.384,0.232,0.193,0.206
"P12","Entre 5000 y 2500 pesos mensuales",0.302,0.345,0.31,0.22,0.113
"P12","Menos de 2500 pesos mensuales",0.17,0.271,0.458,0.587,0.681
"P13","Muy caro",0.459,0.33,0.304,0.259,0.265
"P13","Caro",0.209,0.276,0.233,0.226,0.145
"P13","Ni caro ni barato",0.251,0.268,0.314,0.33,0.315
"P13","Barato",0.037,0.071,0.067,0.072,0.038
"P13","Muy barato",0.017,0.029,0.031,0.049,0.056
"P13","No sabe",0.027,0.026,0.051,0.064,0.181
"P14","Sí, han aumentado significativamente",0.606,0.474,0.44,0.383,0.342
"P14","Sí, han aumentado ligeramente",0.238,0.306,0.325,0.277,0.155
"P14","No, se han mantenido iguales",0.105,0.16,0.144,0.165,0.112
"P14","No sabe",0.051,0.06,0.091,0.175,0.391
"P15","Muy buena",0.146,0.135,0.142,0.117,0.101
"P15","Buena",0.185,0.201,0.245,0.232,0.182
"P15","Ni buena ni mala",0.286,0.302,0.352,0.311,0.305
"P15","Mala",0.236,0.252,0.169,0.224,0.215
"P15","Muy mala",0.147,0.11,0.092,0.116,0.197
"P16","Falta de mantenimiento de estaciones y vehículos",0.304,0.216,0.18,0.176,0.203
"P16","Insuficiente cantidad de paradas/estaciones",0.074,0.1,0.077,0.077,0.068
"P16","Escasez de señalización",0.072,0.094,0.101,0.078,0.058
"P16","Insuficiencia en los horarios",0.336,0.357,0.316,0.348,0.217
"P16","Malas conexiones entre medios de transporte",0.056,0.051,0.063,0.059,0.073
"P16","Falta de seguridad de estaciones y vehículos",0.06,0.067,0.083,0.067,0.066
"P16","Mala accesibilidad para personas con movilidad reducida",0.032,0.043,0.06,0.053,0.07
"P16","No sabe",0.066,0.072,0.12,0.142,0.245
"P17","WiFi gratuito en estaciones y vehículos",0.305,0.286,0.248,0.219,0.307
"P17","Cargadores USB en los vehículos",0.086,0.064,0.083,0.083,0.106
"P17","Pantallas de información en tiempo real en estaciones y vehículos",0.201,0.2,0.253,0.252,0.172
"P17","Buenas instalaciones de espera y descanso en las estaciones",0.408,0.45,0.416,0.446,0.415
"P18","Muy buena",0.083,0.103,0.079,0.068,0.107
"P18","Buena",0.164,0.179,0.21,0.197,0.131
"P18","Ni buena ni mala",0.341,0.389,0.464,0.45,0.443
"P18","Mala",0.259,0.233,0.164,0.197,0.167
"P18","Muy mala",0.153,0.096,0.083,0.088,0.152
"P19","Sí, con frecuencia",0.56,0.478,0.339,0.296,0.284
"P19","Sí, ocasionalmente",0.247,0.306,0.338,0.325,0.203
"P19","No, rara vez",0.131,0.162,0.246,0.276,0.271
"P19","No, nunca he experimentado problemas de congestión o demoras",0.062,0.054,0.077,0.103,0.242
"P20","Sí, siempre me siento seguro/a",0.239,0.23,0.218,0.198,0.255
"P20","Sí, en su mayoría me siento seguro/a",0.164,0.241,0.274,0.264,0.165
"P20","A veces me siento seguro/a, a veces no",0.299,0.227,0.273,0.293,0.237
"P20","No me siento seguro/a la mayoría de las veces",0.193,0.209,0.161,0.175,0.188
"P20","No me siento seguro/a en absoluto",0.105,0.093,0.074,0.07,0.155
"P21","Sí, en más de una ocasión",0.312,0.272,0.172,0.127,0.184
"P21","Sí, en una ocasión",0.209,0.216,0.222,0.225,0.13
"P21","No, nunca he presenciado un incidente de seguridad en el trasporte público",0.383,0.448,0.494,0.522,0.548
"P21","Prefiero no responder",0.096,0.064,0.112,0.126,0.138
"P22","Sí, en más de una ocasión",0.212,0.185,0.104,0.071,0.121
"P22","Sí, en una ocasión",0.191,0.198,0.166,0.132,0.082
"P22","No, nunca he sido víctima de un incidente de seguridad en el trasporte público",0.493,0.564,0.653,0.707,0.661
"P22","Prefiero no responder",0.104,0.053,0.077,0.09,0.136
