"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.41,0.38,0.441
"P04","Realizo changas o trabajos de vez en cuando",0.237,0.194,0.281
"P04","No tengo trabajo",0.17,0.215,0.15
"P04","Soy jubilado o pensionado",0.183,0.211,0.128
"P05","1",0.195,0.406,0.339
"P05","2",0.054,0.069,0.076
"P05","3",0.025,0.092,0.064
"P05","4",0.034,0.083,0.07
"P05","5",0.139,0.184,0.228
"P05","6",0.048,0.029,0.045
"P05","7",0.149,0.038,0.026
"P05","8",0.086,0.022,0.025
"P05","9",0.27,0.077,0.127
"P06","1",0.413,0.145,0.208
"P06","2",0.085,0.036,0.039
"P06","3",0.088,0.038,0.035
"P06","4",0.057,0.041,0.029
"P06","5",0.149,0.153,0.206
"P06","6",0.027,0.054,0.058
"P06","7",0.033,0.085,0.032
"P06","8",0.019,0.106,0.064
"P06","9",0.129,0.342,0.329
"P07","1",0.543,0.194,0.284
"P07","2",0.044,0.045,0.036
"P07","3",0.044,0.038,0.033
"P07","4",0.02,0.029,0.017
"P07","5",0.079,0.132,0.1
"P07","6",0.014,0.044,0.036
"P07","7",0.013,0.063,0.046
"P07","8",0.014,0.049,0.041
"P07","9",0.229,0.406,0.407
"P09","Del Frente de Todos y el peronismo",0.78,0.048,0.097
"P09","De Juntos por el cambio",0.073,0.615,0.18
"P09","De los Liberales libertarios",0.025,0.267,0.452
"P09","De la Izquierda",0.038,0.005,0.051
"P09","No sabe",0.084,0.065,0.22
"P10","A Alberto Fernández",0.163,0.2,0.055
"P10","A Sergio Massa",0.185,0.33,0.446
"P10","A algún candidato del peronismo",0.1,0.335,0.286
"P10","A algún candidato del kirchnerismo",0.552,0.135,0.213
"P11","A Alberto Fernández",0.104,0.213,0.08
"P11","A Sergio Massa",0.096,0.237,0.252
"P11","A algún candidato del peronismo",0.081,0.41,0.45
"P11","A Cristina Fernández de Kirchner",0.719,0.14,0.218
"P12","A Horacio Rodriguez Larreta",0.275,0.177,0.43
"P12","A Mauricio Macri",0.2,0.388,0.127
"P12","A Patricia Bullrich",0.221,0.383,0.209
"P12","A Facundo Manes",0.219,0.03,0.132
"P12","A Gerardo Morales",0.085,0.022,0.102
"P13","Seguro lo votaria",0.109,0.158,0.299
"P13","Quizás lo votaría",0.304,0.417,0.285
"P13","Nunca lo votaría",0.587,0.425,0.416
"P14","Lo votaría",0.051,0.524,0.036
"P14","Puede que lo vote",0.033,0.305,0.201
"P14","Nunca lo votaría",0.867,0.133,0.639
"P14","No sabe",0.049,0.038,0.124
"P15","Lo votaría",0.237,0.054,0.064
"P15","Puede que lo vote",0.446,0.088,0.143
"P15","Nunca lo votaría",0.237,0.829,0.705
"P15","No sabe",0.08,0.029,0.088
"P16","Lo votaría",0.246,0.022,0.042
"P16","Puede que lo vote",0.422,0.027,0.082
"P16","Nunca lo votaría",0.24,0.939,0.779
"P16","No sabe",0.092,0.012,0.097
"P17","La votaría",0.765,0.022,0.053
"P17","Puede que la vote",0.126,0.023,0.07
"P17","Nunca la votaría",0.082,0.948,0.823
"P17","No sabe",0.027,0.007,0.054
"P18","Lo votaría",0.068,0.232,0.121
"P18","Puede que lo vote",0.064,0.394,0.195
"P18","Nunca lo votaría",0.824,0.33,0.569
"P18","No sabe",0.044,0.044,0.115
"P19","Lo votaría",0.037,0.083,0.072
"P19","Puede que lo vote",0.163,0.251,0.205
"P19","Nunca lo votaría",0.671,0.588,0.558
"P19","No sabe",0.129,0.078,0.165
"P20","La votaría",0.048,0.563,0.189
"P20","Puede que la vote",0.038,0.297,0.267
"P20","Nunca la votaría",0.878,0.119,0.426
"P20","No sabe",0.036,0.021,0.118
"P21","Lo votaría",0.043,0.299,0.416
"P21","Puede que lo vote",0.038,0.318,0.208
"P21","Nunca lo votaría",0.881,0.34,0.289
"P21","No sabe",0.038,0.043,0.087
"P22","La votaría",0.029,0.234,0.087
"P22","Puede que la vote",0.042,0.398,0.191
"P22","Nunca la votaría",0.881,0.313,0.559
"P22","No sabe",0.048,0.055,0.163
"P23","Lo votaría",0.165,0.022,0.021
"P23","Puede que lo vote",0.421,0.067,0.098
"P23","Nunca lo votaría",0.341,0.883,0.783
"P23","No sabe",0.073,0.028,0.098
"P24","Lo votaría",0.03,0.047,0.046
"P24","Puede que lo vote",0.096,0.22,0.155
"P24","Nunca lo votaría",0.786,0.661,0.627
"P24","No sabe",0.088,0.072,0.172
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.783,0.018,0.041
"P26","Alberto Fernández por el Frente de Todos",0.074,0.007,0.026
"P26","Mauricio Macri por Juntos por el cambio",0.032,0.313,0.014
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.027,0.117,0.153
"P26","Patricia Bullrich por Juntos por el Cambio",0.015,0.294,0.097
"P26","Facundo Manes por Juntos por el Cambio",0.018,0.036,0.078
"P26","Javier Milei por los liberales libertarios",0.015,0.186,0.414
"P26","Nicolás del Caño por la izquierda",0.011,0.003,0.034
"P26","Aún no lo tengo decidido",0.025,0.026,0.143
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.032,0.18,0.154
"P27","Patricia Bullrich por Juntos por el Cambio",0.028,0.495,0.107
"P27","Facundo Manes por Juntos por el Cambio",0.017,0.041,0.05
"P27","Alberto Fernández por el Frente de Todos",0.252,0.006,0.026
"P27","Sergio Massa por el Frente de Todos",0.44,0.017,0.065
"P27","Javier Milei por los liberales libertarios",0.023,0.215,0.398
"P27","Nicolás del Caño por la izquierda",0.03,0.01,0.05
"P27","Otros candidatos",0.078,0.021,0.058
"P27","Aún no lo tengo decidido",0.1,0.015,0.092
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.846,0.024,0.053
"P28","Mauricio Macri por Juntos por el Cambio",0.035,0.587,0.015
"P28","Javier Milei por los liberales libertarios",0.018,0.272,0.502
"P28","Nicolás del Caño por la izquierda",0.03,0.009,0.042
"P28","Otro candidato",0.027,0.062,0.185
"P28","Aún no lo tengo decidido",0.044,0.046,0.203
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.104,0.44,0.137
"P30","Alberto Fernández por el Frente de Todos",0.508,0.035,0.05
"P30","Javier Milei por los liberales libertarios",0.039,0.344,0.494
"P30","Nicolás del Caño por la izquierda",0.051,0.009,0.045
"P30","Otro candidato",0.146,0.102,0.121
"P30","Aún no lo tengo decidido",0.152,0.07,0.153
"P32","Sergio Massa presidente por el Frente de Todos",0.576,0.031,0.082
"P32","Patricia Bullrich por Juntos por el Cambio",0.063,0.623,0.162
"P32","Javier Milei por los liberales libertarios",0.02,0.234,0.451
"P32","Nicolás del Caño por la izquierda",0.054,0.007,0.042
"P32","Otro candidato",0.144,0.062,0.15
