"var","categoria","Al candidato del Frente de Todos","Al candidato de Juntos por el Cambio","Al candidato de la Izquierda","A otro candidato","No sabe"
"P08","A Gustavo Menéndez por el Frente de Todos",0.575,0.054,0.029,0.112,0.016
"P08","A Raúl Othacehé por el Frente de Todos",0.142,0.175,0,0.182,0.217
"P08","A David Zencich por Juntos por el Cambio",0.127,0.442,0.189,0.002,0.029
"P08","A Pablo Cocuzza por Juntos por el Cambio",0.045,0.209,0.014,0.121,0.013
"P08","Al candidato de Javier Milei por La Libertad Avanza",0.027,0.109,0.272,0.439,0.36
"P08","Al candidato del Frente de Izquierda",0.028,0,0.322,0.06,0.034
"P08","En blanco",0,0.002,0.051,0.039,0.05
"P08","No sabe",0.056,0.009,0.123,0.045,0.281
"P10","A Gustavo Menéndez por el Frente de Todos",0.64,0.141,0.142,0.103,0.091
"P10","A Raúl Othacehé por un partido vecinal",0.08,0.045,0.011,0.111,0.243
"P10","A David Zencich por Juntos por el Cambio",0.078,0.514,0.02,0.138,0.098
"P10","A Pablo Cocuzza por Juntos por el Cambio",0.061,0.175,0.025,0.033,0.071
"P10","Al candidato de Javier Milei por La Libertad Avanza",0.039,0.113,0.316,0.456,0.113
"P10","Al candidato del Frente de Izquierda",0.018,0,0.357,0.054,0
"P10","En blanco",0.002,0.002,0,0.052,0.058
"P10","No sabe",0.082,0.01,0.129,0.053,0.326
"P12","Lo votaría",0.683,0.035,0.139,0.159,0.083
"P12","Puede que lo vote",0.106,0.156,0.026,0.154,0.219
"P12","Nunca lo votaría",0.122,0.769,0.732,0.611,0.4
"P12","No sabe",0.089,0.04,0.103,0.076,0.298
"P13","Lo votaría",0.248,0.195,0.148,0.149,0.299
"P13","Puede que lo vote",0.143,0.142,0.044,0.19,0.052
"P13","Nunca lo votaría",0.51,0.6,0.754,0.624,0.429
"P13","No sabe",0.099,0.063,0.054,0.037,0.22
"P14","Lo votaría",0.047,0.49,0,0.181,0.068
"P14","Puede que lo vote",0.113,0.317,0.068,0.23,0.05
"P14","Nunca lo votaría",0.723,0.136,0.796,0.518,0.437
"P14","No sabe",0.117,0.057,0.136,0.071,0.445
"P15","Lo votaría",0.036,0.353,0.026,0.07,0.023
"P15","Puede que lo vote",0.113,0.416,0.086,0.199,0.104
"P15","Nunca lo votaría",0.684,0.16,0.767,0.626,0.324
"P15","No sabe",0.167,0.071,0.121,0.105,0.549
"P16","Lo votaría",0.293,0.015,0,0.007,0.073
"P16","Puede que lo vote",0.254,0.077,0.065,0.14,0.164
"P16","Nunca lo votaría",0.26,0.846,0.856,0.8,0.528
"P16","No sabe",0.193,0.062,0.079,0.053,0.235
"P17","Lo votaría",0.119,0.057,0.042,0.035,0.064
"P17","Puede que lo vote",0.212,0.071,0.165,0.141,0.05
"P17","Nunca lo votaría",0.384,0.601,0.687,0.731,0.556
"P17","No sabe",0.285,0.271,0.106,0.093,0.33
"P18","Lo votaría",0.055,0.004,0,0.08,0
"P18","Puede que lo vote",0.187,0.073,0.24,0.063,0.04
"P18","Nunca lo votaría",0.429,0.67,0.531,0.674,0.535
"P18","No sabe",0.329,0.253,0.229,0.183,0.425
"P19","Lo votaría",0.05,0.127,0,0.095,0.009
"P19","Puede que lo vote",0.161,0.125,0.264,0.092,0.081
"P19","Nunca lo votaría",0.417,0.484,0.547,0.636,0.587
"P19","No sabe",0.372,0.264,0.189,0.177,0.323
"P20","La seguridad",0.131,0.076,0.03,0.011,0.064
