"var","categoria","Seguro la votaria","Quizás la votaría","Nunca la votaría"
"P06","Al candidato del Frente de Todos",0.854,0.872,0.47
"P06","Al candidato de Juntos por el Cambio",0.067,0.067,0.356
"P06","Al candidato de los liberales - libertarios",0,0.014,0.171
"P06","Al candidato de la Izquierda",0.059,0.007,0.003
"P06","A otro candidato",0.006,0.011,0
"P06","No sabe",0.014,0.029,0
"P07","A Malena Galmarini",0.326,0.443,0.349
"P07","A Julio Zamora",0.494,0.412,0.496
"P07","No sabe",0.18,0.145,0.155
"P08","Muy buena",0.327,0.401,0.26
"P08","Buena",0.302,0.291,0.045
"P08","Ni buena ni mala",0.248,0.141,0.399
"P08","Mala",0.038,0.073,0.012
"P08","Muy mala",0.039,0.071,0.284
"P08","No sabe",0.046,0.023,0
"P09","Muy buena",0.36,0.438,0.25
"P09","Buena",0.352,0.257,0.106
"P09","Ni buena ni mala",0.143,0.026,0.446
"P09","Mala",0.114,0.071,0.185
"P09","Muy mala",0.029,0.185,0.013
"P09","No sabe",0.002,0.023,0
"P10","Muy buena",0.024,0.034,0.398
"P10","Buena",0.095,0.297,0.24
"P10","Ni buena ni mala",0.303,0.385,0.1
"P10","Mala",0.196,0.084,0.158
"P10","Muy mala",0.259,0.133,0.075
"P10","No sabe",0.123,0.067,0.029
"P11","Muy buena",0.023,0.015,0.257
"P11","Buena",0.09,0.227,0.007
"P11","Ni buena ni mala",0.415,0.446,0.232
"P11","Mala",0.062,0.08,0.054
"P11","Muy mala",0.018,0.005,0.02
"P11","No sabe",0.392,0.227,0.43
"P12","Muy buena",0.029,0.033,0.019
"P12","Buena",0.088,0.075,0.176
"P12","Ni buena ni mala",0.363,0.485,0.241
"P12","Mala",0.124,0.12,0.009
"P12","Muy mala",0.127,0.049,0.066
"P12","No sabe",0.269,0.238,0.489
"P13","La seguridad",0.291,0.227,0.083
"P13","El tránsito",0.021,0.067,0.009
"P13","El arreglo de las calles",0.147,0.058,0.357
"P13","El estado de las escuelas y la educación",0.086,0.012,0.125
"P13","El sistema de salud",0.108,0.202,0.113
"P13","El deporte y la cultura",0.153,0.218,0.272
"P13","La obra pública",0.077,0.037,0.012
"P13","La luminaria",0.066,0.026,0.009
"P13","No sabe",0.051,0.153,0.02
"P14","La seguridad",0.172,0.324,0.163
"P14","El tránsito",0.13,0.081,0.029
"P14","El arreglo de las calles",0.17,0.056,0.19
"P14","El estado de las escuelas y la educación",0.245,0.285,0.277
"P14","El sistema de salud",0.132,0.077,0.254
"P14","El deporte y la cultura",0.022,0.005,0
"P14","La obra pública",0.03,0.015,0
"P14","La luminaria",0.011,0.012,0.006
"P14","No sabe",0.088,0.145,0.081
"P15","Agua corriente y cloacas",0.625,0.487,0.64
"P15","Energía eléctrica",0.058,0.116,0.071
"P15","Red de gas natural",0.037,0.022,0
"P15","Recolección de residuos",0.089,0.073,0.086
"P15","Ninguno",0.191,0.302,0.203
"P16","Los robos",0.39,0.325,0.479
"P16","El narcotráfico",0.198,0.151,0.335
"P16","La ausencia de patrulleros y personal policial",0.156,0.249,0.152
"P16","Otro",0.142,0.212,0.031
"P16","Ninguno",0.114,0.063,0.003
"P19","A Alberto Fernández",0.415,0.44,0.175
"P19","A Sergio Massa",0.165,0.379,0.288
"P19","A algún candidato del peronismo",0.061,0.175,0.522
"P19","A algún candidato del kirchnerismo",0.359,0.006,0.015
"P23","Muy buena",0.384,0.345,0.28
"P23","Buena",0.354,0.296,0.099
"P23","Ni buena ni mala",0.188,0.268,0.088
"P23","Mala",0.053,0.043,0.181
"P23","Muy mala",0.019,0.03,0.352
"P23","No sabe",0.002,0.018,0
"P24","Muy buena",0.043,0.025,0.384
"P24","Buena",0.016,0.065,0.045
"P24","Ni buena ni mala",0.129,0.053,0.098
"P24","Mala",0.219,0.34,0.344
"P24","Muy mala",0.591,0.474,0.129
"P24","No sabe",0.002,0.043,0
"P25","Muy buena",0.762,0.093,0.007
"P25","Buena",0.14,0.243,0.031
"P25","Ni buena ni mala",0.025,0.379,0.122
"P25","Mala",0.032,0.044,0.151
"P25","Muy mala",0.04,0.204,0.689
"P25","No sabe",0.001,0.037,0
"P26","Muy buena",0.166,0.048,0.074
"P26","Buena",0.045,0.128,0.32
"P26","Ni buena ni mala",0.141,0.207,0.197
"P26","Mala",0.265,0.087,0.028
"P26","Muy mala",0.367,0.476,0.243
"P26","No sabe",0.016,0.054,0.138
"P27","Muy buena",0.351,0.175,0.133
"P27","Buena",0.286,0.196,0.065
"P27","Ni buena ni mala",0.165,0.334,0.089
"P27","Mala",0.122,0.027,0.137
"P27","Muy mala",0.067,0.232,0.576
"P27","No sabe",0.009,0.036,0
"P28","Muy buena",0.08,0.011,0.144
"P28","Buena",0.087,0.047,0.005
"P28","Ni buena ni mala",0.055,0.363,0.155
"P28","Mala",0.196,0.121,0.163
"P28","Muy mala",0.576,0.449,0.529
"P28","No sabe",0.006,0.009,0.004
"P29","Muy buena",0.074,0,0.186
"P29","Buena",0.063,0.055,0.149
"P29","Ni buena ni mala",0.123,0.387,0.233
"P29","Mala",0.1,0.117,0.189
"P29","Muy mala",0.618,0.422,0.11
"P29","No sabe",0.022,0.019,0.133
