"var","categoria","Frente de Todos y el peronismo","Cambiemos","Liberales Libertarios","Izquierda","No sabe"
"P06","Al candidato del Frente de Todos",0.829,0.066,0.158,0.101,0.284
"P06","Al candidato de Juntos por el Cambio",0.073,0.872,0.125,0.103,0.171
"P06","Al candidato de los liberales - libertarios",0.009,0.02,0.633,0.021,0.006
"P06","Al candidato de la Izquierda",0.037,0,0,0.686,0.013
"P06","A otro candidato",0.024,0.019,0.05,0.029,0.181
"P06","No sabe",0.028,0.023,0.034,0.06,0.345
"P07","A Malena Galmarini",0.369,0.283,0.426,0.144,0.206
"P07","A Julio Zamora",0.477,0.635,0.499,0.775,0.464
"P07","No sabe",0.154,0.082,0.075,0.081,0.33
"P08","Muy buena",0.32,0.055,0.106,0.185,0.087
"P08","Buena",0.237,0.067,0.063,0.095,0.159
"P08","Ni buena ni mala",0.237,0.182,0.168,0.301,0.264
"P08","Mala",0.06,0.234,0.236,0.163,0.071
"P08","Muy mala",0.079,0.428,0.349,0.156,0.246
"P08","No sabe",0.067,0.034,0.078,0.1,0.173
"P09","Muy buena",0.363,0.078,0.115,0.276,0.116
"P09","Buena",0.329,0.12,0.109,0.114,0.196
"P09","Ni buena ni mala",0.167,0.268,0.227,0.249,0.267
"P09","Mala",0.07,0.268,0.234,0.079,0.168
"P09","Muy mala",0.047,0.261,0.285,0.273,0.159
"P09","No sabe",0.024,0.005,0.03,0.009,0.094
"P10","Muy buena",0.062,0.284,0.173,0,0.083
"P10","Buena",0.112,0.332,0.133,0.081,0.165
"P10","Ni buena ni mala",0.275,0.262,0.266,0.455,0.375
"P10","Mala",0.212,0.054,0.147,0.155,0.133
"P10","Muy mala",0.251,0.042,0.146,0.269,0.153
"P10","No sabe",0.088,0.026,0.135,0.04,0.091
"P11","Muy buena",0.069,0.037,0.034,0.185,0.035
"P11","Buena",0.058,0.074,0.063,0.151,0.003
"P11","Ni buena ni mala",0.369,0.386,0.254,0.237,0.309
"P11","Mala",0.114,0.076,0.122,0.118,0.059
"P11","Muy mala",0.022,0.07,0.131,0.186,0.136
"P11","No sabe",0.368,0.357,0.396,0.123,0.458
"P12","Muy buena",0.055,0.073,0.063,0.08,0.036
"P12","Buena",0.076,0.181,0.095,0.065,0.056
"P12","Ni buena ni mala",0.343,0.434,0.302,0.305,0.28
"P12","Mala",0.139,0.068,0.127,0.147,0.026
"P12","Muy mala",0.145,0.092,0.143,0.276,0.149
"P12","No sabe",0.242,0.152,0.27,0.127,0.453
"P13","La seguridad",0.272,0.329,0.279,0.184,0.249
"P13","El tránsito",0.046,0.05,0.058,0.074,0.003
"P13","El arreglo de las calles",0.138,0.1,0.083,0.208,0.113
"P13","El estado de las escuelas y la educación",0.044,0.032,0.098,0.015,0.046
"P13","El sistema de salud",0.121,0.054,0.042,0.161,0.085
"P13","El deporte y la cultura",0.168,0.105,0.145,0.158,0.133
"P13","La obra pública",0.074,0.028,0.009,0.046,0.06
"P13","La luminaria",0.043,0.118,0.077,0.035,0.095
"P13","No sabe",0.094,0.184,0.209,0.119,0.216
