"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P06","Al candidato del Frente de Todos",0.814,0.892,0.306,0.959
"P06","Al candidato de Juntos por el Cambio",0.119,0.02,0.461,0
"P06","Al candidato de los liberales - libertarios",0,0.011,0.211,0
"P06","Al candidato de la Izquierda",0.053,0.057,0,0.019
"P06","A otro candidato",0,0.004,0.005,0.016
"P06","No sabe",0.014,0.016,0.017,0.006
"P07","A Malena Galmarini",0.211,0.587,0.064,0.35
"P07","A Julio Zamora",0.652,0.308,0.551,0.439
"P07","No sabe",0.137,0.105,0.385,0.211
"P08","Muy buena",0.387,0.51,0.097,0.218
"P08","Buena",0.287,0.195,0.079,0.349
"P08","Ni buena ni mala",0.166,0.213,0.576,0.209
"P08","Mala",0.015,0.035,0.021,0.096
"P08","Muy mala",0.098,0.024,0.222,0.094
"P08","No sabe",0.047,0.023,0.005,0.034
"P09","Muy buena",0.497,0.321,0.173,0.285
"P09","Buena",0.195,0.371,0.132,0.44
"P09","Ni buena ni mala",0.078,0.195,0.422,0.183
"P09","Mala",0.126,0.089,0.263,0.031
"P09","Muy mala",0.093,0.024,0.005,0.061
"P09","No sabe",0.011,0,0.005,0
"P10","Muy buena",0.09,0.045,0.372,0
"P10","Buena",0.212,0.123,0.283,0.031
"P10","Ni buena ni mala",0.362,0.27,0.15,0.217
"P10","Mala",0.097,0.238,0.065,0.299
"P10","Muy mala",0.073,0.249,0.094,0.427
"P10","No sabe",0.166,0.075,0.036,0.026
"P11","Muy buena",0.095,0.182,0,0
"P11","Buena",0.183,0.026,0.042,0.07
"P11","Ni buena ni mala",0.422,0.364,0.344,0.344
"P11","Mala",0.031,0.034,0.085,0.129
"P11","Muy mala",0.018,0.009,0.024,0.013
"P11","No sabe",0.251,0.385,0.505,0.444
"P12","Muy buena",0.021,0.036,0.024,0.034
"P12","Buena",0.165,0.089,0.077,0.052
"P12","Ni buena ni mala",0.402,0.509,0.184,0.264
"P12","Mala",0.063,0.092,0.075,0.174
"P12","Muy mala",0.049,0.139,0.053,0.183
"P12","No sabe",0.3,0.135,0.587,0.293
