"var","categoria","A Malena Galmarini","A Julio Zamora","No sabe"
"P08","Muy buena",0.455,0.221,0.156
"P08","Buena",0.272,0.214,0.379
"P08","Ni buena ni mala",0.155,0.293,0.275
"P08","Mala",0.072,0.074,0.057
"P08","Muy mala",0.013,0.14,0.074
"P08","No sabe",0.033,0.058,0.059
"P09","Muy buena",0.245,0.564,0.157
"P09","Buena",0.222,0.377,0.315
"P09","Ni buena ni mala",0.213,0.051,0.177
"P09","Mala",0.082,0.002,0.284
"P09","Muy mala",0.221,0.005,0.039
"P09","No sabe",0.017,0.001,0.028
"P10","Muy buena",0.085,0.115,0.13
"P10","Buena",0.101,0.205,0.031
"P10","Ni buena ni mala",0.188,0.259,0.123
"P10","Mala",0.31,0.181,0.249
"P10","Muy mala",0.248,0.171,0.239
"P10","No sabe",0.068,0.069,0.228
"P11","Muy buena",0.145,0.085,0.024
"P11","Buena",0.075,0.078,0.018
"P11","Ni buena ni mala",0.319,0.379,0.369
"P11","Mala",0.186,0.06,0.124
"P11","Muy mala",0.047,0.015,0.006
"P11","No sabe",0.228,0.383,0.459
"P12","Muy buena",0.1,0.078,0.095
"P12","Buena",0.068,0.089,0.167
"P12","Ni buena ni mala",0.375,0.35,0.188
"P12","Mala",0.137,0.162,0.078
"P12","Muy mala",0.167,0.066,0.091
"P12","No sabe",0.153,0.255,0.381
"P13","La seguridad",0.211,0.338,0.179
"P13","El tránsito",0.031,0.06,0.026
"P13","El arreglo de las calles",0.202,0.21,0.036
"P13","El estado de las escuelas y la educación",0.13,0.06,0.069
"P13","El sistema de salud",0.136,0.123,0.124
"P13","El deporte y la cultura",0.134,0.072,0.19
"P13","La obra pública",0.061,0.08,0.058
"P13","La luminaria",0.017,0.032,0.03
"P13","No sabe",0.078,0.025,0.288
"P14","La seguridad",0.233,0.217,0.171
"P14","El tránsito",0.231,0.114,0.072
"P14","El arreglo de las calles",0.103,0.106,0.166
"P14","El estado de las escuelas y la educación",0.103,0.278,0.166
"P14","El sistema de salud",0.161,0.119,0.142
"P14","El deporte y la cultura",0.061,0.006,0.104
"P14","La obra pública",0.016,0.012,0.027
"P14","La luminaria",0.016,0.006,0.019
"P14","No sabe",0.076,0.142,0.133
"P15","Agua corriente y cloacas",0.477,0.523,0.51
"P15","Energía eléctrica",0.128,0.064,0.066
"P15","Red de gas natural",0.052,0.083,0.06
"P15","Recolección de residuos",0.116,0.082,0.098
"P15","Ninguno",0.227,0.248,0.266
"P16","Los robos",0.3,0.299,0.44
"P16","El narcotráfico",0.136,0.223,0.26
"P16","La ausencia de patrulleros y personal policial",0.312,0.199,0.049
"P16","Otro",0.137,0.135,0.196
"P16","Ninguno",0.115,0.144,0.055
"P17","Frente de Todos y el peronismo",0.742,0.676,0.677
"P17","Cambiemos",0.046,0.073,0.029
"P17","Liberales Libertarios",0.138,0.115,0.054
"P17","Izquierda",0.008,0.032,0.01
"P17","No sabe",0.066,0.104,0.23
"P19","A Alberto Fernández",0.198,0.449,0.267
"P19","A Sergio Massa",0.507,0.195,0.188
"P19","A algún candidato del peronismo",0.016,0.1,0.197
"P19","A algún candidato del kirchnerismo",0.279,0.256,0.348
"P20","Seguro la votaria",0.631,0.701,0.718
"P20","Quizás la votaría",0.238,0.162,0.161
"P20","Nunca la votaría",0.131,0.137,0.121
"P21","A Horacio Rodriguez Larreta",0.668,0.592,0.235
"P21","A Mauricio Macri",0.166,0.093,0.244
"P21","A Patricia Bullrich",0,0.163,0
"P21","A Facundo Manes",0.166,0.152,0
"P21","A Martín Lousteau",0,0,0.521
"P22","Seguro lo votaria",0.261,0.095,0.479
"P22","Quizás lo votaría",0.573,0.284,0
"P22","Nunca lo votaría",0.166,0.621,0.521
"P23","Muy buena",0.264,0.319,0.179
"P23","Buena",0.264,0.232,0.344
"P23","Ni buena ni mala",0.291,0.286,0.315
"P23","Mala",0.047,0.075,0.101
"P23","Muy mala",0.128,0.088,0.033
"P23","No sabe",0.006,0,0.028
"P24","Muy buena",0.088,0.045,0.101
"P24","Buena",0.043,0.086,0.007
"P24","Ni buena ni mala",0.064,0.169,0.182
"P24","Mala",0.195,0.301,0.126
"P24","Muy mala",0.588,0.397,0.584
"P24","No sabe",0.022,0.002,0
"P25","Muy buena",0.454,0.444,0.543
"P25","Buena",0.154,0.129,0.206
"P25","Ni buena ni mala",0.062,0.202,0.203
"P25","Mala",0.121,0.055,0.015
"P25","Muy mala",0.193,0.164,0.033
"P25","No sabe",0.016,0.006,0
"P26","Muy buena",0.095,0.182,0.103
"P26","Buena",0.087,0.09,0.063
"P26","Ni buena ni mala",0.166,0.217,0.228
"P26","Mala",0.186,0.183,0.158
"P26","Muy mala",0.442,0.292,0.435
"P26","No sabe",0.024,0.036,0.013
"P27","Muy buena",0.266,0.292,0.224
"P27","Buena",0.22,0.191,0.435
"P27","Ni buena ni mala",0.287,0.237,0.118
"P27","Mala",0.106,0.118,0.112
"P27","Muy mala",0.105,0.156,0.098
"P27","No sabe",0.016,0.006,0.013
"P28","Muy buena",0.128,0.083,0.097
"P28","Buena",0.026,0.129,0.159
"P28","Ni buena ni mala",0.188,0.087,0.083
"P28","Mala",0.179,0.179,0.035
"P28","Muy mala",0.456,0.513,0.626
"P28","No sabe",0.023,0.009,0
"P29","Muy buena",0.086,0.07,0.128
"P29","Buena",0.025,0.072,0.007
"P29","Ni buena ni mala",0.175,0.222,0.085
"P29","Mala",0.22,0.121,0.144
"P29","Muy mala",0.471,0.442,0.598
"P29","No sabe",0.023,0.073,0.038
