"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.072,0.084,0.06,0.069,0.073,0.069,0.081,0.151,0.053,0.029,0.096,0.036,0.071,0.045,0.116,0.047,0.073,0.071,6
"Buena",0.168,0.197,0.139,0.205,0.139,0.181,0.185,0.203,0.172,0.132,0.168,0.231,0.178,0.044,0.208,0.142,0.152,0.184,6
"Ni buena ni mala",0.23,0.207,0.254,0.235,0.203,0.252,0.282,0.215,0.25,0.216,0.229,0.23,0.259,0.182,0.248,0.237,0.202,0.258,6
"Mala",0.349,0.343,0.354,0.328,0.377,0.331,0.314,0.258,0.388,0.372,0.378,0.317,0.279,0.46,0.305,0.389,0.359,0.338,6
"Muy mala",0.175,0.167,0.182,0.163,0.201,0.165,0.111,0.168,0.129,0.246,0.126,0.186,0.192,0.269,0.112,0.183,0.202,0.148,6
"No sabe",0.006,0.002,0.011,0,0.007,0.002,0.027,0.005,0.008,0.005,0.003,0,0.021,0,0.011,0.002,0.012,0.001,6
"Positiva",0.24,0.281,0.199,0.274,0.212,0.25,0.266,0.354,0.225,0.161,0.264,0.267,0.249,0.089,0.324,0.189,0.225,0.255,4
"Neutra",0.23,0.207,0.254,0.235,0.203,0.252,0.282,0.215,0.25,0.216,0.229,0.23,0.259,0.182,0.248,0.237,0.202,0.258,4
"Negativa",0.524,0.51,0.536,0.491,0.578,0.496,0.425,0.426,0.517,0.618,0.504,0.503,0.471,0.729,0.417,0.572,0.561,0.486,4
"No sabe",0.006,0.002,0.011,0,0.007,0.002,0.027,0.005,0.008,0.005,0.003,0,0.021,0,0.011,0.002,0.012,0.001,4
