"var","categoria","Correcta","Incorrecta","No sabe"
"P08","Siempre",0.227,0.153,0.129
"P08","Casi siempre",0.282,0.41,0.277
"P08","Casi nunca",0.382,0.311,0.348
"P08","Nunca, pero esta es una excepción",0.109,0.126,0.246
"P09","Muy buena",0.127,0.17,0.149
"P09","Buena",0.182,0.253,0.211
"P09","Ni buena ni mala",0.296,0.349,0.433
"P09","Mala",0.257,0.16,0.118
"P09","Muy mala",0.131,0.064,0.034
"P09","No sabe",0.007,0.004,0.055
"P10","Muy buena",0.152,0.208,0.209
"P10","Buena",0.233,0.314,0.237
"P10","Ni buena ni mala",0.295,0.272,0.379
"P10","Mala",0.191,0.128,0.053
"P10","Muy mala",0.112,0.056,0.048
"P10","No sabe",0.017,0.022,0.074
"P13","Si",0.459,0.546,0.426
"P13","No",0.322,0.279,0.22
"P13","No sabe",0.219,0.175,0.354
"P15","Gobierno nacional",0.408,0.233,0.347
"P15","Gobierno provincial",0.471,0.656,0.376
"P15","No sabe",0.121,0.111,0.277
"P16","El gobierno anterior de Omar Gutierrez",0.323,0.533,0.45
"P16","El actual gobierno de Rolo Figueroa",0.272,0.205,0.195
"P16","No sabe",0.405,0.262,0.355
"P17","El gobierno anterior de Alberto Fernández",0.288,0.522,0.234
"P17","El actual gobierno de Javier Milei",0.645,0.341,0.505
"P17","No sabe",0.067,0.137,0.261
"P18","Muy buena",0.143,0.07,0.08
"P18","Buena",0.211,0.254,0.226
"P18","Ni buena ni mala",0.232,0.243,0.435
"P18","Mala",0.293,0.31,0.19
"P18","Muy mala",0.112,0.109,0.058
"P18","No sabe",0.009,0.014,0.011
"P19","Muy buena",0.143,0.042,0.064
"P19","Buena",0.162,0.153,0.214
"P19","Ni buena ni mala",0.174,0.189,0.391
"P19","Mala",0.315,0.423,0.213
"P19","Muy mala",0.202,0.187,0.104
"P19","No sabe",0.004,0.006,0.014
"P20","Muy buena",0.104,0.041,0.038
"P20","Buena",0.175,0.248,0.249
"P20","Ni buena ni mala",0.244,0.291,0.428
