"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.1,0.119,0.082,0.208,0.067,0.1,0.087,0.141,0.092,0.082,0.134,0.074,0.061,0.081,0.093,0.126,0.103,0.098,6
"Buena",0.194,0.205,0.183,0.169,0.212,0.174,0.196,0.129,0.259,0.161,0.18,0.256,0.176,0.212,0.09,0.266,0.156,0.231,6
"Ni buena ni mala",0.392,0.417,0.367,0.373,0.416,0.349,0.412,0.455,0.359,0.387,0.41,0.427,0.32,0.369,0.373,0.419,0.371,0.412,6
"Mala",0.161,0.134,0.186,0.115,0.155,0.21,0.142,0.116,0.162,0.19,0.15,0.119,0.252,0.17,0.215,0.125,0.173,0.148,6
"Muy mala",0.122,0.111,0.134,0.096,0.119,0.154,0.106,0.105,0.101,0.161,0.089,0.107,0.185,0.128,0.195,0.05,0.147,0.098,6
"No sabe",0.031,0.014,0.048,0.039,0.031,0.013,0.057,0.054,0.027,0.019,0.037,0.017,0.006,0.04,0.034,0.014,0.05,0.013,6
"Positiva",0.294,0.324,0.265,0.377,0.279,0.274,0.283,0.27,0.351,0.243,0.314,0.33,0.237,0.293,0.183,0.392,0.259,0.329,4
"Neutra",0.392,0.417,0.367,0.373,0.416,0.349,0.412,0.455,0.359,0.387,0.41,0.427,0.32,0.369,0.373,0.419,0.371,0.412,4
"Negativa",0.283,0.245,0.32,0.211,0.274,0.364,0.248,0.221,0.263,0.351,0.239,0.226,0.437,0.298,0.41,0.175,0.32,0.246,4
"No sabe",0.031,0.014,0.048,0.039,0.031,0.013,0.057,0.054,0.027,0.019,0.037,0.017,0.006,0.04,0.034,0.014,0.05,0.013,4
