"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.14,0.159,0.121,0.049,0.172,0.127,0.155,0.2,0.15,0.085,0.144,0.112,0.334,0.011,0.216,0.084,0.092,0.186,6
"Buena",0.182,0.171,0.194,0.178,0.174,0.183,0.217,0.176,0.198,0.168,0.188,0.27,0.202,0.093,0.217,0.155,0.178,0.187,6
"Ni buena ni mala",0.32,0.311,0.328,0.394,0.286,0.333,0.325,0.327,0.305,0.333,0.344,0.304,0.181,0.258,0.348,0.3,0.307,0.332,6
"Mala",0.197,0.205,0.188,0.207,0.185,0.23,0.166,0.134,0.199,0.238,0.178,0.199,0.227,0.228,0.144,0.25,0.215,0.179,6
"Muy mala",0.13,0.145,0.116,0.107,0.152,0.122,0.098,0.107,0.116,0.165,0.119,0.087,0.027,0.41,0.063,0.176,0.162,0.1,6
"No sabe",0.031,0.009,0.053,0.065,0.031,0.005,0.039,0.056,0.032,0.011,0.027,0.028,0.029,0,0.012,0.035,0.046,0.016,6
"Positiva",0.322,0.33,0.315,0.227,0.346,0.31,0.372,0.376,0.348,0.253,0.332,0.382,0.536,0.104,0.433,0.239,0.27,0.373,4
"Neutra",0.32,0.311,0.328,0.394,0.286,0.333,0.325,0.327,0.305,0.333,0.344,0.304,0.181,0.258,0.348,0.3,0.307,0.332,4
"Negativa",0.327,0.35,0.304,0.314,0.337,0.352,0.264,0.241,0.315,0.403,0.297,0.286,0.254,0.638,0.207,0.426,0.377,0.279,4
"No sabe",0.031,0.009,0.053,0.065,0.031,0.005,0.039,0.056,0.032,0.011,0.027,0.028,0.029,0,0.012,0.035,0.046,0.016,4
