"var","categoria","El estado nacional","El estado provincial","Ambos de forma coordinada","No sabe"
"P08","Siempre",0.295,0.167,0.138,0.026
"P08","Casi siempre",0.358,0.358,0.323,0.363
"P08","Casi nunca",0.285,0.349,0.384,0.285
"P08","Nunca, pero esta es una excepción",0.062,0.126,0.155,0.326
"P09","Muy buena",0.239,0.178,0.089,0.097
"P09","Buena",0.119,0.285,0.2,0.128
"P09","Ni buena ni mala",0.348,0.314,0.43,0.296
"P09","Mala",0.252,0.16,0.168,0.215
"P09","Muy mala",0.042,0.06,0.094,0.165
"P09","No sabe",0,0.003,0.019,0.099
"P10","Muy buena",0.282,0.227,0.104,0.159
"P10","Buena",0.239,0.321,0.251,0.115
"P10","Ni buena ni mala",0.233,0.275,0.356,0.371
"P10","Mala",0.213,0.1,0.16,0.109
"P10","Muy mala",0.018,0.053,0.108,0.129
"P10","No sabe",0.015,0.024,0.021,0.117
"P13","Si",0.49,0.547,0.417,0.417
"P13","No",0.359,0.265,0.323,0.163
"P13","No sabe",0.151,0.188,0.26,0.42
"P15","Gobierno nacional",0.371,0.382,0.163,0.206
"P15","Gobierno provincial",0.533,0.487,0.664,0.498
"P15","No sabe",0.096,0.131,0.173,0.296
"P16","El gobierno anterior de Omar Gutierrez",0.467,0.416,0.538,0.502
"P16","El actual gobierno de Rolo Figueroa",0.312,0.261,0.14,0.225
"P16","No sabe",0.221,0.323,0.322,0.273
"P17","El gobierno anterior de Alberto Fernández",0.553,0.307,0.359,0.434
"P17","El actual gobierno de Javier Milei",0.342,0.568,0.501,0.29
"P17","No sabe",0.105,0.125,0.14,0.276
"P18","Muy buena",0.198,0.106,0.02,0.068
"P18","Buena",0.206,0.3,0.188,0.096
"P18","Ni buena ni mala",0.256,0.255,0.317,0.367
"P18","Mala",0.281,0.249,0.335,0.27
"P18","Muy mala",0.054,0.079,0.136,0.127
"P18","No sabe",0.005,0.011,0.004,0.072
"P19","Muy buena",0.181,0.074,0.024,0.06
"P19","Buena",0.095,0.216,0.143,0.089
"P19","Ni buena ni mala",0.231,0.223,0.204,0.308
"P19","Mala",0.345,0.351,0.376,0.293
"P19","Muy mala",0.138,0.134,0.245,0.219
"P19","No sabe",0.01,0.002,0.008,0.031
"P20","Muy buena",0.174,0.055,0.014,0.035
"P20","Buena",0.159,0.285,0.17,0.181
"P20","Ni buena ni mala",0.264,0.276,0.36,0.327
"P20","Mala",0.303,0.278,0.264,0.31
"P20","Muy mala",0.09,0.097,0.183,0.097
"P20","No sabe",0.01,0.009,0.009,0.05
"P21","Muy de acuerdo",0.397,0.475,0.18,0.031
"P21","De acuerdo",0.194,0.286,0.194,0.088
"P21","Ni de acuerdo ni en desacuerdo",0.17,0.148,0.4,0.404
"P21","En desacuerdo",0.168,0.063,0.13,0.245
"P21","Muy en desacuerdo",0.06,0.019,0.083,0.122
"P21","No sabe",0.011,0.009,0.013,0.11
"P23","Si",0.556,0.547,0.477,0.315
"P23","No",0.347,0.405,0.304,0.462
"P23","No sabe",0.097,0.048,0.219,0.223
"P24","Excesiva",0.166,0.084,0.142,0.151
"P24","Adecuada",0.288,0.44,0.369,0.336
"P24","Insuficiente",0.281,0.332,0.286,0.125
