"var","categoria","Gobierno nacional","Gobierno provincial","No sabe"
"P08","Siempre",0.252,0.134,0.176
"P08","Casi siempre",0.364,0.361,0.223
"P08","Casi nunca",0.235,0.396,0.384
"P08","Nunca, pero esta es una excepción",0.149,0.109,0.217
"P09","Muy buena",0.27,0.091,0.187
"P09","Buena",0.271,0.193,0.248
"P09","Ni buena ni mala",0.32,0.369,0.36
"P09","Mala",0.094,0.235,0.112
"P09","Muy mala",0.041,0.106,0.031
"P09","No sabe",0.004,0.006,0.062
"P10","Muy buena",0.326,0.131,0.187
"P10","Buena",0.292,0.253,0.268
"P10","Ni buena ni mala",0.252,0.311,0.366
"P10","Mala",0.065,0.198,0.066
"P10","Muy mala",0.026,0.087,0.065
"P10","No sabe",0.039,0.02,0.048
"P13","Si",0.655,0.388,0.511
"P13","No",0.157,0.395,0.182
"P13","No sabe",0.188,0.217,0.307
"P18","Muy buena",0.2,0.052,0.053
"P18","Buena",0.344,0.176,0.217
"P18","Ni buena ni mala",0.2,0.291,0.454
"P18","Mala",0.204,0.344,0.187
"P18","Muy mala",0.049,0.122,0.071
"P18","No sabe",0.003,0.015,0.018
"P19","Muy buena",0.138,0.039,0.059
"P19","Buena",0.251,0.096,0.259
"P19","Ni buena ni mala",0.259,0.198,0.289
"P19","Mala",0.275,0.419,0.242
"P19","Muy mala",0.076,0.241,0.135
"P19","No sabe",0.001,0.007,0.016
"P20","Muy buena",0.103,0.034,0.04
"P20","Buena",0.34,0.165,0.209
"P20","Ni buena ni mala",0.26,0.285,0.464
"P20","Mala",0.211,0.349,0.153
"P20","Muy mala",0.077,0.16,0.101
"P20","No sabe",0.009,0.007,0.033
"P21","Muy de acuerdo",0.547,0.274,0.215
"P21","De acuerdo",0.247,0.197,0.341
"P21","Ni de acuerdo ni en desacuerdo",0.124,0.294,0.273
"P21","En desacuerdo",0.061,0.154,0.04
"P21","Muy en desacuerdo",0.013,0.071,0.068
"P21","No sabe",0.008,0.01,0.063
"P22","El estado nacional",0.158,0.128,0.084
"P22","El estado provincial",0.646,0.463,0.455
"P22","Ambos de forma coordinada",0.153,0.351,0.335
"P22","No sabe",0.043,0.058,0.126
"P23","Si",0.54,0.549,0.323
"P23","No",0.36,0.368,0.413
"P23","No sabe",0.1,0.083,0.264
"P24","Excesiva",0.082,0.131,0.126
"P24","Adecuada",0.34,0.436,0.348
"P24","Insuficiente",0.372,0.272,0.246
"P24","Inaceptable",0.131,0.098,0.023
"P24","No sabe",0.075,0.063,0.257
"P26","Si",0.638,0.683,0.434
"P26","No",0.229,0.223,0.273
"P26","No sabe",0.133,0.094,0.293
"P27","Correcta",0.381,0.244,0.236
"P27","Incorrecta",0.4,0.624,0.398
"P27","No sabe",0.219,0.132,0.366
"P28","Si",0.557,0.615,0.339
"P28","No",0.34,0.307,0.407
"P28","No sabe",0.103,0.078,0.254
"P29","Correcta",0.448,0.528,0.271
"P29","Incorrecta",0.331,0.322,0.305
"P29","No sabe",0.221,0.15,0.424
"P30","Si",0.656,0.711,0.514
"P30","No",0.252,0.235,0.259
"P30","No sabe",0.092,0.054,0.227
"P31","Adecuada",0.277,0.194,0.161
"P31","Insuficiente",0.138,0.091,0.072
"P31","Excesiva",0.263,0.225,0.265
"P31","Inaceptable",0.224,0.461,0.371
"P31","No sabe",0.098,0.029,0.131
"P33","Si",0.552,0.434,0.341
"P33","No",0.327,0.463,0.356
"P33","No sabe",0.121,0.103,0.303
"P34","Si",0.389,0.621,0.343
"P34","No",0.472,0.308,0.325
"P34","No sabe",0.139,0.071,0.332
"P35","Inseguridad y narcotráfico",0.45,0.537,0.313
"P35","Altos impuestos y tarifas",0.315,0.264,0.332
"P35","Educación y estado de las escuelas",0.132,0.091,0.242
"P35","Inflación",0.064,0.025,0.057
"P35","Estado de la salud",0.005,0.025,0.026
"P35","Corrupción",0.008,0.054,0.013
"P35","Pobreza",0.008,0.003,0.003
"P35","Medio ambiente, incendios y contaminación",0.001,0,0
"P35","Falta de trabajo",0.006,0,0.002
"P35","No sabe",0.011,0.001,0.012
"P39","Muy buena",0.111,0.07,0.069
"P39","Buena",0.377,0.233,0.312
"P39","Ni buena ni mala",0.33,0.372,0.409
"P39","Mala",0.127,0.243,0.15
"P39","Muy mala",0.023,0.072,0.03
"P39","No sabe",0.032,0.01,0.03
"P40","Peor",0.38,0.315,0.325
"P40","Igual",0.416,0.477,0.381
"P40","Mejor",0.143,0.111,0.201
"P40","No sabe",0.061,0.097,0.093
"P41","Peor",0.412,0.292,0.208
"P41","Igual",0.259,0.359,0.259
"P41","Mejor",0.221,0.241,0.347
"P41","No sabe",0.108,0.108,0.186
"P42","El gobierno de Javier Milei",0.618,0.183,0.254
"P42","El gobierno de Alberto Fernández",0.236,0.688,0.416
"P42","Ambos",0.126,0.11,0.291
"P42","No sabe",0.02,0.019,0.039
"P43","Javier Milei",0.233,0.583,0.349
"P43","Los gobernadores",0.687,0.349,0.385
"P43","No sabe",0.08,0.068,0.266
"P44","Muy buena",0.296,0.134,0.174
"P44","Buena",0.357,0.26,0.256
"P44","Ni buena ni mala",0.247,0.352,0.405
"P44","Mala",0.055,0.173,0.073
"P44","Muy mala",0.034,0.077,0.003
"P44","No sabe",0.011,0.004,0.089
"P45","Muy buena",0.194,0.073,0.104
"P45","Buena",0.307,0.176,0.17
"P45","Ni buena ni mala",0.349,0.314,0.463
"P45","Mala",0.093,0.256,0.062
"P45","Muy mala",0.021,0.16,0.082
"P45","No sabe",0.036,0.021,0.119
"P46","Muy buena",0.13,0.048,0.097
"P46","Buena",0.216,0.104,0.232
"P46","Ni buena ni mala",0.291,0.199,0.265
"P46","Mala",0.276,0.376,0.274
"P46","Muy mala",0.075,0.267,0.054
"P46","No sabe",0.012,0.006,0.078
"P47","Muy buena",0.103,0.046,0.125
"P47","Buena",0.173,0.126,0.086
"P47","Ni buena ni mala",0.496,0.357,0.476
"P47","Mala",0.142,0.21,0.178
"P47","Muy mala",0.06,0.201,0.041
"P47","No sabe",0.026,0.06,0.094
"P48","Muy buena",0.224,0.1,0.111
"P48","Buena",0.217,0.163,0.182
"P48","Ni buena ni mala",0.386,0.256,0.416
"P48","Mala",0.109,0.262,0.139
"P48","Muy mala",0.044,0.196,0.068
"P48","No sabe",0.02,0.023,0.084
"P49","Muy buena",0.446,0.125,0.16
"P49","Buena",0.156,0.096,0.141
"P49","Ni buena ni mala",0.132,0.059,0.257
"P49","Mala",0.121,0.275,0.256
"P49","Muy mala",0.145,0.435,0.168
"P49","No sabe",0,0.01,0.018
"P50","Muy buena",0.148,0.107,0.046
"P50","Buena",0.101,0.244,0.126
"P50","Ni buena ni mala",0.128,0.216,0.371
"P50","Mala",0.229,0.236,0.253
"P50","Muy mala",0.394,0.182,0.149
"P50","No sabe",0,0.015,0.055
"P51","Muy buena",0.21,0.069,0.132
"P51","Buena",0.276,0.119,0.145
"P51","Ni buena ni mala",0.218,0.102,0.219
"P51","Mala",0.147,0.242,0.291
"P51","Muy mala",0.146,0.465,0.183
"P51","No sabe",0.003,0.003,0.03
"P52","Muy buena",0.178,0.421,0.282
"P52","Buena",0.122,0.178,0.133
"P52","Ni buena ni mala",0.084,0.085,0.278
"P52","Mala",0.206,0.118,0.117
"P52","Muy mala",0.41,0.198,0.17
"P52","No sabe",0,0,0.02
"P53","Muy buena",0.151,0.377,0.151
"P53","Buena",0.089,0.244,0.205
"P53","Ni buena ni mala",0.128,0.093,0.305
"P53","Mala",0.221,0.125,0.088
"P53","Muy mala",0.411,0.16,0.225
"P53","No sabe",0,0.001,0.026
"P54","Muy buena",0.11,0.198,0.187
"P54","Buena",0.072,0.207,0.124
"P54","Ni buena ni mala",0.205,0.301,0.277
"P54","Mala",0.2,0.118,0.125
"P54","Muy mala",0.396,0.161,0.227
"P54","No sabe",0.017,0.015,0.06
"P55","Muy buena",0.115,0.458,0.293
"P55","Buena",0.122,0.182,0.119
"P55","Ni buena ni mala",0.214,0.106,0.25
"P55","Mala",0.154,0.094,0.092
"P55","Muy mala",0.386,0.149,0.166
"P55","No sabe",0.009,0.011,0.08
"P56","Muy buena",0.115,0.088,0.115
"P56","Buena",0.128,0.263,0.082
"P56","Ni buena ni mala",0.38,0.348,0.578
"P56","Mala",0.184,0.171,0.071
"P56","Muy mala",0.172,0.112,0.055
"P56","No sabe",0.021,0.018,0.099
"P57","Muy buena",0.099,0.175,0.098
"P57","Buena",0.11,0.258,0.181
"P57","Ni buena ni mala",0.162,0.248,0.321
"P57","Mala",0.155,0.128,0.128
"P57","Muy mala",0.444,0.169,0.208
"P57","No sabe",0.03,0.022,0.064
"P58","Muy buena",0.091,0.161,0.132
"P58","Buena",0.092,0.225,0.131
"P58","Ni buena ni mala",0.291,0.328,0.341
"P58","Mala",0.18,0.1,0.107
"P58","Muy mala",0.291,0.123,0.112
"P58","No sabe",0.055,0.063,0.177
