"var","categoria","Adecuada","Insuficiente","Excesiva","Inaceptable","No sabe"
"P08","Siempre",0.177,0.231,0.168,0.171,0.077
"P08","Casi siempre",0.329,0.356,0.369,0.39,0.343
"P08","Casi nunca",0.38,0.272,0.285,0.32,0.323
"P08","Nunca, pero esta es una excepción",0.114,0.141,0.178,0.119,0.257
"P09","Muy buena",0.156,0.193,0.122,0.163,0.262
"P09","Buena",0.135,0.266,0.322,0.208,0.14
"P09","Ni buena ni mala",0.314,0.259,0.373,0.363,0.353
"P09","Mala",0.247,0.152,0.102,0.19,0.148
"P09","Muy mala",0.136,0.13,0.058,0.07,0.004
"P09","No sabe",0.012,0,0.023,0.006,0.093
"P10","Muy buena",0.176,0.258,0.194,0.184,0.274
"P10","Buena",0.157,0.289,0.352,0.275,0.302
"P10","Ni buena ni mala",0.32,0.221,0.28,0.336,0.274
"P10","Mala",0.197,0.092,0.077,0.142,0.042
"P10","Muy mala",0.13,0.092,0.062,0.053,0.004
"P10","No sabe",0.02,0.048,0.035,0.01,0.104
"P13","Si",0.458,0.458,0.532,0.505,0.425
"P13","No",0.338,0.369,0.269,0.265,0.068
"P13","No sabe",0.204,0.173,0.199,0.23,0.507
"P15","Gobierno nacional",0.396,0.412,0.332,0.183,0.46
"P15","Gobierno provincial",0.493,0.484,0.506,0.671,0.243
"P15","No sabe",0.111,0.104,0.162,0.146,0.297
"P16","El gobierno anterior de Omar Gutierrez",0.292,0.479,0.597,0.497,0.473
"P16","El actual gobierno de Rolo Figueroa",0.305,0.262,0.153,0.214,0.141
"P16","No sabe",0.403,0.259,0.25,0.289,0.386
"P17","El gobierno anterior de Alberto Fernández",0.338,0.337,0.343,0.517,0.504
"P17","El actual gobierno de Javier Milei",0.649,0.597,0.553,0.258,0.255
"P17","No sabe",0.013,0.066,0.104,0.225,0.241
"P18","Muy buena",0.163,0.073,0.041,0.08,0.091
"P18","Buena",0.219,0.341,0.313,0.207,0.156
"P18","Ni buena ni mala",0.221,0.258,0.356,0.271,0.409
"P18","Mala",0.278,0.198,0.239,0.304,0.245
"P18","Muy mala",0.116,0.12,0.044,0.127,0.082
"P18","No sabe",0.003,0.01,0.007,0.011,0.017
"P19","Muy buena",0.135,0.085,0.065,0.033,0.101
"P19","Buena",0.172,0.283,0.239,0.117,0.123
"P19","Ni buena ni mala",0.218,0.267,0.252,0.166,0.434
"P19","Mala",0.277,0.192,0.357,0.433,0.208
"P19","Muy mala",0.194,0.163,0.073,0.25,0.114
"P19","No sabe",0.004,0.01,0.014,0.001,0.02
"P20","Muy buena",0.08,0.1,0.042,0.038,0.028
"P20","Buena",0.144,0.29,0.315,0.219,0.171
"P20","Ni buena ni mala",0.297,0.349,0.32,0.272,0.518
"P20","Mala",0.3,0.131,0.272,0.303,0.186
"P20","Muy mala",0.168,0.119,0.033,0.161,0.067
"P20","No sabe",0.011,0.011,0.018,0.007,0.03
"P21","Muy de acuerdo",0.483,0.313,0.37,0.277,0.406
"P21","De acuerdo",0.177,0.334,0.289,0.214,0.159
"P21","Ni de acuerdo ni en desacuerdo",0.16,0.254,0.213,0.283,0.293
"P21","En desacuerdo",0.11,0.071,0.086,0.14,0.031
"P21","Muy en desacuerdo",0.054,0.022,0.022,0.077,0.017
"P21","No sabe",0.016,0.006,0.02,0.009,0.094
"P22","El estado nacional",0.158,0.091,0.069,0.158,0.034
"P22","El estado provincial",0.559,0.632,0.566,0.433,0.496
"P22","Ambos de forma coordinada",0.26,0.194,0.315,0.327,0.223
"P22","No sabe",0.023,0.083,0.05,0.082,0.247
"P23","Si",0.704,0.424,0.537,0.513,0.25
"P23","No",0.21,0.461,0.308,0.387,0.536
"P23","No sabe",0.086,0.115,0.155,0.1,0.214
"P24","Excesiva",0.084,0.118,0.085,0.161,0.006
"P24","Adecuada",0.155,0.343,0.487,0.532,0.211
"P24","Insuficiente",0.484,0.367,0.302,0.161,0.319
"P24","Inaceptable",0.249,0.119,0.029,0.055,0.037
"P24","No sabe",0.028,0.053,0.097,0.091,0.427
"P26","Si",0.861,0.422,0.605,0.666,0.322
"P26","No",0.059,0.368,0.258,0.228,0.342
"P26","No sabe",0.08,0.21,0.137,0.106,0.336
"P27","Correcta",0.852,0.258,0.133,0.102,0.135
"P27","Incorrecta",0.058,0.411,0.63,0.789,0.203
"P27","No sabe",0.09,0.331,0.237,0.109,0.662
"P28","Si",0.732,0.421,0.553,0.556,0.274
"P28","No",0.212,0.445,0.336,0.373,0.371
"P28","No sabe",0.056,0.134,0.111,0.071,0.355
"P29","Correcta",0.193,0.342,0.548,0.634,0.256
"P29","Incorrecta",0.722,0.376,0.232,0.197,0.06
"P29","No sabe",0.085,0.282,0.22,0.169,0.684
"P30","Si",0.802,0.358,0.626,0.722,0.478
"P30","No",0.157,0.467,0.296,0.212,0.234
"P30","No sabe",0.041,0.175,0.078,0.066,0.288
"P33","Si",0.871,0.451,0.362,0.284,0.429
"P33","No",0.081,0.432,0.441,0.609,0.089
"P33","No sabe",0.048,0.117,0.197,0.107,0.482
"P34","Si",0.248,0.366,0.506,0.754,0.165
"P34","No",0.666,0.413,0.32,0.188,0.409
"P34","No sabe",0.086,0.221,0.174,0.058,0.426
"P35","Inseguridad y narcotráfico",0.405,0.39,0.47,0.575,0.299
"P35","Altos impuestos y tarifas",0.347,0.433,0.311,0.218,0.183
"P35","Educación y estado de las escuelas",0.09,0.103,0.131,0.113,0.366
"P35","Inflación",0.071,0.015,0.04,0.029,0.066
"P35","Estado de la salud",0.037,0.025,0.006,0.016,0.019
"P35","Corrupción",0.041,0.019,0.029,0.039,0.026
"P35","Pobreza",0,0.01,0.008,0.001,0.02
"P35","Medio ambiente, incendios y contaminación",0,0,0,0.001,0
"P35","Falta de trabajo",0.009,0,0,0.001,0
"P35","No sabe",0,0.005,0.005,0.007,0.021
"P39","Muy buena",0.105,0.102,0.063,0.089,0
"P39","Buena",0.203,0.321,0.406,0.282,0.109
"P39","Ni buena ni mala",0.318,0.332,0.375,0.357,0.61
"P39","Mala",0.267,0.148,0.109,0.217,0.203
"P39","Muy mala",0.091,0.048,0.029,0.043,0.039
"P39","No sabe",0.016,0.049,0.018,0.012,0.039
"P40","Peor",0.56,0.398,0.209,0.276,0.264
"P40","Igual",0.304,0.442,0.452,0.517,0.499
"P40","Mejor",0.068,0.082,0.23,0.127,0.132
"P40","No sabe",0.068,0.078,0.109,0.08,0.105
"P41","Peor",0.542,0.363,0.217,0.244,0.249
"P41","Igual",0.237,0.343,0.353,0.341,0.212
"P41","Mejor",0.111,0.185,0.329,0.297,0.276
"P41","No sabe",0.11,0.109,0.101,0.118,0.263
"P42","El gobierno de Javier Milei",0.582,0.376,0.327,0.159,0.359
"P42","El gobierno de Alberto Fernández",0.237,0.463,0.476,0.718,0.428
"P42","Ambos",0.164,0.117,0.181,0.106,0.148
"P42","No sabe",0.017,0.044,0.016,0.017,0.065
"P43","Javier Milei",0.338,0.317,0.355,0.621,0.259
"P43","Los gobernadores",0.616,0.594,0.509,0.299,0.427
"P43","No sabe",0.046,0.089,0.136,0.08,0.314
"P44","Muy buena",0.195,0.21,0.181,0.21,0.049
"P44","Buena",0.171,0.338,0.358,0.294,0.356
"P44","Ni buena ni mala",0.337,0.272,0.334,0.338,0.281
"P44","Mala",0.199,0.086,0.09,0.121,0.022
"P44","Muy mala",0.088,0.094,0.021,0.035,0.092
"P44","No sabe",0.01,0,0.016,0.002,0.2
"P45","Muy buena",0.183,0.09,0.089,0.111,0.033
"P45","Buena",0.244,0.34,0.237,0.147,0.225
"P45","Ni buena ni mala",0.272,0.269,0.411,0.374,0.328
"P45","Mala",0.151,0.139,0.174,0.212,0.136
"P45","Muy mala",0.123,0.151,0.043,0.135,0.035
"P45","No sabe",0.027,0.011,0.046,0.021,0.243
"P46","Muy buena",0.093,0.083,0.052,0.084,0.125
"P46","Buena",0.128,0.309,0.183,0.127,0.083
"P46","Ni buena ni mala",0.226,0.208,0.29,0.225,0.186
"P46","Mala",0.331,0.173,0.353,0.363,0.297
"P46","Muy mala",0.205,0.227,0.121,0.191,0.114
"P46","No sabe",0.017,0,0.001,0.01,0.195
"P47","Muy buena",0.068,0.025,0.061,0.115,0
"P47","Buena",0.118,0.29,0.168,0.097,0.02
"P47","Ni buena ni mala",0.455,0.35,0.465,0.373,0.469
"P47","Mala",0.159,0.129,0.202,0.208,0.154
"P47","Muy mala",0.17,0.129,0.086,0.154,0.086
"P47","No sabe",0.03,0.077,0.018,0.053,0.271
"P48","Muy buena",0.257,0.099,0.148,0.067,0.178
"P48","Buena",0.199,0.339,0.208,0.123,0.115
"P48","Ni buena ni mala",0.293,0.203,0.379,0.335,0.279
"P48","Mala",0.119,0.13,0.178,0.288,0.111
"P48","Muy mala",0.123,0.179,0.087,0.165,0.042
"P48","No sabe",0.009,0.05,0,0.022,0.275
"P49","Muy buena",0.491,0.253,0.195,0.092,0.181
"P49","Buena",0.104,0.263,0.17,0.061,0.12
"P49","Ni buena ni mala",0.067,0.081,0.181,0.089,0.172
"P49","Mala",0.144,0.103,0.225,0.323,0.125
"P49","Muy mala",0.194,0.3,0.229,0.42,0.356
"P49","No sabe",0,0,0,0.015,0.046
"P50","Muy buena",0.14,0.035,0.074,0.145,0.066
"P50","Buena",0.076,0.247,0.165,0.247,0.149
"P50","Ni buena ni mala",0.058,0.28,0.286,0.256,0.091
"P50","Mala",0.303,0.235,0.238,0.183,0.308
"P50","Muy mala",0.423,0.191,0.237,0.146,0.267
"P50","No sabe",0,0.012,0,0.023,0.119
"P51","Muy buena",0.199,0.084,0.124,0.098,0.024
"P51","Buena",0.274,0.251,0.163,0.082,0.236
"P51","Ni buena ni mala",0.179,0.238,0.19,0.091,0.18
"P51","Mala",0.124,0.194,0.249,0.283,0.109
"P51","Muy mala",0.224,0.222,0.274,0.439,0.394
"P51","No sabe",0,0.011,0,0.007,0.057
"P52","Muy buena",0.167,0.249,0.3,0.468,0.27
"P52","Buena",0.083,0.245,0.153,0.17,0.172
"P52","Ni buena ni mala",0.079,0.099,0.141,0.126,0.075
"P52","Mala",0.214,0.17,0.163,0.097,0.065
"P52","Muy mala",0.457,0.237,0.242,0.139,0.372
"P52","No sabe",0,0,0.001,0,0.046
"P53","Muy buena",0.168,0.08,0.238,0.446,0.065
"P53","Buena",0.074,0.254,0.206,0.228,0.224
"P53","Ni buena ni mala",0.077,0.293,0.162,0.116,0.112
"P53","Mala",0.177,0.212,0.154,0.119,0.104
"P53","Muy mala",0.5,0.161,0.239,0.09,0.449
"P53","No sabe",0.004,0,0.001,0.001,0.046
"P54","Muy buena",0.141,0.084,0.12,0.243,0.149
"P54","Buena",0.034,0.223,0.195,0.175,0.184
"P54","Ni buena ni mala",0.184,0.269,0.288,0.339,0.062
"P54","Mala",0.127,0.222,0.178,0.111,0.157
