"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.097,0.104,0.09,0.099,0.1,0.097,0.085,0.18,0.083,0.042,0.142,0.051,0.051,0.054,0.151,0.069,0.104,0.091,6
"Buena",0.234,0.23,0.239,0.162,0.214,0.314,0.298,0.186,0.266,0.23,0.243,0.292,0.244,0.145,0.26,0.238,0.216,0.251,6
"Ni buena ni mala",0.288,0.284,0.293,0.325,0.251,0.311,0.314,0.318,0.263,0.299,0.269,0.295,0.337,0.277,0.289,0.3,0.274,0.302,6
"Mala",0.277,0.278,0.275,0.294,0.314,0.22,0.207,0.207,0.304,0.3,0.27,0.259,0.281,0.378,0.244,0.276,0.282,0.271,6
"Muy mala",0.092,0.091,0.092,0.103,0.111,0.046,0.082,0.095,0.071,0.119,0.07,0.089,0.087,0.142,0.049,0.103,0.115,0.069,6
"No sabe",0.012,0.013,0.011,0.017,0.01,0.012,0.014,0.014,0.013,0.01,0.006,0.014,0,0.004,0.007,0.014,0.009,0.016,6
"Positiva",0.331,0.334,0.329,0.261,0.314,0.411,0.383,0.366,0.349,0.272,0.385,0.343,0.295,0.199,0.411,0.307,0.32,0.342,4
"Neutra",0.288,0.284,0.293,0.325,0.251,0.311,0.314,0.318,0.263,0.299,0.269,0.295,0.337,0.277,0.289,0.3,0.274,0.302,4
"Negativa",0.369,0.369,0.367,0.397,0.425,0.266,0.289,0.302,0.375,0.419,0.34,0.348,0.368,0.52,0.293,0.379,0.397,0.34,4
"No sabe",0.012,0.013,0.011,0.017,0.01,0.012,0.014,0.014,0.013,0.01,0.006,0.014,0,0.004,0.007,0.014,0.009,0.016,4
