"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"Inseguridad y narcotráfico",0.478,0.463,0.493,0.333,0.504,0.502,0.546,0.444,0.444,0.548,0.487,0.486,0.51,0.499,0.467,0.501,0.467,0.488
"Altos impuestos y tarifas",0.289,0.314,0.264,0.426,0.273,0.238,0.247,0.303,0.347,0.203,0.266,0.319,0.382,0.285,0.298,0.28,0.29,0.289
"Educación y estado de las escuelas",0.126,0.117,0.135,0.112,0.134,0.126,0.116,0.176,0.117,0.097,0.137,0.105,0.058,0.098,0.141,0.098,0.138,0.113
"Inflación",0.042,0.048,0.035,0.056,0.027,0.064,0.032,0.029,0.043,0.049,0.038,0.05,0.032,0.035,0.047,0.038,0.044,0.04
"Estado de la salud",0.019,0.014,0.025,0.044,0.011,0.012,0.026,0.031,0.015,0.016,0.023,0.023,0,0.018,0.015,0.027,0.01,0.028
"Corrupción",0.034,0.033,0.035,0.014,0.039,0.049,0.019,0.014,0.029,0.057,0.037,0.013,0.004,0.065,0.013,0.046,0.038,0.031
"Pobreza",0.005,0.005,0.004,0,0.004,0.009,0.004,0.003,0.002,0.009,0.005,0.001,0.014,0,0.011,0.001,0.006,0.003
"Medio ambiente, incendios y contaminación",0,0,0,0,0,0,0.002,0,0,0.001,0.001,0,0,0,0,0,0,0
"Falta de trabajo",0.002,0.004,0,0,0.004,0,0.002,0,0.003,0.003,0.004,0,0,0,0.004,0.002,0,0.004
"No sabe",0.005,0.002,0.009,0.015,0.004,0,0.006,0,0,0.017,0.002,0.003,0,0,0.004,0.007,0.007,0.004
