"var","categoria","Peor","Igual","Mejor","No sabe"
"P08","Siempre",0.203,0.178,0.173,0.145
"P08","Casi siempre",0.313,0.383,0.376,0.363
"P08","Casi nunca",0.37,0.304,0.308,0.333
"P08","Nunca, pero esta es una excepción",0.114,0.135,0.143,0.159
"P09","Muy buena",0.155,0.073,0.243,0.158
"P09","Buena",0.124,0.276,0.343,0.16
"P09","Ni buena ni mala",0.326,0.375,0.316,0.422
"P09","Mala",0.246,0.211,0.059,0.178
"P09","Muy mala",0.143,0.058,0.006,0.053
"P09","No sabe",0.006,0.007,0.033,0.029
"P10","Muy buena",0.13,0.141,0.373,0.186
"P10","Buena",0.182,0.345,0.332,0.222
"P10","Ni buena ni mala",0.364,0.316,0.211,0.301
"P10","Mala",0.191,0.155,0.044,0.094
"P10","Muy mala",0.125,0.041,0.024,0.075
"P10","No sabe",0.008,0.002,0.016,0.122
"P13","Si",0.377,0.452,0.695,0.462
"P13","No",0.394,0.308,0.126,0.241
"P13","No sabe",0.229,0.24,0.179,0.297
"P15","Gobierno nacional",0.405,0.258,0.276,0.282
"P15","Gobierno provincial",0.5,0.623,0.524,0.493
"P15","No sabe",0.095,0.119,0.2,0.225
"P16","El gobierno anterior de Omar Gutierrez",0.419,0.461,0.507,0.541
"P16","El actual gobierno de Rolo Figueroa",0.266,0.294,0.098,0.246
"P16","No sabe",0.315,0.245,0.395,0.213
"P17","El gobierno anterior de Alberto Fernández",0.484,0.316,0.43,0.297
"P17","El actual gobierno de Javier Milei",0.466,0.59,0.386,0.435
"P17","No sabe",0.05,0.094,0.184,0.268
"P18","Muy buena",0.098,0.074,0.134,0.018
"P18","Buena",0.204,0.318,0.268,0.255
"P18","Ni buena ni mala",0.276,0.239,0.286,0.287
"P18","Mala",0.273,0.281,0.242,0.287
"P18","Muy mala",0.147,0.077,0.062,0.118
"P18","No sabe",0.002,0.011,0.008,0.035
"P19","Muy buena",0.065,0.073,0.112,0.022
"P19","Buena",0.167,0.21,0.198,0.132
"P19","Ni buena ni mala",0.171,0.2,0.255,0.214
"P19","Mala",0.31,0.386,0.317,0.39
"P19","Muy mala",0.281,0.131,0.118,0.21
"P19","No sabe",0.006,0,0,0.032
"P20","Muy buena",0.067,0.057,0.064,0.034
"P20","Buena",0.159,0.258,0.27,0.251
"P20","Ni buena ni mala",0.272,0.274,0.34,0.406
"P20","Mala",0.29,0.305,0.241,0.177
"P20","Muy mala",0.205,0.098,0.065,0.103
"P20","No sabe",0.007,0.008,0.02,0.029
"P21","Muy de acuerdo",0.376,0.301,0.412,0.316
"P21","De acuerdo",0.201,0.311,0.216,0.235
"P21","Ni de acuerdo ni en desacuerdo",0.217,0.208,0.238,0.275
"P21","En desacuerdo",0.122,0.137,0.075,0.083
"P21","Muy en desacuerdo",0.07,0.038,0.024,0.048
"P21","No sabe",0.014,0.005,0.035,0.043
"P22","El estado nacional",0.16,0.145,0.109,0.015
"P22","El estado provincial",0.539,0.493,0.537,0.591
"P22","Ambos de forma coordinada",0.248,0.281,0.317,0.286
"P22","No sabe",0.053,0.081,0.037,0.108
"P23","Si",0.617,0.49,0.606,0.515
"P23","No",0.3,0.409,0.242,0.38
"P23","No sabe",0.083,0.101,0.152,0.105
"P24","Excesiva",0.142,0.096,0.076,0.047
"P24","Adecuada",0.244,0.439,0.615,0.347
"P24","Insuficiente",0.365,0.312,0.183,0.345
"P24","Inaceptable",0.185,0.078,0.044,0.076
"P24","No sabe",0.064,0.075,0.082,0.185
"P26","Si",0.762,0.608,0.653,0.6
"P26","No",0.164,0.284,0.189,0.2
"P26","No sabe",0.074,0.108,0.158,0.2
"P27","Correcta",0.489,0.242,0.169,0.246
"P27","Incorrecta",0.37,0.612,0.598,0.424
"P27","No sabe",0.141,0.146,0.233,0.33
"P28","Si",0.695,0.554,0.559,0.405
"P28","No",0.26,0.379,0.301,0.376
"P28","No sabe",0.045,0.067,0.14,0.219
"P29","Correcta",0.342,0.492,0.667,0.323
"P29","Incorrecta",0.476,0.348,0.137,0.296
"P29","No sabe",0.182,0.16,0.196,0.381
"P30","Si",0.727,0.653,0.662,0.722
"P30","No",0.21,0.283,0.23,0.133
"P30","No sabe",0.063,0.064,0.108,0.145
"P31","Adecuada",0.382,0.169,0.099,0.205
"P31","Insuficiente",0.122,0.117,0.079,0.097
"P31","Excesiva",0.167,0.274,0.321,0.207
"P31","Inaceptable",0.284,0.401,0.438,0.364
"P31","No sabe",0.045,0.039,0.063,0.127
"P33","Si",0.628,0.434,0.306,0.513
"P33","No",0.273,0.459,0.508,0.301
"P33","No sabe",0.099,0.107,0.186,0.186
"P34","Si",0.441,0.509,0.668,0.372
"P34","No",0.428,0.384,0.208,0.372
"P34","No sabe",0.131,0.107,0.124,0.256
"P35","Inseguridad y narcotráfico",0.481,0.427,0.555,0.506
"P35","Altos impuestos y tarifas",0.339,0.348,0.175,0.2
"P35","Educación y estado de las escuelas",0.084,0.117,0.165,0.161
"P35","Inflación",0.049,0.04,0.036,0.036
"P35","Estado de la salud",0.001,0.013,0.04,0.007
"P35","Corrupción",0.036,0.045,0.025,0.031
"P35","Pobreza",0.01,0.004,0.003,0
"P35","Medio ambiente, incendios y contaminación",0,0,0,0.002
"P35","Falta de trabajo",0,0,0.001,0.016
"P35","No sabe",0,0.006,0,0.041
"P39","Muy buena",0.114,0.071,0.1,0
"P39","Buena",0.152,0.369,0.381,0.259
"P39","Ni buena ni mala",0.337,0.354,0.383,0.421
"P39","Mala",0.305,0.168,0.105,0.202
"P39","Muy mala",0.084,0.026,0.017,0.042
"P39","No sabe",0.008,0.012,0.014,0.076
"P40","Peor",0.683,0.164,0.136,0.27
"P40","Igual",0.246,0.699,0.416,0.368
"P40","Mejor",0.02,0.098,0.343,0.101
"P40","No sabe",0.051,0.039,0.105,0.261
"P42","El gobierno de Javier Milei",0.55,0.209,0.171,0.386
"P42","El gobierno de Alberto Fernández",0.305,0.691,0.589,0.392
"P42","Ambos",0.125,0.091,0.224,0.144
"P42","No sabe",0.02,0.009,0.016,0.078
"P43","Javier Milei",0.444,0.485,0.44,0.315
"P43","Los gobernadores",0.501,0.439,0.436,0.449
"P43","No sabe",0.055,0.076,0.124,0.236
"P44","Muy buena",0.187,0.117,0.315,0.12
"P44","Buena",0.159,0.381,0.352,0.274
"P44","Ni buena ni mala",0.403,0.309,0.253,0.322
"P44","Mala",0.148,0.133,0.052,0.176
"P44","Muy mala",0.1,0.04,0.011,0.046
"P44","No sabe",0.003,0.02,0.017,0.062
"P45","Muy buena",0.177,0.107,0.065,0.076
"P45","Buena",0.166,0.225,0.298,0.144
"P45","Ni buena ni mala",0.324,0.354,0.382,0.307
"P45","Mala",0.162,0.188,0.153,0.244
"P45","Muy mala",0.166,0.084,0.05,0.123
"P45","No sabe",0.005,0.042,0.052,0.106
"P46","Muy buena",0.137,0.049,0.062,0.049
"P46","Buena",0.102,0.211,0.183,0.108
"P46","Ni buena ni mala",0.206,0.246,0.256,0.258
"P46","Mala",0.329,0.335,0.314,0.352
"P46","Muy mala",0.211,0.144,0.168,0.187
