"var","categoria","El gobierno anterior de Alberto Fernández","El actual gobierno de Javier Milei","No sabe"
"P08","Siempre",0.252,0.216,0.165
"P08","Casi siempre",0.374,0.396,0.325
"P08","Casi nunca",0.179,0.255,0.351
"P08","Nunca, pero esta es una excepción",0.195,0.133,0.159
"P09","Muy buena",0.395,0.241,0.142
"P09","Buena",0.239,0.268,0.213
"P09","Ni buena ni mala",0.283,0.321,0.483
"P09","Mala",0.045,0.117,0.087
"P09","Muy mala",0.038,0.047,0.075
"P09","No sabe",0,0.006,0
"P10","Muy buena",0.373,0.317,0.256
"P10","Buena",0.344,0.229,0.314
"P10","Ni buena ni mala",0.182,0.289,0.319
"P10","Mala",0.036,0.107,0.029
"P10","Muy mala",0.04,0.028,0.022
"P10","No sabe",0.025,0.03,0.06
"P13","Si",0.706,0.622,0.675
"P13","No",0.207,0.148,0.077
"P13","No sabe",0.087,0.23,0.248
"P18","Muy buena",0.196,0.17,0.103
"P18","Buena",0.295,0.389,0.319
"P18","Ni buena ni mala",0.19,0.208,0.213
"P18","Mala",0.212,0.2,0.224
"P18","Muy mala",0.102,0.033,0.123
"P18","No sabe",0.005,0,0.018
"P19","Muy buena",0.106,0.128,0.091
"P19","Buena",0.194,0.274,0.234
"P19","Ni buena ni mala",0.233,0.288,0.269
"P19","Mala",0.353,0.249,0.245
"P19","Muy mala",0.114,0.06,0.161
"P19","No sabe",0,0.001,0
"P20","Muy buena",0.102,0.073,0.084
"P20","Buena",0.358,0.334,0.242
"P20","Ni buena ni mala",0.282,0.271,0.224
"P20","Mala",0.161,0.241,0.196
"P20","Muy mala",0.097,0.074,0.212
"P20","No sabe",0,0.007,0.042
"P21","Muy de acuerdo",0.549,0.575,0.27
"P21","De acuerdo",0.176,0.253,0.408
"P21","Ni de acuerdo ni en desacuerdo",0.188,0.105,0.191
"P21","En desacuerdo",0.056,0.056,0.043
"P21","Muy en desacuerdo",0.031,0.002,0.075
"P21","No sabe",0,0.009,0.013
"P22","El estado nacional",0.234,0.102,0.12
"P22","El estado provincial",0.54,0.708,0.597
"P22","Ambos de forma coordinada",0.16,0.159,0.169
"P22","No sabe",0.066,0.031,0.114
"P23","Si",0.582,0.508,0.418
"P23","No",0.356,0.371,0.323
"P23","No sabe",0.062,0.121,0.259
