"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.056,0.068,0.044,0.057,0.05,0.063,0.068,0.118,0.046,0.016,0.091,0.02,0.031,0.008,0.096,0.031,0.075,0.038,6
"Buena",0.225,0.235,0.214,0.201,0.21,0.23,0.312,0.236,0.247,0.182,0.27,0.311,0.149,0.085,0.25,0.225,0.187,0.261,6
"Ni buena ni mala",0.304,0.308,0.301,0.295,0.288,0.341,0.312,0.294,0.296,0.326,0.289,0.314,0.299,0.279,0.325,0.299,0.284,0.324,6
"Mala",0.278,0.26,0.295,0.302,0.303,0.243,0.205,0.217,0.313,0.279,0.242,0.231,0.376,0.44,0.241,0.306,0.296,0.259,6
"Muy mala",0.125,0.12,0.131,0.145,0.137,0.114,0.067,0.125,0.086,0.183,0.097,0.124,0.124,0.188,0.076,0.133,0.145,0.107,6
"No sabe",0.012,0.009,0.015,0,0.012,0.009,0.036,0.01,0.012,0.014,0.011,0,0.021,0,0.012,0.006,0.013,0.011,6
"Positiva",0.281,0.303,0.258,0.258,0.26,0.293,0.38,0.354,0.293,0.198,0.361,0.331,0.18,0.093,0.346,0.256,0.262,0.299,4
"Neutra",0.304,0.308,0.301,0.295,0.288,0.341,0.312,0.294,0.296,0.326,0.289,0.314,0.299,0.279,0.325,0.299,0.284,0.324,4
"Negativa",0.403,0.38,0.426,0.447,0.44,0.357,0.272,0.342,0.399,0.462,0.339,0.355,0.5,0.628,0.317,0.439,0.441,0.366,4
"No sabe",0.012,0.009,0.015,0,0.012,0.009,0.036,0.01,0.012,0.014,0.011,0,0.021,0,0.012,0.006,0.013,0.011,4
