"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.115,0.136,0.094,0.2,0.102,0.093,0.102,0.154,0.123,0.077,0.127,0.192,0.045,0.004,0.168,0.091,0.154,0.078,6
"Buena",0.216,0.22,0.211,0.267,0.183,0.22,0.259,0.172,0.276,0.172,0.25,0.275,0.202,0.088,0.293,0.171,0.199,0.231,6
"Ni buena ni mala",0.346,0.35,0.343,0.297,0.366,0.338,0.353,0.361,0.329,0.359,0.337,0.31,0.401,0.307,0.338,0.342,0.267,0.424,6
"Mala",0.177,0.158,0.196,0.104,0.2,0.195,0.15,0.124,0.178,0.213,0.168,0.107,0.227,0.27,0.116,0.239,0.201,0.154,6
"Muy mala",0.106,0.119,0.094,0.068,0.121,0.111,0.088,0.126,0.064,0.143,0.089,0.044,0.118,0.321,0.054,0.118,0.142,0.071,6
"No sabe",0.04,0.017,0.062,0.064,0.028,0.043,0.048,0.063,0.03,0.036,0.029,0.072,0.007,0.01,0.031,0.039,0.037,0.042,6
"Positiva",0.331,0.356,0.305,0.467,0.285,0.313,0.361,0.326,0.399,0.249,0.377,0.467,0.247,0.092,0.461,0.262,0.353,0.309,4
"Neutra",0.346,0.35,0.343,0.297,0.366,0.338,0.353,0.361,0.329,0.359,0.337,0.31,0.401,0.307,0.338,0.342,0.267,0.424,4
"Negativa",0.283,0.277,0.29,0.172,0.321,0.306,0.238,0.25,0.242,0.356,0.257,0.151,0.345,0.591,0.17,0.357,0.343,0.225,4
"No sabe",0.04,0.017,0.062,0.064,0.028,0.043,0.048,0.063,0.03,0.036,0.029,0.072,0.007,0.01,0.031,0.039,0.037,0.042,4
