"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.082,0.106,0.059,0.026,0.112,0.072,0.071,0.217,0.053,0.017,0.095,0.095,0.081,0.012,0.085,0.078,0.077,0.088,6
"Buena",0.289,0.303,0.275,0.31,0.263,0.277,0.375,0.293,0.312,0.256,0.323,0.377,0.204,0.172,0.328,0.307,0.254,0.322,6
"Ni buena ni mala",0.364,0.357,0.371,0.334,0.371,0.372,0.364,0.266,0.379,0.42,0.349,0.375,0.384,0.479,0.366,0.371,0.336,0.391,6
"Mala",0.194,0.178,0.209,0.237,0.183,0.217,0.134,0.158,0.189,0.227,0.172,0.08,0.292,0.264,0.161,0.177,0.239,0.151,6
"Muy mala",0.051,0.046,0.056,0.068,0.055,0.042,0.029,0.056,0.037,0.065,0.042,0.067,0.022,0.073,0.025,0.055,0.067,0.035,6
"No sabe",0.02,0.01,0.03,0.025,0.016,0.02,0.027,0.01,0.03,0.015,0.019,0.006,0.017,0,0.035,0.012,0.027,0.013,6
"Positiva",0.371,0.409,0.334,0.336,0.375,0.349,0.446,0.51,0.365,0.273,0.418,0.472,0.285,0.184,0.413,0.385,0.331,0.41,4
"Neutra",0.364,0.357,0.371,0.334,0.371,0.372,0.364,0.266,0.379,0.42,0.349,0.375,0.384,0.479,0.366,0.371,0.336,0.391,4
"Negativa",0.245,0.224,0.265,0.305,0.238,0.259,0.163,0.214,0.226,0.292,0.214,0.147,0.314,0.337,0.186,0.232,0.306,0.186,4
"No sabe",0.02,0.01,0.03,0.025,0.016,0.02,0.027,0.01,0.03,0.015,0.019,0.006,0.017,0,0.035,0.012,0.027,0.013,4
