"var","categoria","Peor","Igual","Mejor","No sabe"
"P08","Siempre",0.199,0.164,0.23,0.1
"P08","Casi siempre",0.336,0.357,0.344,0.44
"P08","Casi nunca",0.345,0.336,0.273,0.317
"P08","Nunca, pero esta es una excepción",0.12,0.143,0.153,0.143
"P09","Muy buena",0.16,0.105,0.335,0.067
"P09","Buena",0.114,0.271,0.335,0.311
"P09","Ni buena ni mala",0.32,0.407,0.232,0.348
"P09","Mala",0.256,0.154,0.049,0.209
"P09","Muy mala",0.145,0.045,0.018,0.046
"P09","No sabe",0.005,0.018,0.031,0.019
"P10","Muy buena",0.155,0.185,0.371,0.184
"P10","Buena",0.176,0.331,0.409,0.179
"P10","Ni buena ni mala",0.342,0.316,0.147,0.298
"P10","Mala",0.196,0.104,0.025,0.176
"P10","Muy mala",0.112,0.043,0.048,0.091
"P10","No sabe",0.019,0.021,0,0.072
"P13","Si",0.448,0.481,0.724,0.385
"P13","No",0.337,0.279,0.112,0.321
"P13","No sabe",0.215,0.24,0.164,0.294
"P15","Gobierno nacional",0.35,0.29,0.329,0.221
"P15","Gobierno provincial",0.507,0.583,0.45,0.617
"P15","No sabe",0.143,0.127,0.221,0.162
"P16","El gobierno anterior de Omar Gutierrez",0.371,0.508,0.545,0.537
"P16","El actual gobierno de Rolo Figueroa",0.29,0.187,0.204,0.273
"P16","No sabe",0.339,0.305,0.251,0.19
"P17","El gobierno anterior de Alberto Fernández",0.327,0.47,0.293,0.761
"P17","El actual gobierno de Javier Milei",0.578,0.41,0.531,0.176
"P17","No sabe",0.095,0.12,0.176,0.063
"P18","Muy buena",0.071,0.086,0.168,0.055
"P18","Buena",0.198,0.29,0.321,0.283
"P18","Ni buena ni mala",0.287,0.248,0.286,0.26
"P18","Mala",0.31,0.272,0.161,0.241
"P18","Muy mala",0.133,0.09,0.061,0.123
"P18","No sabe",0.001,0.014,0.003,0.038
"P19","Muy buena",0.07,0.066,0.151,0.01
"P19","Buena",0.14,0.194,0.305,0.109
"P19","Ni buena ni mala",0.181,0.209,0.202,0.291
"P19","Mala",0.349,0.36,0.217,0.447
"P19","Muy mala",0.259,0.169,0.115,0.106
"P19","No sabe",0.001,0.002,0.01,0.037
"P20","Muy buena",0.067,0.054,0.09,0
"P20","Buena",0.157,0.251,0.4,0.141
"P20","Ni buena ni mala",0.305,0.314,0.251,0.333
"P20","Mala",0.261,0.272,0.216,0.347
"P20","Muy mala",0.206,0.094,0.034,0.139
"P20","No sabe",0.004,0.015,0.009,0.04
"P21","Muy de acuerdo",0.36,0.349,0.387,0.285
"P21","De acuerdo",0.232,0.252,0.3,0.131
"P21","Ni de acuerdo ni en desacuerdo",0.202,0.228,0.201,0.376
"P21","En desacuerdo",0.114,0.109,0.085,0.127
"P21","Muy en desacuerdo",0.079,0.036,0.027,0.039
"P21","No sabe",0.013,0.026,0,0.042
"P22","El estado nacional",0.139,0.109,0.122,0.149
"P22","El estado provincial",0.519,0.549,0.506,0.471
"P22","Ambos de forma coordinada",0.285,0.266,0.332,0.319
"P22","No sabe",0.057,0.076,0.04,0.061
"P23","Si",0.632,0.548,0.555,0.337
"P23","No",0.256,0.38,0.286,0.467
"P23","No sabe",0.112,0.072,0.159,0.196
"P24","Excesiva",0.11,0.11,0.105,0.033
"P24","Adecuada",0.244,0.495,0.537,0.426
"P24","Insuficiente",0.366,0.254,0.245,0.349
"P24","Inaceptable",0.19,0.057,0.034,0.104
"P24","No sabe",0.09,0.084,0.079,0.088
"P26","Si",0.723,0.657,0.6,0.626
"P26","No",0.159,0.243,0.227,0.228
"P26","No sabe",0.118,0.1,0.173,0.146
"P27","Correcta",0.46,0.222,0.203,0.283
"P27","Incorrecta",0.37,0.618,0.507,0.481
"P27","No sabe",0.17,0.16,0.29,0.236
"P28","Si",0.645,0.565,0.506,0.498
"P28","No",0.281,0.369,0.295,0.325
"P28","No sabe",0.074,0.066,0.199,0.177
"P29","Correcta",0.335,0.52,0.61,0.478
"P29","Incorrecta",0.473,0.299,0.15,0.238
"P29","No sabe",0.192,0.181,0.24,0.284
"P30","Si",0.713,0.686,0.657,0.61
"P30","No",0.233,0.222,0.237,0.267
"P30","No sabe",0.054,0.092,0.106,0.123
"P31","Adecuada",0.376,0.155,0.115,0.179
"P31","Insuficiente",0.126,0.106,0.065,0.096
"P31","Excesiva",0.151,0.247,0.416,0.31
"P31","Inaceptable",0.302,0.428,0.348,0.345
"P31","No sabe",0.045,0.064,0.056,0.07
"P33","Si",0.624,0.398,0.385,0.374
"P33","No",0.265,0.463,0.457,0.456
"P33","No sabe",0.111,0.139,0.158,0.17
"P34","Si",0.446,0.55,0.534,0.508
"P34","No",0.434,0.319,0.299,0.317
"P34","No sabe",0.12,0.131,0.167,0.175
"P35","Inseguridad y narcotráfico",0.479,0.487,0.477,0.483
"P35","Altos impuestos y tarifas",0.276,0.292,0.242,0.369
"P35","Educación y estado de las escuelas",0.112,0.11,0.191,0.126
"P35","Inflación",0.059,0.042,0.03,0.012
"P35","Estado de la salud",0.01,0.016,0.032,0.004
"P35","Corrupción",0.044,0.038,0.026,0.003
"P35","Pobreza",0.008,0.004,0.002,0
"P35","Medio ambiente, incendios y contaminación",0,0.001,0,0
"P35","Falta de trabajo",0.002,0.004,0,0
"P35","No sabe",0.01,0.006,0,0.003
"P39","Muy buena",0.114,0.069,0.11,0
"P39","Buena",0.154,0.371,0.415,0.212
"P39","Ni buena ni mala",0.32,0.37,0.439,0.369
"P39","Mala",0.298,0.149,0.006,0.356
"P39","Muy mala",0.095,0.018,0.03,0.042
"P39","No sabe",0.019,0.023,0,0.021
"P41","Peor",0.648,0.175,0.046,0.19
"P41","Igual",0.154,0.492,0.229,0.141
"P41","Mejor",0.102,0.234,0.636,0.306
"P41","No sabe",0.096,0.099,0.089,0.363
"P42","El gobierno de Javier Milei",0.488,0.239,0.244,0.32
"P42","El gobierno de Alberto Fernández",0.369,0.627,0.514,0.411
"P42","Ambos",0.118,0.126,0.21,0.201
"P42","No sabe",0.025,0.008,0.032,0.068
"P43","Javier Milei",0.419,0.481,0.403,0.372
"P43","Los gobernadores",0.497,0.423,0.463,0.493
"P43","No sabe",0.084,0.096,0.134,0.135
"P44","Muy buena",0.187,0.163,0.333,0.121
"P44","Buena",0.148,0.353,0.44,0.287
"P44","Ni buena ni mala",0.383,0.318,0.201,0.346
"P44","Mala",0.188,0.094,0.018,0.17
"P44","Muy mala",0.086,0.043,0.008,0.044
"P44","No sabe",0.008,0.029,0,0.032
"P45","Muy buena",0.159,0.099,0.122,0.014
"P45","Buena",0.193,0.227,0.227,0.227
"P45","Ni buena ni mala",0.329,0.322,0.486,0.322
"P45","Mala",0.16,0.192,0.106,0.278
"P45","Muy mala",0.142,0.099,0.045,0.097
"P45","No sabe",0.017,0.061,0.014,0.062
"P46","Muy buena",0.151,0.039,0.079,0.021
"P46","Buena",0.101,0.216,0.148,0.091
"P46","Ni buena ni mala",0.174,0.253,0.317,0.277
"P46","Mala",0.35,0.312,0.326,0.35
"P46","Muy mala",0.209,0.153,0.13,0.243
"P46","No sabe",0.015,0.027,0,0.018
"P47","Muy buena",0.132,0.045,0.061,0.034
"P47","Buena",0.087,0.167,0.192,0.062
"P47","Ni buena ni mala",0.38,0.452,0.418,0.386
"P47","Mala",0.228,0.155,0.202,0.134
"P47","Muy mala",0.134,0.129,0.083,0.245
"P47","No sabe",0.039,0.052,0.044,0.139
"P48","Muy buena",0.244,0.079,0.098,0.105
"P48","Buena",0.153,0.19,0.195,0.236
"P48","Ni buena ni mala",0.257,0.339,0.482,0.211
"P48","Mala",0.206,0.222,0.103,0.187
"P48","Muy mala",0.129,0.138,0.066,0.2
"P48","No sabe",0.011,0.032,0.056,0.061
"P49","Muy buena",0.317,0.177,0.221,0.161
"P49","Buena",0.102,0.134,0.105,0.156
"P49","Ni buena ni mala",0.111,0.103,0.182,0.035
"P49","Mala",0.195,0.224,0.299,0.227
"P49","Muy mala",0.269,0.35,0.193,0.41
"P49","No sabe",0.006,0.012,0,0.011
"P50","Muy buena",0.169,0.086,0.055,0.102
"P50","Buena",0.129,0.225,0.272,0.036
"P50","Ni buena ni mala",0.176,0.229,0.253,0.194
"P50","Mala",0.221,0.247,0.247,0.223
"P50","Muy mala",0.297,0.194,0.173,0.386
"P50","No sabe",0.008,0.019,0,0.059
"P51","Muy buena",0.189,0.098,0.099,0.02
"P51","Buena",0.166,0.178,0.197,0.115
"P51","Ni buena ni mala",0.182,0.116,0.216,0.151
"P51","Mala",0.204,0.214,0.284,0.21
"P51","Muy mala",0.25,0.388,0.204,0.489
"P51","No sabe",0.009,0.006,0,0.015
"P52","Muy buena",0.294,0.355,0.294,0.345
"P52","Buena",0.128,0.167,0.202,0.113
"P52","Ni buena ni mala",0.107,0.129,0.102,0.076
"P52","Mala",0.154,0.127,0.207,0.106
"P52","Muy mala",0.312,0.222,0.195,0.349
"P52","No sabe",0.005,0,0,0.011
"P53","Muy buena",0.274,0.29,0.232,0.244
"P53","Buena",0.115,0.241,0.227,0.159
"P53","Ni buena ni mala",0.149,0.122,0.178,0.089
"P53","Mala",0.138,0.147,0.149,0.206
"P53","Muy mala",0.316,0.199,0.214,0.286
"P53","No sabe",0.008,0.001,0,0.016
"P54","Muy buena",0.184,0.159,0.14,0.201
"P54","Buena",0.08,0.198,0.219,0.098
"P54","Ni buena ni mala",0.228,0.302,0.279,0.23
"P54","Mala",0.141,0.143,0.185,0.106
"P54","Muy mala",0.34,0.179,0.166,0.325
"P54","No sabe",0.027,0.019,0.011,0.04
"P55","Muy buena",0.293,0.392,0.22,0.301
"P55","Buena",0.108,0.167,0.228,0.148
"P55","Ni buena ni mala",0.155,0.149,0.231,0.133
"P55","Mala",0.122,0.103,0.123,0.11
"P55","Muy mala",0.301,0.176,0.155,0.287
"P55","No sabe",0.021,0.013,0.043,0.021
"P56","Muy buena",0.1,0.109,0.09,0.073
"P56","Buena",0.136,0.264,0.172,0.102
"P56","Ni buena ni mala",0.366,0.352,0.468,0.571
"P56","Mala",0.198,0.14,0.147,0.141
"P56","Muy mala",0.178,0.1,0.073,0.097
"P56","No sabe",0.022,0.035,0.05,0.016
"P57","Muy buena",0.177,0.122,0.09,0.164
"P57","Buena",0.108,0.265,0.256,0.149
"P57","Ni buena ni mala",0.217,0.238,0.258,0.227
"P57","Mala",0.152,0.144,0.128,0.054
"P57","Muy mala",0.332,0.188,0.231,0.381
