"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.273,0.274,0.272,0.215,0.263,0.292,0.339,0.269,0.308,0.232,0.286,0.278,0.165,0.448,0.113,0.422,0.292,0.254,6
"Buena",0.19,0.21,0.17,0.246,0.183,0.159,0.207,0.162,0.207,0.189,0.186,0.283,0.126,0.208,0.068,0.297,0.151,0.228,6
"Ni buena ni mala",0.136,0.158,0.114,0.159,0.162,0.082,0.117,0.272,0.096,0.088,0.144,0.136,0.083,0.016,0.129,0.134,0.134,0.137,6
"Mala",0.149,0.145,0.153,0.09,0.154,0.18,0.144,0.161,0.147,0.142,0.196,0.102,0.11,0.155,0.236,0.073,0.16,0.139,6
"Muy mala",0.248,0.206,0.289,0.279,0.236,0.284,0.185,0.136,0.237,0.342,0.186,0.201,0.516,0.173,0.453,0.071,0.255,0.241,6
"No sabe",0.004,0.007,0.002,0.011,0.002,0.003,0.008,0,0.005,0.007,0.002,0,0,0,0.001,0.003,0.008,0.001,6
"Positiva",0.463,0.484,0.442,0.461,0.446,0.451,0.546,0.431,0.515,0.421,0.472,0.561,0.291,0.656,0.181,0.719,0.443,0.482,4
"Neutra",0.136,0.158,0.114,0.159,0.162,0.082,0.117,0.272,0.096,0.088,0.144,0.136,0.083,0.016,0.129,0.134,0.134,0.137,4
"Negativa",0.397,0.351,0.442,0.369,0.39,0.464,0.329,0.297,0.384,0.484,0.382,0.303,0.626,0.328,0.689,0.144,0.415,0.38,4
"No sabe",0.004,0.007,0.002,0.011,0.002,0.003,0.008,0,0.005,0.007,0.002,0,0,0,0.001,0.003,0.008,0.001,4
